countryid,leaguename,leaguetype,level,iscompetitionscarfenabled,isbannerenabled,leagueid,iscompetitionpoleflagenabled,iscompetitioncrowdcardsenabled,leaguetimeslice,iswomencompetition,iswithintransferwindow,isinternationalleague
13,Denmark Superliga (1),0,1,2,2,1,2,2,8,0,0,0
7,Belgium Pro League (1),0,1,2,2,4,2,2,7,0,0,0
34,Holland Eredivisie (1),0,1,2,2,10,2,2,12,0,0,0
14,England Premier League (1),0,1,1,2,13,2,2,6,0,0,0
14,England Championship (2),0,2,2,2,14,2,2,7,0,0,0
18,France Ligue 1 (1),0,1,2,2,16,2,2,6,0,0,0
18,France Ligue 2 (2),0,2,2,2,17,2,2,6,0,0,0
21,Germany 1. Bundesliga (1),0,1,2,2,19,2,2,6,0,0,0
21,Germany 2. Bundesliga (2),0,2,2,2,20,2,2,7,0,0,0
27,Italy Serie A (1),0,1,1,1,31,1,1,7,0,0,0
27,Italy Serie B (2),0,2,2,2,32,2,2,6,0,0,0
95,USA Major League Soccer (1),0,1,2,2,39,2,2,7,0,0,0
36,Norway Eliteserien (1),0,1,2,2,41,2,2,9,0,0,0
42,Scotland Premiership (1),0,1,2,2,50,2,2,6,0,0,0
45,Spain Primera División (1),0,1,0,1,53,1,1,6,0,0,0
45,Spain Segunda División (2),0,2,0,1,54,1,1,6,0,0,0
46,Sweden Allsvenskan (1),0,1,2,2,56,2,2,9,0,0,0
14,England League One (3),0,3,2,2,60,2,2,7,0,0,0
14,England League Two (4),0,4,2,2,61,2,2,7,0,0,0
22,Greece A'Ethniki (1),0,1,2,2,63,2,2,0,0,0,0
25,Rep. Ireland Premier Division (1),0,1,2,2,65,2,2,9,0,0,0
37,Poland Ekstraklasa (1),0,1,2,2,66,2,2,7,0,0,0
48,Turkey Süper Lig (1),0,1,2,2,68,2,2,6,0,0,0
211,Rest of World,0,4,2,2,76,2,2,0,0,0,0
75,International,0,5,2,2,78,2,2,0,0,0,1
4,Austria Bundesliga (1),0,1,2,2,80,2,2,7,0,0,0
167,Korea K League 1 (1),0,1,2,2,83,2,2,12,0,0,0
47,Switzerland Super League (1),0,1,2,2,189,2,2,7,0,0,0
38,Portugal Primeira Liga (1),0,1,2,2,308,2,2,7,0,0,0
10,Croatia Prva HNL (1),0,1,2,2,317,2,2,0,0,0,0
12,Czech Republic Liga (1),0,1,2,2,319,2,2,0,0,0,0
17,Finland Veikkausliiga (1),0,1,2,2,322,2,2,0,0,0,0
39,Romania Liga I (1),0,1,2,2,330,2,2,7,0,0,0
49,Ukraine Premier Liga (1),0,1,2,2,332,2,2,0,0,0,0
183,Saudi Pro League (1),0,1,2,2,350,2,2,7,0,0,0
195,Australia A-League (1),0,1,2,2,351,2,2,3,0,0,0
52,Argentina Primera División (1),0,1,2,2,353,2,2,5,0,0,0
210,Free Agents League,0,1,2,2,382,2,2,0,0,0,0
209,Create Player League,0,1,2,2,383,2,2,0,0,0,0
216,Creation Zone League,0,1,2,2,384,2,2,0,0,0,0
225,CONMEBOL Libertadores,0,1,2,2,1003,2,2,0,0,0,0
225,CONMEBOL Sudamericana,0,1,2,2,1014,2,2,0,0,0,0
0,FIFA Career Saved Teams,0,6,2,2,2000,2,2,0,0,0,0
155,China Super League (1),0,1,2,2,2012,2,2,7,0,0,0
0,Youth Squad League,0,7,2,2,2028,2,2,0,0,0,0
21,Germany 3. Liga (3),0,3,2,2,2076,2,2,6,0,0,0
211,Legends League,0,1,2,2,2118,2,2,0,0,0,0
221,FUT IceBreaker,0,1,2,2,2134,2,2,0,0,0,0
222,International Women,0,5,2,2,2136,2,2,3,1,0,1
159,Indian Super League (1),0,1,2,2,2149,2,2,4,0,0,0
223,FUT Custom Kits,0,1,2,2,2150,2,2,0,0,0,0
190,UAE FUT League,0,1,2,2,2172,2,2,0,0,0,0
56,FUT Liga Colombia,0,1,2,2,2209,2,2,0,0,0,0
11,FUT Liga Cyprus,0,1,2,2,2210,2,2,0,0,0,0
23,FUT Magyar Liga,0,1,2,2,2211,2,2,0,0,0,0
21,Germany Frauen-Bundesliga (1),0,1,2,2,2215,2,2,4,1,0,0
14,England WSL (1),0,1,2,2,2216,2,2,4,1,0,0
18,France 1 Women's League (1),0,1,2,2,2218,2,2,5,1,0,0
95,USA NWSL (1),0,1,1,1,2221,1,2,13,1,0,0
45,Spain Liga F Femenina (1),0,1,2,2,2222,2,2,3,1,0,0
38,FUT Liga Portugal Women,0,1,2,2,2228,2,2,0,1,0,0
34,FUT Liga Netherlands Women,0,1,2,2,2229,2,2,0,1,0,0
12,FUT Liga Czech Republic Women,0,1,2,2,2230,2,2,0,1,0,0
47,FUT Liga Switzerland Women,0,1,2,2,2231,2,2,0,1,0,0
46,FUT Liga Sweden Women,0,1,2,2,2232,2,2,0,1,0,0
42,FUT Liga Scotland Women,0,1,2,2,2233,2,2,0,1,0,0
27,FUT Liga Italy Women,0,1,2,2,2236,2,2,0,1,0,0
211,5v5 League,0,1,2,2,2240,2,2,0,0,0,0
211,FUT Generic Managers,0,1,2,2,2241,2,2,0,0,0,0
5,FUT Liga Azerbaijan,0,1,2,2,2244,2,2,0,0,0,0
55,FUT Liga Chile,0,1,2,2,2249,2,2,0,0,0,0
