hairtypecode,outfitid
301,2
6000,1000
6001,1001
6002,1002
6003,1003
6004,1004
6005,1005
6006,1006
6007,1007
6008,1008
6009,1009
6010,1010
6011,1011
6012,1012
6013,1013
6014,1014
6015,1015
6016,1016
6017,1017
6018,1018
6019,1019
6020,1020
6021,1021
6022,1022
6023,1023
6024,1024
6025,1025
6026,1026
6027,1027
6028,1028
6029,1029
6030,1030
6031,1031
6032,1032
6033,1033
6035,1035
6036,1036
6037,1037
6038,1038
6039,1039
6040,1040
6041,1041
6042,1042
6043,1043
6044,1044
6048,1048
227,4202
825,4203
827,4204
826,4205
1024,4271
421,5024
545,5025
566,5026
23,5027
54,5028
392,5029
10,5030
385,5031
150,5032
495,6000
838,6033
841,6034
842,6035
896,6036
897,6037
898,6038
1018,6039
1021,6040
1022,6041
1105,6067
1129,6070
8031,7030
8032,7031
8000,7032
8001,7034
8002,7036
8005,7037
8003,7039
8006,7040
8007,7042
8008,7044
8009,7046
8011,7048
8012,7049
8010,7052
8014,7057
8015,7058
8016,7059
8017,7062
8013,7063
8019,7064
8004,7066
8033,7069
8034,7071
8035,7072
8036,7073
8037,7075
8038,7076
8020,9002
8021,9003
8022,9006
8023,9007
