swapcrowdplacement,stadiumid,teamid,forcedhome
0,156,1,0
0,115,2,0
0,496,3,0
0,158,4,0
0,28,5,0
0,492,7,0
0,432,8,0
0,13,9,0
0,246,10,0
0,1,11,0
0,349,12,0
0,100,13,0
0,449,14,0
0,337,15,0
0,113,17,0
0,409,18,0
0,355,19,0
0,137,21,0
0,9,22,0
0,343,23,0
0,447,25,0
0,158,27,0
0,41,28,0
0,158,29,0
0,423,31,0
0,12,32,0
0,158,33,0
0,30,34,0
0,418,36,0
0,413,38,0
0,247,45,0
0,520,48,0
0,158,50,0
0,158,52,0
0,158,54,0
0,482,55,0
0,158,57,0
0,158,58,0
0,158,62,0
0,488,64,0
0,477,65,0
0,426,66,0
0,158,68,0
0,158,69,0
0,158,70,0
0,512,71,0
0,158,72,0
0,14,73,0
0,158,74,0
0,158,76,0
0,158,77,0
0,480,78,0
0,158,79,0
0,158,80,0
0,158,81,0
0,158,82,0
0,158,83,0
0,479,86,0
0,158,88,0
0,158,89,0
0,158,91,0
0,158,92,0
0,350,94,0
0,335,95,0
0,158,97,0
0,326,106,0
0,327,109,0
0,415,110,0
0,158,121,0
0,158,127,0
0,158,135,0
0,158,142,0
0,158,143,0
0,328,144,0
0,158,149,0
0,454,159,0
0,473,160,0
0,158,162,0
0,474,165,0
0,135,166,0
0,414,169,0
0,422,171,0
0,406,175,0
0,158,180,0
0,158,181,0
0,158,189,0
0,516,191,0
0,158,200,0
0,158,205,0
0,158,206,0
0,158,209,0
0,158,211,0
0,158,217,0
0,29,219,0
0,158,229,0
0,158,230,0
0,158,231,0
0,158,232,0
0,457,234,0
0,456,236,0
0,486,237,0
0,364,240,0
0,158,241,0
0,158,242,0
0,2,243,0
0,158,244,0
0,15,245,0
0,487,246,0
0,463,247,0
0,158,252,0
0,158,254,0
0,158,256,0
0,158,263,0
0,158,266,0
0,158,267,0
0,158,269,0
0,158,270,0
0,158,271,0
0,158,272,0
0,158,278,0
0,158,280,0
0,158,294,0
0,158,298,0
0,158,300,0
0,158,301,0
0,158,305,0
0,158,306,0
0,158,308,0
0,158,310,0
0,158,319,0
0,158,320,0
0,158,321,0
0,158,322,0
0,158,324,0
0,494,325,0
0,495,326,0
0,515,327,0
0,158,347,0
0,158,361,0
0,158,378,0
0,158,379,0
0,158,381,0
0,158,383,0
0,158,393,0
0,158,417,0
0,158,418,0
0,158,420,0
0,158,422,0
0,158,423,0
0,158,433,0
0,158,436,0
0,158,445,0
0,388,448,0
0,392,449,0
0,394,450,0
0,393,452,0
0,440,453,0
0,158,456,0
0,397,457,0
0,158,459,0
0,10,461,0
0,427,462,0
0,399,463,0
0,395,467,0
0,465,468,0
0,391,472,0
0,437,479,0
0,429,480,0
0,389,481,0
0,386,483,0
0,417,485,0
0,158,487,0
0,158,492,0
0,158,503,0
0,158,506,0
0,158,517,0
0,158,523,0
0,158,526,0
0,158,531,0
0,158,537,0
0,158,543,0
0,158,563,0
0,158,567,0
0,158,568,0
0,158,569,0
0,158,573,0
0,513,576,0
0,158,580,0
0,158,583,0
0,158,598,0
0,262,605,0
1,345,607,0
0,158,621,0
0,158,634,0
0,158,645,0
0,158,670,0
0,158,673,0
0,158,674,0
0,158,680,0
0,158,681,0
0,158,687,0
0,158,688,0
0,430,689,0
0,158,691,0
0,158,693,0
0,158,694,0
0,158,695,0
0,158,696,0
0,161,697,0
0,158,698,0
0,158,700,0
0,158,702,0
0,158,708,0
0,158,710,0
0,158,711,0
0,158,717,0
0,158,718,0
0,158,741,0
0,158,744,0
0,158,748,0
0,158,753,0
0,158,780,0
0,158,819,0
0,158,822,0
0,158,834,0
0,158,873,0
0,158,894,0
0,509,896,0
0,158,897,0
0,158,898,0
0,514,900,0
0,158,918,0
0,158,919,0
0,158,920,0
0,158,922,0
0,158,980,0
0,158,982,0
0,158,1013,0
0,158,1035,0
0,158,1041,0
0,158,1043,0
0,158,1048,0
0,155,1318,0
0,158,1328,0
0,158,1330,0
0,158,1331,0
0,158,1334,0
0,29,1335,0
0,416,1337,0
0,158,1341,0
0,158,1343,0
0,158,1352,0
0,158,1353,0
0,457,1354,0
0,158,1355,0
0,158,1356,0
0,158,1359,0
0,364,1362,0
0,158,1363,0
0,158,1366,0
0,334,1367,0
0,344,1369,0
0,158,1386,0
0,161,1387,0
0,158,1438,0
0,158,1443,0
0,158,1447,0
0,158,1463,0
0,158,1473,0
0,158,1474,0
0,158,1477,0
0,158,1478,0
0,158,1516,0
0,158,1523,0
0,158,1530,0
0,158,1569,0
0,158,1571,0
0,158,1572,0
0,158,1598,0
0,158,1629,0
0,158,1713,0
0,158,1715,0
0,158,1719,0
0,158,1738,0
0,158,1739,0
0,158,1744,0
0,158,1745,0
0,158,1746,0
0,158,1750,0
0,158,1756,0
0,158,1757,0
0,158,1786,0
0,158,1788,0
0,112,1790,0
0,329,1792,0
0,158,1793,0
0,433,1794,0
0,347,1795,0
0,336,1796,0
0,158,1797,0
0,158,1798,0
0,330,1799,0
0,497,1800,0
0,158,1801,0
0,158,1802,0
0,158,1803,0
0,158,1804,0
0,158,1805,0
0,331,1806,0
0,158,1807,0
0,340,1808,0
