leagueid,refereeid
1,188446
1,209891
1,209913
1,209914
1,241370
1,251117
1,267499
4,179576
4,188439
4,209938
4,209939
4,209940
4,267488
4,267489
10,183061
10,188457
10,209941
10,209942
10,209943
10,262374
10,267506
13,209867
13,209870
13,209882
14,209867
14,209870
14,209882
16,181722
16,182753
16,209821
16,209902
16,256907
16,256908
16,267500
16,267502
17,182553
17,188448
17,188449
17,209822
17,209904
17,267503
17,267504
19,209686
19,209687
19,209690
19,243332
19,256910
19,256911
19,267553
19,267554
19,269241
19,269242
20,209686
20,209687
20,209690
20,243332
20,256910
20,256911
20,267554
20,269241
20,269242
31,182165
31,182777
31,209927
31,209928
31,262375
31,267539
31,267542
32,182165
32,182777
32,209927
32,209928
32,262375
32,267539
32,267542
39,210589
39,210590
39,210594
39,267552
41,182693
41,188461
41,188462
41,209847
41,241371
41,241373
41,267510
41,268869
50,252127
50,252128
50,252129
50,252130
50,267546
53,182817
53,183074
53,209692
53,209693
53,267547
54,188474
54,209689
54,209694
54,243333
54,267549
56,183077
56,188475
56,188476
56,209788
56,209790
56,209791
56,267548
56,268870
60,209883
60,209923
60,209926
60,209931
60,209932
60,221153
61,209883
61,209923
61,209926
61,209931
61,209932
61,221153
63,221119
65,209677
65,209678
65,209679
65,267541
66,182780
66,183083
66,188444
66,209777
66,209778
66,241372
66,267512
68,181902
68,183787
68,222948
68,222949
68,267551
76,182737
76,221033
76,221034
76,221035
76,221045
76,221047
76,221100
76,221118
76,221119
76,267703
76,267704
76,267705
76,267706
76,267707
76,267708
78,182561
78,182737
78,221100
78,221118
78,221119
78,221153
78,267709
78,267710
78,267711
78,267712
80,209683
80,209684
80,209685
80,221049
80,241369
80,267538
83,176705
83,182754
83,183079
83,209808
83,209809
83,241374
189,209712
189,209714
189,209716
189,243325
189,267550
308,188452
308,188465
308,209897
308,209899
308,241367
308,267540
317,188444
319,183098
319,183102
319,209823
319,209825
319,209826
322,188462
322,188475
322,209788
322,209791
330,237579
330,237583
330,237584
330,237585
330,267545
330,269266
332,209777
332,209778
332,221118
350,209944
350,209945
350,209946
350,241366
351,209792
351,209793
351,209794
351,243326
351,268495
351,268496
353,214502
353,214865
353,214866
353,214867
353,243327
353,267487
383,209931
384,183083
1003,214502
1003,214865
1003,214866
1003,214867
1014,214502
1014,214865
1014,214866
1014,214867
2000,183083
2012,221037
2012,241503
2012,241504
2012,243331
2012,250793
2012,250794
2028,209931
2076,183089
2076,188451
2076,188455
2076,256985
2076,267555
2076,267556
2118,209931
2134,209931
2136,226904
2136,250783
2136,250784
2149,262003
2149,262012
2149,262013
2149,262014
2150,209931
2172,209944
2172,209945
2172,209946
2172,241366
2209,182561
2210,182737
2211,209778
2215,183089
2215,188455
2215,267553
2215,267554
2215,267555
2215,267556
2215,275116
2215,275117
2215,275118
2215,275119
2216,267546
2216,267561
2216,267562
2216,267563
2218,267557
2218,267558
2218,267559
2218,267560
2218,268586
2218,268587
2221,272634
2221,272635
2221,272636
2221,272637
2221,272638
2221,272639
2222,209689
2222,209694
2222,243333
2222,267547
2222,267549
2222,275120
2222,275121
2222,275122
2222,275123
2222,275124
2228,182737
2229,182737
2230,182737
2231,182737
2232,182737
2233,182737
2236,267706
2240,182737
2244,182693
2249,182561
2249,214502
2249,214865
