homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
0,5,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1447,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,1516,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,1786,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,0,15006,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,12,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,5,0,0,0,0,0,0,0,1,4,4,0,0,0,0,13,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,14,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,8,0,0,0,0,0,0,0,0,4,4,0,0,0,0,15,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,16,0,0,0,0,0,0,0,0,4,4,0,0,0,0,16,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,15,0,0,0,0,0,0,0,0,4,4,0,0,0,0,17,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,9,0,0,0,0,0,0,0,0,4,4,0,0,0,0,18,0,673,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,10,0,0,0,0,0,0,0,0,4,4,0,0,0,0,19,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0
