competitionid,threshold,badgeid,placement,priority,target
10,2025,800010,1,1,2
16,2025,800016,1,1,2
19,2025,800019,1,1,2
31,2025,800031,2,1,2
39,2025,800039,0,1,2
53,2025,800053,1,1,2
53,2025,800054,1,1,11
65,2025,800065,1,1,2
201,1,604001,1,2,7
201,2,604002,1,2,7
201,3,604003,1,2,7
201,4,604004,1,2,7
201,5,604005,1,2,7
201,6,604006,1,2,7
201,7,604007,1,2,7
201,8,604008,1,2,7
201,9,604009,1,2,7
201,10,604010,1,2,7
201,11,604011,1,2,7
201,12,604012,1,2,7
201,13,604013,1,2,7
201,14,604014,1,2,7
201,15,604015,1,2,7
201,16,604016,1,2,7
201,17,604017,1,2,7
201,18,604018,1,2,7
201,19,604019,1,2,7
201,20,604020,1,2,7
201,21,604021,1,2,7
201,22,604022,1,2,7
201,23,604023,1,2,7
201,24,604024,1,2,7
201,25,604025,1,2,7
201,26,604026,1,2,7
201,27,604027,1,2,7
201,28,604028,1,2,7
201,1,604101,1,1,8
201,2,604102,1,1,8
201,3,604103,1,1,8
201,4,604104,1,1,8
201,5,604105,1,1,8
201,6,604106,1,1,8
201,7,604107,1,1,8
201,8,604108,1,1,8
201,9,604109,1,1,8
201,10,604110,1,1,8
201,11,604111,1,1,8
201,12,604112,1,1,8
201,13,604113,1,1,8
201,14,604114,1,1,8
201,15,604115,1,1,8
201,16,604116,1,1,8
201,17,604117,1,1,8
201,18,604118,1,1,8
201,19,604119,1,1,8
201,20,604120,1,1,8
201,21,604121,1,1,8
201,22,604122,1,1,8
201,23,604123,1,1,8
201,24,604124,1,1,8
201,25,604125,1,1,8
201,26,604126,1,1,8
201,27,604127,1,1,8
201,28,604128,1,1,8
206,1,606001,1,1,8
206,2,606002,1,1,8
206,3,606003,1,1,8
206,4,606004,1,1,8
206,5,606005,1,1,8
206,6,606006,1,1,8
206,7,606007,1,1,8
206,8,606008,1,1,8
206,9,606009,1,1,8
206,10,606010,1,1,8
206,11,606011,1,1,8
206,12,606012,1,1,8
206,13,606013,1,1,8
206,14,606014,1,1,8
206,15,606015,1,1,8
206,16,606016,1,1,8
206,17,606017,1,1,8
206,18,606018,1,1,8
206,19,606019,1,1,8
206,20,606020,1,1,8
206,21,606021,1,1,8
206,22,606022,1,1,8
206,23,606023,1,1,8
206,24,606024,1,1,8
206,25,606025,1,1,8
206,26,606026,1,1,8
206,27,606027,1,1,8
206,28,606028,1,1,8
206,29,606029,1,1,8
206,30,606030,1,1,8
206,31,606031,1,1,8
206,32,606032,1,1,8
206,33,606033,1,1,8
206,34,606034,1,1,8
206,35,606035,1,1,8
223,3,600003,1,4,5
223,4,600004,1,4,5
223,5,600005,1,3,1
223,6,600006,1,3,1
223,7,600007,1,3,1
223,8,600008,1,3,1
223,9,600009,1,3,1
223,10,600010,1,3,1
223,11,600011,1,3,1
223,12,600012,1,3,1
223,13,600013,1,3,1
223,14,600014,1,3,1
223,15,600015,1,3,1
223,16,600016,1,3,1
223,17,600017,1,3,1
223,18,600018,1,3,1
223,19,600019,1,3,1
223,20,600020,1,3,1
223,21,600021,1,3,1
223,22,600022,1,3,1
223,23,600023,1,3,1
223,24,600024,1,3,1
223,25,600025,1,3,1
223,26,600026,1,3,1
223,27,600027,1,3,1
223,28,600028,1,3,1
223,29,600029,1,3,1
223,30,600030,1,3,1
223,31,600031,1,3,1
223,32,600032,1,3,1
223,33,600033,1,3,1
223,3,600103,1,3,9
223,4,600104,1,3,9
223,5,600105,1,2,8
223,6,600106,1,2,8
223,7,600107,1,2,8
223,8,600108,1,2,8
223,9,600109,1,2,8
223,10,600110,1,2,8
223,11,600111,1,2,8
223,12,600112,1,2,8
223,13,600113,1,2,8
223,14,600114,1,2,8
223,15,600115,1,2,8
223,16,600116,1,2,8
223,17,600117,1,2,8
223,18,600118,1,2,8
223,19,600119,1,2,8
223,20,600120,1,2,8
223,21,600121,1,2,8
223,22,600122,1,2,8
223,23,600123,1,2,8
223,24,600124,1,2,8
223,25,600125,1,2,8
223,26,600126,1,2,8
223,27,600127,1,2,8
223,28,600128,1,2,8
223,29,600129,1,2,8
223,30,600130,1,2,8
223,31,600131,1,2,8
223,32,600132,1,2,8
223,33,600133,1,2,8
223,2025,600225,1,1,3
223,2026,600226,1,1,3
223,2027,600227,1,1,3
223,2028,600228,1,1,3
223,2029,600229,1,1,3
223,2030,600230,1,1,3
223,2031,600231,1,1,3
223,2032,600232,1,1,3
223,2033,600233,1,1,3
223,2034,600234,1,1,3
223,2035,600235,1,1,3
223,2036,600236,1,1,3
223,2037,600237,1,1,3
223,2038,600238,1,1,3
223,2039,600239,1,1,3
223,2040,600240,1,1,3
223,2041,600241,1,1,3
224,5,601005,1,3,4
224,6,601006,1,3,4
224,7,601007,1,3,4
224,8,601008,1,3,4
224,9,601009,1,3,4
224,10,601010,1,3,4
224,11,601011,1,3,4
224,12,601012,1,3,4
224,13,601013,1,3,4
224,14,601014,1,3,4
224,15,601015,1,3,4
224,16,601016,1,3,4
224,17,601017,1,3,4
224,18,601018,1,3,4
224,19,601019,1,3,4
224,20,601020,1,3,4
224,2025,601225,1,1,10
224,2026,601226,1,1,10
224,2027,601227,1,1,10
224,2028,601228,1,1,10
224,2029,601229,1,1,10
224,2030,601230,1,1,10
224,2031,601231,1,1,10
224,2032,601232,1,1,10
224,2033,601233,1,1,10
224,2034,601234,1,1,10
224,2035,601235,1,1,10
224,2036,601236,1,1,10
224,2037,601237,1,1,10
224,2038,601238,1,1,10
224,2039,601239,1,1,10
224,2040,601240,1,1,10
224,2041,601241,1,1,10
227,3,607003,1,3,5
227,4,607004,1,3,5
227,5,607005,1,3,1
227,6,607006,1,3,1
227,7,607007,1,3,1
227,8,607008,1,3,1
227,9,607009,1,3,1
227,3,607103,1,4,9
227,4,607104,1,4,9
227,5,607105,1,3,1
227,6,607106,1,3,1
227,7,607107,1,3,1
227,8,607108,1,3,1
227,9,607109,1,3,1
1003,1,602001,0,1,1
1003,2,602002,0,1,1
1003,3,602003,0,1,1
1003,4,602004,0,1,1
1003,5,602005,0,1,1
1003,6,602006,0,1,1
1003,7,602007,0,1,1
1003,8,602008,0,1,1
1003,9,602009,0,1,1
1003,10,602010,0,1,1
1003,11,602011,0,1,1
1003,12,602012,0,1,1
1003,13,602013,0,1,1
1003,14,602014,0,1,1
1003,15,602015,0,1,1
1003,16,602016,0,1,1
1003,17,602017,0,1,1
1003,18,602018,0,1,1
1003,19,602019,0,1,1
1003,20,602020,0,1,1
1003,21,602021,0,1,1
1003,2025,801003,2,1,2
1003,1,901003,1,1,12
1014,2025,801014,2,1,2
1014,1,901014,1,1,12
1015,2025,801003,2,2,2
1015,2025,801014,2,2,2
