previousteamid,playerid
11,20801
73,158023
243,165153
34,167495
263,181458
191,185122
241,186942
21,188545
461,189513
5,192119
13,192123
247,192318
10,192366
23,192448
481,192629
25,193698
241,194765
21,197445
76,199641
234,200389
5,201024
18,202126
1,202811
17,203376
7,203574
1796,203841
10,204485
29,204638
106,204935
32,204963
5,205452
1792,206085
38,206113
5,207410
1808,207421
23,207862
52,207865
452,208093
45,208333
240,208418
1824,208574
21,208722
1943,208920
52,209331
9,209499
34,209658
481,209981
45,210008
234,210035
242,210047
234,210257
45,210935
21,212190
32,212194
237,212198
10,212218
1831,212242
112139,212523
55,212616
112172,212622
52,212831
17,213648
111235,214096
245,215316
115845,215333
36,215441
1952,216267
131682,216352
95,216354
95,216393
69,218667
206,220502
95,220697
18,220793
21,220814
1925,220901
1925,221697
111974,222077
243,222665
10029,223334
115841,223848
34,223885
1,223959
110,224293
1952,224371
113974,224987
457,225193
32,225309
112172,225375
243,226161
48,226271
116310,226336
116303,226893
116010,226998
116325,227013
448,227127
116015,227353
116010,227392
166,227647
66,228618
245,228702
110062,228813
22,229237
1917,229348
144,229391
36,229476
112172,229558
131681,230621
112172,230899
9,231281
116302,231432
241,231443
116312,231736
73,231747
240,231866
1808,231936
116033,232202
112172,232411
115845,232488
65,232580
11,233306
8,233419
457,233731
52,234236
101112,234396
217,234824
36,235073
131682,235212
21,235243
5,235790
45,235805
110,236015
8,236532
116310,236640
10029,236703
112172,236772
219,236987
48,237086
112172,237678
1824,237679
243,237681
110374,238095
1043,238794
101110,239053
22,239085
245,239301
116033,239344
116001,239345
54,239580
234,239818
1808,239837
1746,240091
236,240130
110,240243
116280,240717
112809,240950
131681,241096
5,241159
481,241486
2,241852
247,242516
22,242835
116325,242896
246,243245
116303,243263
116017,243404
237,243576
64,243580
1819,243715
116001,244302
73,245367
21,246104
11,246147
116327,246178
10,246191
116034,246272
110374,246430
116325,246629
175,246863
234,247090
1887,247263
45,247394
116012,247504
48,247635
2014,247679
116002,247788
115999,247790
25,247819
1799,247827
66,247851
74,248243
115998,248717
116325,248794
116002,248822
10029,250959
112172,251517
65,251752
245,251805
65,251809
191,251852
472,251854
237,252145
22,252371
112868,253163
116033,256095
1824,256196
112670,256197
1824,256675
247,256853
10,257534
116010,258310
116033,258706
116010,259287
12,260247
116326,262457
66,264652
131362,264886
115995,264922
116001,264947
115999,264994
115996,265035
116002,265063
116012,265273
115997,267215
116306,267238
116305,267268
131478,267336
116303,267339
116312,267384
294,270409
74,271421
234,272834
116034,273946
1041,278016
116034,278219
1943,278349
