firstname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,hairtypecode,facepsdlayer0,lipcolor,cardstrictness,shoecolorcode2,skinsurfacepack,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,skinmakeup,socklengthcode,weight,eyedetail,gender,headassetid,faceposerpreset,eyecolorcode,jerseysleevelengthcode,sockstylecode,headclasscode,sideburnscode,isreal,headvariation,skintonecode,shortstyle,smallsidedshoetypecode,refereeid,facepsdlayer1,nationalitycode,skincomplexion,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Dong-Kyoo,Choi,30301,0,0,0,92,3,0,0,31,223101,500,2,165,83,315,143941,0,0,68,0,0,27113,0,3,0,0,0,0,0,0,4,0,500,176705,3,167,1,0,30,0,9,0
Hans,de Noteboom,30301,0,0,287,90,3,0,1,31,223101,4001,1,185,4,315,143870,0,0,88,0,0,27072,0,3,0,0,0,0,0,0,3,0,500,179576,4,7,1,0,30,0,6,0
Benoît,Taillade,30301,0,0,0,149,3,0,2,31,223101,2007,1,191,16,315,142284,0,0,78,0,0,27109,0,3,0,0,0,0,0,0,3,0,500,181722,0,18,1,0,30,0,4,0
Gökberk,Topaloğlu,30301,0,0,0,16,4,0,1,31,223101,28,1,172,68,315,146185,0,0,61,0,0,27073,0,3,0,0,0,0,0,0,3,0,500,181902,4,48,1,0,30,0,1,0
Gustavo,Apollonio,30301,0,0,287,29,1,0,0,31,223101,2001,2,173,31,315,146855,0,0,72,0,0,27074,0,2,0,0,0,0,0,0,3,0,500,182165,0,27,1,0,30,0,2,0
Loïc,Dacquigny,30301,0,9,0,155,3,0,1,31,223101,4002,2,180,17,315,140357,0,0,74,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,182553,0,18,1,0,30,0,2,3
Manuel Rui,Barbosa,30301,0,0,0,97,0,0,1,31,223101,1521,1,175,78,315,140357,0,0,65,0,0,27070,0,9,0,0,0,0,0,0,7,0,500,182561,3,54,1,0,30,0,1,0
Ingvar,Tollefsen,30301,0,6,0,104,3,0,1,31,223101,2507,1,186,41,315,141361,0,0,77,0,0,27099,0,5,0,0,0,0,0,0,2,0,500,182693,0,36,1,0,30,0,5,6
Mehmet,Yıldıraz,30301,0,0,0,150,3,0,1,31,223101,3,1,166,76,315,147532,0,0,73,0,0,27109,0,3,0,0,0,0,0,0,3,0,500,182737,0,48,1,0,30,0,9,0
Rainier,Vannier,30301,0,0,287,16,0,0,1,31,223101,4001,0,173,16,315,144545,0,0,63,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,182753,0,18,1,0,30,0,1,0
Sung-Kwan,Cho,30301,0,0,0,59,0,0,1,31,223101,505,1,176,83,315,144075,0,0,69,0,0,27075,0,9,0,0,0,0,0,0,4,0,500,182754,1,167,1,0,30,0,2,0
Leonardo,San Milano,30301,0,3,0,100,3,0,2,31,223101,1,1,176,31,315,144471,0,0,65,0,0,27080,0,4,0,0,0,0,0,0,4,0,500,182777,0,27,1,0,30,0,1,0
Zachariasz,Krzywicki,30301,0,1,0,75,3,0,1,31,223101,2012,1,172,66,315,145720,0,0,75,0,0,27082,0,2,0,0,0,0,0,0,2,0,500,182780,4,37,1,0,30,0,3,1
Valente,Larrazábal,30301,0,0,287,21,3,0,2,31,223101,4003,1,178,53,315,140099,0,0,69,0,0,27080,0,4,0,0,0,0,0,0,4,0,500,182817,0,45,1,0,30,0,1,0
Pim,Ploegmakers,30301,0,9,243,0,3,0,1,31,223101,1517,2,166,10,315,145396,0,0,75,0,0,27099,0,5,0,0,0,0,0,0,2,0,500,183061,0,34,1,0,30,0,9,3
Pedro,Orteguilla,30301,0,9,0,291,0,0,2,31,223101,3507,1,172,53,315,146600,0,0,70,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,183074,0,45,1,0,30,0,2,3
Lasse,Lagerroth,30301,0,1,0,75,3,0,1,31,223101,4000,1,178,56,315,146600,0,0,82,0,0,27082,0,2,0,0,0,0,0,0,2,0,500,183077,4,46,1,0,30,0,3,1
Hyun-Soon,Han,30301,0,0,0,553,4,0,1,31,223101,517,1,175,83,315,146600,0,0,66,0,0,27030,0,9,0,0,0,0,0,0,3,0,500,183079,1,167,1,0,30,0,3,0
Ireneusz,Iglikowski,30301,0,6,287,65,3,0,1,31,223101,2006,2,178,66,315,144215,0,0,65,0,0,27078,0,5,0,0,0,0,0,0,1,0,500,183083,2,37,1,0,30,0,1,3
Heimo,Wasserschneider,30301,0,3,243,26,3,0,1,31,223101,22,1,175,2076,315,144585,0,0,77,0,0,27110,0,7,0,0,0,0,0,0,2,0,500,183089,4,21,1,0,30,0,3,3
Vagiz,Volkov,30301,0,0,0,22,3,0,1,31,223101,2017,1,176,319,315,145487,0,0,64,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,183098,0,40,1,0,30,0,2,0
Alexey,Borochovsky,30301,0,3,0,107,3,0,1,31,223101,4,1,178,319,315,143849,0,0,67,0,0,27078,0,5,0,0,0,0,0,0,1,0,500,183102,2,40,1,0,30,0,1,0
Özgür,Öztürkmek,30301,0,0,287,101,0,0,2,31,223101,2511,1,182,68,315,147144,0,0,73,0,0,27051,0,3,0,0,0,0,0,0,4,0,500,183787,4,48,1,0,30,0,2,0
Wesley,Vangorten,30301,0,1,0,78,3,0,1,31,223101,11,0,168,4,315,144727,0,0,60,0,0,27082,0,2,0,0,0,0,0,0,2,0,500,188439,4,7,1,0,30,0,7,1
Paweł,Grygorski,30301,0,0,0,84,3,0,2,31,223101,2510,1,180,66,315,146587,0,0,74,0,0,27084,0,7,0,0,0,0,0,0,3,0,500,188444,0,37,1,0,30,0,2,0
Esben,Schjønberg,30301,0,3,0,150,0,0,0,31,223101,1512,2,172,1,315,146600,0,0,77,0,0,27108,0,6,0,0,0,0,0,0,2,0,500,188446,1,13,1,0,30,0,3,3
Jean,Rabault,30301,0,6,0,37,3,0,0,31,223101,2012,1,183,17,315,146600,0,0,71,0,0,27099,0,5,0,0,0,0,0,0,2,0,500,188448,0,18,1,0,30,0,1,6
Fabrice,Madoulet,30301,0,0,0,1,4,0,2,31,223101,4502,2,177,17,315,146600,0,0,85,0,0,27050,0,9,0,0,0,0,0,0,9,0,500,188449,1,18,1,0,30,0,3,0
Dietmar,Schönlebe,30301,0,5,0,277,3,0,2,31,223101,24,1,180,2076,315,146600,0,0,78,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,188451,0,21,1,0,30,0,2,3
Vitor,Secretario,30301,0,0,0,144,3,0,1,31,223101,1,2,180,308,315,144877,0,0,70,0,0,27085,0,4,0,0,0,0,0,0,3,0,500,188452,4,38,1,0,30,0,2,0
