shortsnumberplacementcode,shortsnumbercolorprimg,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,shortsnumbercolorterb,competitionid,shortsnumbercolorprimr,jerseynumbercolorterg,jerseynameoutlinecolorr,shortsnumbercolorprimb,jerseynamelayouttype,jerseynumbercolorterr,jerseynumbercolorprimb,jerseybacknameplacementcode,jerseynamecolorg,jerseynameoutlinecolorb,shortsnumbercolorsecg,jerseynumbercolorsecg,shortsnumbercolorterr,shortsnumbercolorterg,jerseynamecolorr,jerseynameoutlinecolorg,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,numberfonttype,jerseynamefonttype,year,teamtechid,jerseynameoutlinewidth,shortsnumberfonttype
1,28,0,12,220,220,220,220,14,0,12,12,136,1,12,220,1,220,12,220,12,220,220,220,12,12,220,12,220,0,0,23,49,0,1,0,89
1,28,0,12,220,220,220,220,60,0,12,12,136,1,12,220,1,220,12,220,12,220,220,220,12,12,220,12,220,0,0,23,49,0,1,0,89
1,28,0,12,220,220,220,220,61,0,12,12,136,1,12,220,1,220,12,220,12,220,220,220,12,12,220,12,220,0,0,23,49,0,1,0,89
1,220,0,12,220,220,12,12,14,220,12,12,220,1,12,220,1,220,12,12,12,12,12,220,12,12,220,12,12,0,1,23,49,0,1,0,89
1,220,0,12,220,220,12,12,60,220,12,12,220,1,12,220,1,220,12,12,12,12,12,220,12,12,220,12,12,0,1,23,49,0,1,0,89
1,220,0,12,220,220,12,12,61,220,12,12,220,1,12,220,1,220,12,12,12,12,12,220,12,12,220,12,12,0,1,23,49,0,1,0,89
1,12,0,220,12,12,220,220,14,12,220,12,12,1,220,12,1,12,12,220,220,220,220,12,12,220,12,220,220,0,2,23,49,0,1,0,89
1,12,0,220,12,12,220,220,60,12,220,12,12,1,220,12,1,12,12,220,220,220,220,12,12,220,12,220,220,0,2,23,49,0,1,0,89
1,12,0,220,12,12,220,220,61,12,220,12,12,1,220,12,1,12,12,220,220,220,220,12,12,220,12,220,220,0,2,23,49,0,1,0,89
1,220,0,220,12,12,12,12,14,220,220,12,220,1,220,12,1,12,12,12,220,12,12,12,12,220,12,220,12,0,3,23,49,0,1,0,89
1,220,0,220,12,12,12,12,60,220,220,12,220,1,220,12,1,12,12,12,220,12,12,12,12,220,12,220,12,0,3,23,49,0,1,0,89
1,220,0,220,12,12,12,12,61,220,220,12,220,1,220,12,1,12,12,12,220,12,12,12,12,220,12,220,12,0,3,23,49,0,1,0,89
1,12,0,12,220,220,220,220,14,12,12,12,12,1,12,220,1,220,12,220,12,220,220,220,12,12,220,12,220,0,0,23,49,0,2,0,89
1,12,0,12,220,220,220,220,60,12,12,12,12,1,12,220,1,220,12,220,12,220,220,220,12,12,220,12,220,0,0,23,49,0,2,0,89
1,12,0,12,220,220,220,220,61,12,12,12,12,1,12,220,1,220,12,220,12,220,220,220,12,12,220,12,220,0,0,23,49,0,2,0,89
1,12,0,220,12,12,220,220,14,12,220,12,12,1,220,12,1,12,12,220,220,220,220,12,12,220,12,220,220,0,1,23,49,0,2,0,89
1,12,0,220,12,12,220,220,60,12,220,12,12,1,220,12,1,12,12,220,220,220,220,12,12,220,12,220,220,0,1,23,49,0,2,0,89
1,12,0,220,12,12,220,220,61,12,220,12,12,1,220,12,1,12,12,220,220,220,220,12,12,220,12,220,220,0,1,23,49,0,2,0,89
1,220,0,12,220,220,12,12,14,220,12,12,220,1,12,220,1,220,12,12,12,12,12,220,12,12,220,12,12,0,2,23,49,0,2,0,89
1,220,0,12,220,220,12,12,60,220,12,12,220,1,12,220,1,220,12,12,12,12,12,220,12,12,220,12,12,0,2,23,49,0,2,0,89
1,220,0,12,220,220,12,12,61,220,12,12,220,1,12,220,1,220,12,12,12,12,12,220,12,12,220,12,12,0,2,23,49,0,2,0,89
1,220,0,12,220,220,12,12,14,220,12,12,220,1,12,220,1,220,12,12,12,12,12,220,12,12,220,12,12,0,3,23,49,0,2,0,89
1,220,0,12,220,220,12,12,60,220,12,12,220,1,12,220,1,220,12,12,12,12,12,220,12,12,220,12,12,0,3,23,49,0,2,0,89
1,220,0,12,220,220,12,12,61,220,12,12,220,1,12,220,1,220,12,12,12,12,12,220,12,12,220,12,12,0,3,23,49,0,2,0,89
1,30,0,220,234,30,220,220,13,234,220,220,45,0,220,45,1,30,220,220,220,220,220,234,220,220,45,220,220,0,0,262,135,0,3,2,262
1,220,0,220,220,220,220,12,13,220,12,12,220,0,12,220,1,220,12,220,220,12,12,220,12,220,220,12,220,0,1,262,135,0,3,2,262
1,12,0,25,12,12,25,220,13,12,220,12,12,0,220,12,1,12,12,25,25,220,220,12,12,25,12,220,25,0,2,265,135,0,3,2,265
1,30,0,220,234,30,220,220,13,234,220,220,45,1,220,45,1,30,220,220,220,220,220,234,220,220,45,220,220,0,0,262,135,0,4,2,262
