competitionid,iscupfinal,stadiumid
39,1,161
60,1,155
61,1,155
201,1,155
202,1,155
203,1,155
204,1,14
205,1,14
205,1,29
205,1,426
206,0,9
206,0,12
206,0,30
206,0,41
206,1,135
206,0,343
206,0,406
206,0,407
206,0,412
206,0,413
206,0,414
206,0,416
206,0,417
206,0,418
206,0,419
206,0,420
206,0,422
206,0,423
206,0,436
206,0,438
206,0,447
206,0,454
206,0,473
206,0,474
206,0,475
207,1,9
207,1,12
207,1,30
207,1,41
207,1,135
207,1,343
207,1,406
207,1,407
207,1,412
207,1,413
207,1,414
207,1,416
207,1,417
207,1,418
207,1,419
207,1,420
207,1,422
207,1,423
207,1,436
207,1,438
207,1,447
207,1,454
207,1,473
207,1,474
207,1,475
208,1,2
208,1,364
210,0,176
210,0,193
210,1,195
210,0,247
211,1,262
212,0,26
212,0,32
212,0,33
212,0,35
212,0,147
212,0,158
212,0,175
212,0,176
212,0,178
212,1,179
212,0,182
212,0,183
212,0,193
212,0,228
212,0,229
212,0,249
212,0,261
213,0,26
213,0,32
213,0,33
213,0,34
213,0,35
213,0,147
213,0,158
213,0,176
213,0,178
213,0,179
213,0,180
213,0,181
213,0,182
213,0,183
213,0,192
213,0,193
213,0,194
213,1,195
213,0,196
213,0,228
213,0,229
213,0,249
213,0,261
215,0,26
215,0,32
215,0,33
215,0,34
215,0,35
215,0,147
215,0,158
215,0,176
215,0,178
215,0,179
215,0,180
215,0,182
215,0,183
215,0,193
215,1,194
215,0,195
215,0,196
215,0,228
215,0,229
215,0,249
215,0,261
217,1,26
217,0,32
217,0,33
217,0,34
217,0,35
217,0,147
217,0,176
217,0,178
217,0,179
217,0,180
217,0,182
217,0,193
217,0,194
217,0,195
217,0,196
217,0,228
217,0,229
217,0,249
217,0,261
218,0,26
218,0,32
218,0,33
218,0,34
218,0,35
218,0,147
218,1,158
218,0,176
218,0,178
218,0,179
218,0,180
218,0,181
218,0,182
218,0,183
218,0,192
218,0,193
218,0,194
218,0,195
218,0,196
218,0,197
218,0,228
218,0,229
218,0,249
218,0,261
218,0,456
218,0,457
218,0,468
218,0,469
218,0,486
219,0,26
219,0,32
219,0,34
219,0,35
219,0,147
219,0,158
219,0,176
219,0,178
219,0,179
219,0,180
219,0,193
219,1,195
219,0,196
219,0,228
219,0,249
219,0,261
219,0,479
219,0,480
220,1,26
220,0,32
220,0,33
220,0,34
220,0,35
220,0,147
220,0,158
220,0,176
220,0,178
220,0,179
220,0,180
220,0,193
220,0,196
220,0,228
220,0,249
220,0,261
221,0,26
221,0,32
221,0,34
221,0,35
221,0,147
221,0,158
221,0,176
221,1,178
221,0,179
221,0,180
221,0,182
