secformvar2,secformvar27,secformvar1,skinsurfacepackweight7,secformvar18,secformvar24,secformvar11,skinsurfacepack5,secformweight3,secformweight4,secformweight2,skinsurfacepackweight0,secformvar23,secformvar16,secformweight13,skinsurfacepackweight6,secformvar6,secformvar10,secformvar8,secformweight20,skinsurfacepack3,skinsurfacepackweight1,secformvar17,secformweight27,secformweight6,assetid,skinsurfacepackweight2,secformvar14,secformvar0,secformweight5,secformvar25,skinsurfacepack4,secformvar9,skinsurfacepack7,secformweight8,secformvar19,secformweight10,secformvar22,secformvar7,secformvar13,skinsurfacepackweight5,secformweight21,secformweight1,skinsurfacepack6,skinsurfacepack0,secformweight9,secformweight25,secformvar15,skinsurfacepackweight3,secformweight26,secformweight7,secformweight17,skinsurfacepack1,secformweight19,secformweight0,skinsurfacepackweight4,secformvar12,secformweight24,secformweight18,secformweight11,secformvar21,secformvar4,secformweight22,secformweight16,secformweight23,secformvar20,secformvar3,secformvar26,secformvar5,secformweight15,secformweight12,skinsurfacepack2,secformweight14
0,0,0,100,0,0,0,234101,0,0,0,100,0,0,0,100,0,0,0,0,234101,100,0,0,0,49472,100,0,0,0,0,234101,0,234101,0,0,0,0,0,0,100,0,0,234101,234101,0,0,0,100,0,0,0,234101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234101,0
0,0,0,100,0,0,0,232001,0,0,0,100,0,0,0,100,0,0,0,0,232001,100,0,0,0,78928,100,0,0,0,0,232001,0,232001,0,0,0,0,0,0,100,0,0,232001,232001,0,0,0,100,0,0,0,232001,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232001,0
0,0,0,100,0,0,0,224001,0,0,0,100,0,0,0,100,0,0,0,0,224001,100,0,0,0,79429,100,0,0,0,0,224001,0,224001,0,0,0,0,0,0,100,0,0,224001,224001,0,0,0,100,0,0,0,224001,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224001,0
0,0,0,100,0,0,0,220001,0,0,0,100,0,0,0,100,0,0,0,0,220001,100,0,0,0,79718,100,0,0,0,0,220001,0,220001,0,0,0,0,0,0,100,0,0,220001,220001,0,0,0,100,0,0,0,220001,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220001,0
0,0,0,100,0,0,0,230101,0,0,0,100,0,0,0,100,0,0,0,0,230101,100,0,0,0,79738,100,0,0,0,0,230101,0,230101,0,0,0,0,0,0,100,0,0,230101,230101,0,0,0,100,0,0,0,230101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230101,0
0,0,0,100,0,0,0,232101,0,0,0,100,0,0,0,100,0,0,0,0,232101,100,0,0,0,247571,100,0,0,0,0,232101,0,232101,0,0,0,0,0,0,100,0,0,232101,232101,0,0,0,100,0,0,0,232101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232101,0
0,0,0,100,0,0,0,223101,0,0,0,100,0,0,0,100,0,0,0,0,223101,100,0,0,0,258055,100,0,0,0,0,223101,0,223101,0,0,0,0,0,0,100,0,0,223101,223101,0,0,0,100,0,0,0,223101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223101,0
0,0,0,100,0,0,0,231102,0,0,0,100,0,0,0,100,0,0,0,0,231102,100,0,0,0,258062,100,0,0,0,0,231102,0,231102,0,0,0,0,0,0,100,0,0,231102,231102,0,0,0,100,0,0,0,231102,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231102,0
0,0,0,100,0,0,0,232001,0,0,0,100,0,0,0,100,0,0,0,0,232001,100,0,0,0,258069,100,0,0,0,0,232001,0,232001,0,0,0,0,0,0,100,0,0,232001,232001,0,0,0,100,0,0,0,232001,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232001,0
0,0,0,100,0,0,0,223101,0,0,0,100,0,0,0,100,0,0,0,0,223101,100,0,0,0,258072,100,0,0,0,0,223101,0,223101,0,0,0,0,0,0,100,0,0,223101,223101,0,0,0,100,0,0,0,223101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223101,0
0,0,0,100,0,0,0,232001,0,0,0,100,0,0,0,100,0,0,0,0,232001,100,0,0,0,258074,100,0,0,0,0,232001,0,232001,0,0,0,0,0,0,100,0,0,232001,232001,0,0,0,100,0,0,0,232001,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232001,0
0,0,0,100,0,0,0,224001,0,0,0,100,0,0,0,100,0,0,0,0,224001,100,0,0,0,278112,100,0,0,0,0,224001,0,224001,0,0,0,0,0,0,100,0,0,224001,224001,0,0,0,100,0,0,0,224001,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224001,0
