topsecondlayerid,accessorytypethree,usekitwarmuppants,usewardrobeaccessory,bottomsecondlayertexturevariation,socktexturevariation,shoeid,usekitaccessory,accessorytypeone,accessorytypefour,useplayerarms,gkgloves,sockid,usewardrobesock,useshoe,useplayerlegs,leglength,accessorytypeonevariation,jerseykitid,gkglovetype,usekitgkgloves,gender,useplayershadow,bottomtexturevariation,usekitwarmupjacket,accessorytypefourvariation,outfitarmlength,bottomid,shortskitid,usekitsock,shoedesign,sockskitid,accessorytypethreevariation,topsecondlayertexturevariation,topbasetexturevariation,usekitwarmupbib,outfitid,usekitbottom,topbaseid,bottomsecondlayerid,accessorytypetwovariation,accessorytypetwo
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,579,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,422005,0,0,0,0,0,0,3,0,2,0,123005,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450010,0,0,0,0,0,0,0,0,4,0,1,0,0,0
122080,0,0,0,0,0,302,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,500,1,1,0,0,0
2000,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,1000,0,1000,4000,0,0
2001,0,0,0,0,0,2001,0,0,0,0,0,5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3001,0,0,0,0,0,0,0,0,1001,0,1001,4001,0,0
2002,0,0,0,0,0,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3002,0,0,0,0,0,0,0,0,1002,0,1002,4002,0,0
2003,0,0,0,0,0,2003,0,0,0,0,0,5003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3003,0,0,0,0,0,0,0,0,1003,0,1003,4003,0,0
2003,0,0,0,0,0,2004,0,0,0,0,0,5003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3003,0,0,0,0,0,0,0,0,1004,0,1003,4003,0,0
