firstname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,hairtypecode,facepsdlayer0,lipcolor,cardstrictness,shoecolorcode2,skinsurfacepack,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,skinmakeup,socklengthcode,weight,eyedetail,gender,headassetid,faceposerpreset,eyecolorcode,jerseysleevelengthcode,sockstylecode,headclasscode,sideburnscode,isreal,headvariation,skintonecode,shortstyle,smallsidedshoetypecode,refereeid,facepsdlayer1,nationalitycode,skincomplexion,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Oliver,Mackey,30301,0,27,0,220,3,0,1,15,223101,17,1,182,60,1,150194,0,0,75,0,0,27082,0,2,0,0,0,0,1,0,2,0,500,73469,4,14,1,0,0,0,1,27
Ross,Martin,30301,0,19,254,672,3,0,1,15,223101,3500,1,180,60,1,150194,0,0,75,0,0,27072,0,3,0,0,0,0,1,0,3,0,500,73472,4,14,1,0,0,0,2,6
David,McNamara,30301,0,23,253,636,4,0,1,15,223101,2007,1,177,60,1,145080,0,0,80,0,0,27073,0,3,0,0,0,0,1,0,3,0,500,73473,4,14,1,0,0,0,3,22
Matthew,McQuillan,30301,0,3,251,186,1,0,1,15,223101,48,1,177,60,1,146907,0,0,75,0,0,27074,0,2,0,0,0,0,1,0,3,0,500,73474,0,14,1,0,0,0,2,3
Andrew,Miller,30301,0,5,0,150,3,0,1,15,223101,52,1,184,60,1,146357,0,0,80,0,0,27067,0,2,0,0,0,0,1,0,3,0,500,73475,0,14,1,0,0,0,2,5
Stuart,Morland,30301,0,21,243,0,3,0,1,15,223101,20,1,180,60,1,147362,0,0,75,0,0,27099,0,5,0,0,0,0,1,0,2,0,500,73476,0,14,1,0,0,0,2,21
John,Mulligan,30301,0,5,0,660,3,0,1,15,223101,17,1,174,60,1,144350,0,0,70,0,0,27071,0,2,0,0,0,0,1,0,2,0,500,73478,2,14,1,0,0,0,2,5
Jamie,O'Connor,30301,0,5,287,243,3,0,1,15,223101,49,1,184,60,1,143374,0,0,77,0,0,27071,0,2,0,0,0,0,1,0,2,0,500,73479,2,14,1,0,0,0,1,5
Stephen,Parkinson,30301,0,18,287,693,3,0,1,15,223101,33,1,181,60,1,148792,0,0,78,0,0,27081,0,4,0,0,0,0,1,0,5,0,500,73481,4,14,1,0,0,0,2,18
Adrian,Quelch,30301,0,5,287,297,3,0,1,15,223101,4021,1,175,60,1,147453,0,0,80,0,0,27072,0,3,0,0,0,0,1,0,3,0,500,73482,4,14,1,0,0,0,3,5
Garreth,Rhodes,30301,0,3,287,681,3,0,1,15,223101,3516,1,176,60,1,143679,0,0,77,0,0,27078,0,5,0,0,0,0,1,0,1,0,500,73484,2,14,1,0,0,0,2,3
Ruebyn,Ricardo,30301,0,0,16,240,4,0,1,15,223101,1528,1,178,60,1,149645,0,0,72,0,0,27073,0,3,0,0,0,0,1,0,3,0,500,73486,4,14,1,0,0,0,1,0
Greg,Rollason,30301,0,3,253,284,0,0,1,15,223101,2006,1,178,60,1,146279,0,0,75,0,0,27036,0,10,0,0,0,0,1,0,2,0,500,73489,4,14,1,0,0,0,2,3
Matthew,Russell,30301,0,2,0,138,3,0,1,15,223101,3,1,185,60,1,150479,0,0,71,0,0,27082,0,2,0,0,0,0,1,0,2,0,500,73492,4,14,1,0,0,0,4,2
Lewis,Smith,30301,0,3,0,243,0,0,1,15,223101,47,1,183,60,1,149715,0,0,76,0,0,27036,0,10,0,0,0,0,1,0,2,0,500,73493,4,14,1,0,0,0,2,3
Callum,Walchester,30301,0,3,0,114,3,0,1,15,223101,2014,1,180,60,1,149569,0,0,76,0,0,27084,0,7,0,0,0,0,1,0,3,0,500,73497,0,14,1,0,0,0,2,3
James,Westgate,30301,0,6,0,681,1,0,1,15,223101,2020,1,187,60,1,149821,0,0,78,0,0,27074,0,2,0,0,0,0,1,0,3,0,500,73499,0,14,1,0,0,0,5,6
Ben,Wyatt,30301,0,0,0,190,0,0,1,15,223101,4021,1,176,60,1,149150,0,0,75,0,0,27093,0,4,0,0,0,0,1,0,3,0,500,73500,2,14,1,0,0,0,2,0
Cheryl,Foster,1140503,0,12,0,583,0,0,1,15,223101,5514,1,168,2216,1,145357,0,0,60,0,1,40954,0,8,0,0,0,0,1,0,2,0,500,73514,0,50,1,0,0,0,8,12
Aji,Ajibola,30301,0,0,37,241,4,0,1,15,223101,1024,1,172,60,1,146732,0,0,73,0,0,27076,0,9,0,0,0,0,1,0,9,0,500,73520,1,14,1,0,0,0,3,0
Richard,Aspinall,30301,0,20,0,0,3,0,1,15,223101,58,1,172,60,1,146269,0,0,70,0,0,27110,0,7,0,0,0,0,1,0,2,0,500,73522,4,14,1,0,0,0,2,20
Dale,Baines,30301,0,0,0,152,3,0,1,15,223101,2520,1,170,60,1,150239,0,0,69,0,0,27071,0,2,0,0,0,0,1,0,2,0,500,73523,2,14,1,0,0,0,7,0
James,Bancroft,30301,0,12,260,221,3,0,1,15,223101,2021,1,175,60,1,150640,0,0,73,0,0,27078,0,5,0,0,0,0,1,0,1,0,500,73525,2,14,1,0,0,0,1,12
Michael,Barlow,30301,0,13,287,184,3,0,1,15,223101,3516,1,172,60,1,149411,0,0,71,0,0,27071,0,2,0,0,0,0,1,0,2,0,500,73526,2,14,1,0,0,0,2,12
Elliot,Bell,30301,0,5,0,122,3,0,1,15,223101,2020,1,174,60,1,148758,0,0,73,0,0,27071,0,2,0,0,0,0,1,0,2,0,500,73527,2,14,1,0,0,0,2,19
Alex,Chilowicz,30301,0,0,0,29,3,0,1,15,223101,34,1,170,60,1,147707,0,0,73,0,0,27112,0,5,0,0,0,0,1,0,2,0,500,73528,2,95,1,0,0,0,8,0
Paul,Cooper,30301,0,15,0,0,3,0,1,15,223101,2020,1,175,60,1,145717,0,0,73,0,0,27099,0,5,0,0,0,0,1,0,2,0,500,73530,0,14,1,0,0,0,1,15
Steven,Copeland,30301,0,5,0,297,3,0,1,15,223101,2027,1,170,60,1,146158,0,0,71,0,0,27112,0,5,0,0,0,0,1,0,2,0,500,73531,2,14,1,0,0,0,8,9
Michael,Crusham,30301,0,0,259,135,0,0,1,15,223101,3507,1,172,60,1,146605,0,0,71,0,0,27036,0,10,0,0,0,0,1,0,2,0,500,73532,4,14,1,0,0,0,2,0
Alan,Dale,30301,0,19,0,75,3,0,1,15,223101,4008,1,172,60,1,148768,0,0,71,0,0,27085,0,4,0,0,0,0,1,0,3,0,500,73534,4,14,1,0,0,0,2,6
William,Davis,30301,0,6,0,77,3,0,1,15,223101,29,1,172,60,1,151213,0,0,71,0,0,27071,0,2,0,0,0,0,1,0,2,0,500,73535,2,14,1,0,0,0,2,6
James,Durkin,30301,0,12,287,1065,3,0,1,15,223101,47,1,172,60,1,145679,0,0,76,0,0,27071,0,2,0,0,0,0,1,0,2,0,500,73536,2,14,1,0,0,0,2,19
Richard,Eley,30301,0,3,0,175,0,0,1,15,223101,41,1,174,60,1,150316,0,0,73,0,0,27036,0,10,0,0,0,0,1,0,2,0,500,73537,4,14,1,0,0,0,2,20
Aaron,Farmer,30301,0,20,259,445,3,0,1,15,223101,34,1,173,60,1,149997,0,0,71,0,0,27078,0,5,0,0,0,0,1,0,1,0,500,73538,2,14,1,0,0,0,2,3
Andrew,Humphries,30301,0,4,243,221,3,0,1,15,223101,57,1,180,60,1,150030,0,0,79,0,0,27082,0,2,0,0,0,0,1,0,2,0,500,73553,4,14,1,0,0,0,2,4
Aaron,Jackson,30301,0,3,246,660,0,0,1,15,223101,4019,1,183,60,1,147770,0,0,79,0,0,27051,0,3,0,0,0,0,1,0,4,0,500,73557,4,14,1,0,0,0,2,3
Paul,Johnson,30301,0,2,287,681,3,0,1,15,223101,47,1,178,60,1,146358,0,0,75,0,0,27112,0,5,0,0,0,0,1,0,2,0,500,73559,2,14,1,0,0,0,2,2
Zac,Kennard-Kettle,30301,0,17,0,101,3,0,1,15,223101,4021,1,180,60,1,150770,0,0,75,0,0,27071,0,2,0,0,0,0,1,0,2,0,500,73560,2,14,1,0,0,0,2,5
Paul,Marsden,30301,0,23,0,37,3,0,1,15,223101,34,1,179,60,1,144822,0,0,75,0,0,27084,0,7,0,0,0,0,1,0,3,0,500,73591,0,14,1,0,0,0,2,23
Dong-Kyoo,Choi,30301,0,0,0,92,3,0,0,15,223101,500,2,165,83,1,143941,0,0,68,0,0,27113,0,3,0,0,0,0,0,0,4,0,500,176705,3,167,1,0,0,0,9,0
Benoît,Taillade,30301,0,0,0,149,3,0,2,15,223101,2007,1,191,16,1,142284,0,0,78,0,0,27109,0,3,0,0,0,0,0,0,3,0,500,181722,0,18,1,0,0,0,4,0
Gökberk,Topaloğlu,30301,0,0,0,16,4,0,1,15,223101,28,1,172,68,1,146185,0,0,61,0,0,27073,0,3,0,0,0,0,0,0,3,0,500,181902,4,48,1,0,0,0,1,0
Gustavo,Apollonio,30301,0,0,287,29,1,0,0,0,223101,2001,2,173,31,1,146855,0,0,72,0,0,27074,0,2,0,0,0,0,0,0,3,0,500,182165,0,27,1,0,0,0,2,0
Loïc,Dacquigny,30301,0,9,0,155,3,0,1,15,223101,4002,2,180,17,1,140357,0,0,74,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,182553,0,18,1,0,0,0,2,3
Manuel Rui,Barbosa,30301,0,0,0,97,0,0,1,31,223101,1521,1,175,2092,315,140357,0,0,65,0,0,27070,0,9,0,0,0,0,0,0,7,0,500,182561,3,54,1,0,30,0,1,0
Ingvar,Tollefsen,30301,0,6,0,104,3,0,1,15,223101,2507,1,186,41,1,141361,0,0,77,0,0,27099,0,5,0,0,0,0,0,0,2,0,500,182693,0,36,1,0,0,0,5,6
Mehmet,Yıldıraz,30301,0,0,0,150,3,0,1,15,223101,3,1,166,76,1,147532,0,0,73,0,0,27109,0,3,0,0,0,0,0,0,3,0,500,182737,0,48,1,0,0,0,9,0
Rainier,Vannier,30301,0,0,287,16,0,0,1,15,223101,4001,0,173,16,1,144545,0,0,63,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,182753,0,18,1,0,0,0,1,0
Sung-Kwan,Cho,30301,0,0,0,59,0,0,1,15,223101,505,1,176,83,1,144075,0,0,69,0,0,27075,0,9,0,0,0,0,0,0,4,0,500,182754,1,167,1,0,0,0,2,0
Leonardo,San Milano,30301,0,3,0,100,3,0,2,0,223101,1,1,176,31,1,144471,0,0,65,0,0,27080,0,4,0,0,0,0,0,0,4,0,500,182777,0,27,1,0,0,0,1,0
Valente,Larrazábal,30301,0,0,287,21,3,0,2,15,223101,4003,1,178,53,1,140099,0,0,69,0,0,27080,0,4,0,0,0,0,0,0,4,0,500,182817,0,45,1,0,0,0,1,0
Pim,Ploegmakers,30301,0,9,243,0,3,0,1,15,223101,1517,2,166,10,1,145396,0,0,75,0,0,27099,0,5,0,0,0,0,0,0,2,0,500,183061,0,34,1,0,0,0,9,3
Pedro,Orteguilla,30301,0,9,0,291,0,0,2,15,223101,3507,1,172,53,1,146600,0,0,70,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,183074,0,45,1,0,0,0,2,3
Lasse,Lagerroth,30301,0,1,0,75,3,0,1,15,223101,4000,1,178,56,1,146600,0,0,82,0,0,27082,0,2,0,0,0,0,0,0,2,0,500,183077,4,46,1,0,0,0,3,1
Hyun-Soon,Han,30301,0,0,0,553,4,0,1,15,223101,517,1,175,83,1,146600,0,0,66,0,0,27030,0,9,0,0,0,0,0,0,3,0,500,183079,1,167,1,0,0,0,3,0
Scott,McBeanie,30301,0,2,0,104,0,0,1,15,223101,12,1,183,384,1,146600,0,0,75,0,0,183080,0,1,0,0,1,0,0,0,2,0,500,183080,0,14,1,0,0,0,2,1
Ireneusz,Iglikowski,30301,0,6,287,65,3,0,1,15,223101,2006,2,178,66,1,144215,0,0,65,0,0,27078,0,5,0,0,0,0,0,0,1,0,500,183083,2,37,1,0,0,0,1,3
Heimo,Wasserschneider,30301,0,3,243,26,3,0,1,15,223101,22,1,175,2076,1,144585,0,0,77,0,0,27110,0,7,0,0,0,0,0,0,2,0,500,183089,4,21,1,0,0,0,3,3
Özgür,Öztürkmek,30301,0,0,287,101,0,0,2,15,223101,2511,1,182,68,1,147144,0,0,73,0,0,27051,0,3,0,0,0,0,0,0,4,0,500,183787,4,48,1,0,0,0,2,0
Wesley,Vangorten,30301,0,1,0,78,3,0,1,15,223101,11,0,168,4,1,144727,0,0,60,0,0,27082,0,2,0,0,0,0,0,0,2,0,500,188439,4,7,1,0,0,0,7,1
Paweł,Grygorski,30301,0,0,0,84,3,0,2,15,223101,2510,1,180,66,1,146587,0,0,74,0,0,27084,0,7,0,0,0,0,0,0,3,0,500,188444,0,37,1,0,0,0,2,0
Esben,Schjønberg,30301,0,3,0,150,0,0,0,15,223101,1512,2,172,1,1,146600,0,0,77,0,0,27108,0,6,0,0,0,0,0,0,2,0,500,188446,1,13,1,0,0,0,3,3
Jean,Rabault,30301,0,6,0,37,3,0,0,15,223101,2012,1,183,17,1,146600,0,0,71,0,0,27099,0,5,0,0,0,0,0,0,2,0,500,188448,0,18,1,0,0,0,1,6
Fabrice,Madoulet,30301,0,0,0,1,4,0,2,15,223101,4502,2,177,17,1,146600,0,0,85,0,0,27050,0,9,0,0,0,0,0,0,9,0,500,188449,1,18,1,0,0,0,3,0
Dietmar,Schönlebe,30301,0,5,0,277,3,0,2,15,223101,24,1,180,2076,1,146600,0,0,78,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,188451,0,21,1,0,0,0,2,3
Vitor,Secretario,30301,0,0,0,144,3,0,1,15,223101,1,2,180,308,1,144877,0,0,70,0,0,27085,0,4,0,0,0,0,0,0,3,0,500,188452,4,38,1,0,0,0,2,0
Steffen,Schwurbel,30301,0,1,0,64,3,0,2,15,223101,2002,1,179,2076,1,146600,0,0,70,0,0,27078,0,5,0,0,0,0,0,0,1,0,500,188455,2,21,1,0,0,0,1,1
Torjus,Løken,30301,0,5,0,102,3,0,0,15,223101,2,1,185,41,1,146600,0,0,73,0,0,27081,0,4,0,0,0,0,0,0,5,0,500,188461,4,36,1,0,0,0,4,6
