teamkitid,chestbadge,shortsnumberplacementcode,shortsnumbercolorprimg,teamcolorsecb,shortsrenderingdetailmaptype,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,teamcolorprimg,shortsnumbercolorterb,shortsnumbercolorprimr,teamcolortertb,jerseynumbercolorterg,jerseynameoutlinecolorr,shortsnumbercolorprimb,jerseynamelayouttype,jerseynumbercolorterr,jerseyrightsleevebadge,jerseynumbercolorprimb,jerseyshapestyle,jerseybacknameplacementcode,teamcolorprimr,jerseynamecolorg,jerseyleftsleevebadge,jerseynameoutlinecolorb,teamcolorsecg,shortsnumbercolorsecg,teamcolortertr,jerseynumbercolorsecg,renderingmaterialtype,shortsnumbercolorterr,teamcolorsecr,jerseycollargeometrytype,shortsnumbercolorterg,jerseynamecolorr,teamcolorprimb,jerseyrenderingdetailmaptype,jerseynameoutlinecolorg,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,teamcolortertg,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,powid,isinheritbasedetailmap,islocked,numberfonttype,shortstemplateindex,jerseynamefonttype,teamcolorprimpercent,isgeneric,teamcolorsecpercent,year,jerseytemplateindex,captainarmband,teamtechid,isembargoed,hasadvertisingkit,jerseynameoutlinewidth,dlc,teamcolortertpercent,armbandtype,shortsnumberfonttype,shortstyle,jerseyfit,sockstemplateindex,jerseyrestriction
1344,0,1,30,230,0,0,220,220,220,99,19,220,28,230,12,12,77,1,12,13,220,0,1,210,220,0,12,230,41,230,220,0,220,230,0,220,220,51,0,12,220,220,12,230,33,0,0,-1,0,0,262,0,135,49,0,44,0,9,13,1,0,0,2,0,88,1,265,0,0,0,0
1345,0,1,220,229,0,0,220,220,220,220,30,12,220,41,12,12,220,1,12,13,220,0,1,30,220,0,12,229,220,39,220,0,12,229,7,12,220,30,0,12,220,220,12,39,220,0,1,-1,0,0,262,0,135,90,0,5,0,9,13,1,0,0,2,0,92,0,262,0,0,0,0
1346,0,1,12,41,0,0,25,12,12,25,217,220,12,19,220,220,12,1,220,13,12,0,1,211,12,0,220,181,25,182,25,0,220,160,7,220,12,30,0,220,25,12,220,230,25,0,2,-1,0,0,265,0,135,77,0,9,0,10,13,1,0,0,2,0,96,1,265,0,0,0,0
1347,0,1,220,201,0,0,25,12,12,220,190,12,220,77,220,220,220,1,220,13,12,0,1,164,12,0,220,144,220,47,25,0,12,146,0,12,12,216,0,220,25,12,220,49,220,0,3,-1,0,0,265,0,135,72,0,11,0,8,13,1,0,0,2,0,91,1,262,3,0,0,0
1348,0,1,12,224,0,0,220,220,220,25,28,220,12,230,12,12,12,1,12,13,220,0,1,63,220,0,12,202,25,230,220,0,220,191,0,220,220,40,0,12,220,220,12,230,25,0,0,-1,0,0,262,0,135,80,0,19,0,9,13,2,0,1,2,0,99,1,265,0,0,0,1
1349,0,1,12,231,0,0,25,12,12,25,231,220,12,225,220,220,12,1,220,13,12,0,1,231,12,0,220,231,25,159,25,0,220,231,22,220,12,231,0,220,25,12,220,186,25,0,1,-1,0,0,265,0,135,96,0,96,0,9,13,2,0,1,2,0,99,1,265,0,0,0,1
1765,0,1,220,78,0,0,220,220,220,220,113,12,220,65,12,12,220,1,12,13,220,0,1,1,220,0,12,165,220,0,220,0,12,250,7,12,220,66,0,12,220,220,12,112,220,0,2,-1,0,0,262,0,135,79,0,8,0,6,13,2,0,1,2,0,95,0,262,0,0,0,1
5745,0,1,220,60,0,0,220,220,220,220,43,12,220,59,12,12,220,1,12,13,220,0,1,34,220,0,12,43,220,34,220,0,12,34,0,12,220,60,0,12,220,220,12,43,220,0,3,-1,0,0,262,0,135,95,0,95,0,9,13,2,0,1,2,0,100,0,262,0,0,0,1
1350,0,1,38,144,0,0,220,225,38,220,231,140,225,231,71,4,29,0,4,14,29,0,1,231,38,0,140,73,220,231,220,0,4,3,11,71,225,231,0,71,220,29,140,231,220,0,0,-1,0,0,238,0,49,49,0,46,0,0,14,3,0,0,2,0,93,0,89,0,0,0,0
1351,0,1,220,30,0,0,238,220,220,52,39,12,220,29,12,12,220,0,12,14,220,0,1,39,220,0,12,40,57,226,57,0,12,226,7,12,220,39,0,12,52,220,12,38,238,0,1,-1,0,0,238,0,49,88,0,8,0,0,14,3,0,0,2,0,80,0,89,0,0,0,0
