probability,ucctype,animationid,playerid
1.0,0,17,51
1.0,0,3,250
1.0,0,17,5419
1.0,0,1,7512
1.0,0,2,13128
1.0,0,3,13128
1.0,0,2,20801
1.0,1,82,20801
1.0,0,14,28130
1.0,0,2,54050
1.0,1,8,71215
1.0,0,2,72221
1.0,1,61,72890
1.0,1,42,73512
1.0,1,83,73949
1.0,1,83,76684
1.0,1,64,79402
1.0,1,25,150516
1.0,1,103,150516
1.0,0,2,150525
1.0,1,20,150525
1.0,0,1,153048
1.0,0,2,158023
1.0,0,18,158023
1.0,1,101,158023
1.0,0,2,161840
1.0,0,11,161840
1.0,1,20,161840
1.0,0,18,163050
1.0,1,20,163050
1.0,0,2,165153
1.0,0,10,165153
1.0,1,20,165153
1.0,1,88,165153
1.0,1,14,166149
1.0,0,17,167134
1.0,0,17,167198
1.0,1,41,169792
1.0,0,18,170368
1.0,0,16,176048
1.0,0,2,176571
1.0,0,9,176580
1.0,1,62,176580
1.0,0,2,176930
1.0,0,2,177922
1.0,1,34,178509
1.0,1,88,178509
1.0,0,3,179746
1.0,0,17,179746
1.0,0,2,179752
1.0,0,2,179813
1.0,0,18,179813
1.0,1,27,179813
1.0,0,10,181291
1.0,1,104,181291
1.0,0,2,181872
1.0,0,2,182091
1.0,1,25,183277
1.0,1,44,183277
1.0,0,2,183544
1.0,0,18,183569
1.0,0,16,183898
1.0,0,18,184111
1.0,1,41,184484
1.0,1,24,184941
1.0,1,61,185349
1.0,0,11,186146
1.0,0,2,186190
1.0,1,88,186190
1.0,0,2,186537
1.0,1,42,186783
1.0,1,69,186783
1.0,1,41,186905
1.0,0,11,186942
1.0,1,42,187075
1.0,0,2,187157
1.0,1,95,187157
1.0,0,1,188042
1.0,1,20,188042
1.0,1,8,188091
1.0,1,20,188350
1.0,1,41,188350
1.0,0,10,188545
1.0,1,41,188545
1.0,1,99,188545
1.0,0,2,188567
1.0,1,14,188567
1.0,1,52,188567
1.0,0,2,189177
1.0,1,88,189177
1.0,0,23,189225
1.0,0,2,189250
1.0,1,24,189250
1.0,0,2,189505
1.0,1,62,189513
1.0,1,44,190045
1.0,0,2,190046
1.0,0,22,190180
1.0,0,2,190239
1.0,0,10,190362
1.0,0,11,190362
1.0,1,24,190362
1.0,0,2,190460
1.0,1,25,190460
1.0,0,17,190583
1.0,1,2,190583
1.0,1,20,190583
1.0,0,2,190644
1.0,1,103,190813
1.0,0,5,190852
1.0,0,2,190972
1.0,0,2,192123
1.0,1,83,192366
1.0,0,11,192387
1.0,0,19,192450
1.0,1,88,192450
1.0,0,18,192505
1.0,1,2,192505
1.0,0,16,192678
1.0,1,68,192679
1.0,0,14,192906
1.0,1,20,192906
1.0,0,10,192985
1.0,1,21,193301
1.0,0,2,193348
1.0,0,2,193532
1.0,0,5,193884
1.0,0,2,194017
1.0,1,20,194017
1.0,0,17,194018
1.0,0,2,194138
1.0,1,83,194201
1.0,1,45,194765
1.0,0,2,194996
1.0,1,1,195262
1.0,0,17,195427
1.0,1,86,195864
1.0,0,5,197225
1.0,1,101,197225
1.0,0,18,197445
1.0,1,44,197756
1.0,1,101,197756
1.0,1,5,197781
1.0,1,83,197965
1.0,0,16,198219
1.0,1,44,198219
1.0,0,17,198331
1.0,0,1,198640
1.0,1,37,198640
1.0,0,2,198717
1.0,1,20,198717
1.0,1,55,198776
1.0,1,99,199247
1.0,1,101,199247
1.0,0,16,199602
1.0,1,83,199627
1.0,1,29,199689
1.0,0,2,199737
1.0,0,18,200104
1.0,1,10,200104
1.0,1,59,200104
1.0,0,17,200197
1.0,1,2,200197
1.0,0,2,200260
1.0,1,20,200260
1.0,1,44,200433
1.0,0,22,200724
1.0,1,27,201153
1.0,0,5,201399
1.0,1,92,201399
1.0,1,19,201887
1.0,1,67,201942
1.0,1,76,201942
1.0,0,2,201943
1.0,0,2,202126
1.0,1,20,202126
1.0,1,41,202126
1.0,1,19,202556
1.0,1,44,202652
1.0,1,88,202686
1.0,1,88,203263
1.0,0,2,203483
1.0,1,102,203486
1.0,0,2,203502
1.0,1,20,203502
1.0,1,20,203895
1.0,0,17,204007
1.0,0,2,204280
1.0,0,1,204370
1.0,0,19,204412
1.0,1,68,204412
1.0,0,2,204485
1.0,1,24,204485
1.0,1,2539,204485
1.0,1,95,204529
1.0,1,97,204542
1.0,0,2,204838
1.0,1,88,204923
1.0,0,1,204970
1.0,0,2,205070
1.0,1,37,205070
1.0,1,2539,205175
1.0,1,62,205401
1.0,1,29,205402
1.0,0,2,205569
1.0,1,54,205569
1.0,0,2,205678
1.0,0,2,205693
1.0,1,36,205850
1.0,1,25,205887
1.0,0,5,205970
1.0,1,6,205970
1.0,1,25,205970
1.0,1,82,206085
1.0,1,18,206113
1.0,1,88,206517
1.0,0,5,206534
1.0,0,10,206534
1.0,1,88,206626
1.0,0,2,206655
1.0,0,2,207421
1.0,1,68,207421
1.0,0,9,207732
1.0,0,2,207791
1.0,1,24,207791
1.0,0,2,207828
1.0,1,88,207828
1.0,1,8,207858
1.0,1,93,207877
1.0,1,104,208054
1.0,0,2,208093
1.0,0,11,208093
1.0,1,20,208093
1.0,1,41,208093
1.0,1,20,208159
1.0,1,29,208159
1.0,1,32,208615
1.0,1,27,208622
1.0,0,2,208722
1.0,1,2,208722
1.0,1,67,208722
1.0,1,8,208769
1.0,1,61,208949
1.0,1,20,208974
1.0,0,2,209264
1.0,1,44,209264
1.0,0,2,209331
1.0,0,14,209331
1.0,1,64,209331
1.0,0,18,209888
1.0,0,11,209889
1.0,1,88,209889
