competitionid,country,dataoverride,homeleagueid,partnerEnabled,artificialkey,IsHomeTeamInStadium,CompComparisonType,ExcepType,MatchType,awayleagueid
0,WW,-1,19,-1,1,1,-1,0,-1,19
0,WW,-1,20,-1,2,1,-1,0,-1,19
0,WW,-1,19,-1,3,1,-1,0,-1,20
0,WW,-1,20,-1,4,1,-1,0,-1,20
0,WW,-1,19,-1,5,1,-1,3,16,-1
0,WW,-1,19,-1,6,0,-1,3,16,-1
207,WW,-1,-1,-1,7,-1,0,1,-1,-1
22,WW,-1,-1,-1,8,-1,0,1,-1,-1
233,WW,-1,-1,-1,9,-1,0,1,-1,-1
224,WW,-1,-1,-1,10,-1,0,1,-1,-1
225,WW,-1,-1,-1,11,-1,0,1,-1,-1
227,WW,-1,-1,-1,12,-1,0,1,-1,-1
208,WW,-1,-1,-1,13,-1,0,1,-1,-1
2141,WW,-1,-1,-1,14,-1,0,1,-1,-1
1004,WW,-1,-1,-1,15,-1,0,1,-1,-1
1015,WW,-1,-1,-1,16,-1,0,1,-1,-1
1016,WW,-1,-1,-1,17,-1,0,1,-1,-1
228,WW,-1,-1,-1,18,-1,0,1,-1,-1
233,WW,-1,-1,-1,19,-1,1,2,-1,-1
224,WW,-1,-1,-1,20,-1,1,2,-1,-1
225,WW,-1,-1,-1,21,-1,1,2,-1,-1
227,WW,-1,-1,-1,22,-1,1,2,-1,-1
20,WW,-1,-1,-1,23,-1,1,2,-1,-1
21,WW,-1,-1,-1,24,-1,1,2,-1,-1
2077,WW,-1,-1,-1,25,-1,1,2,-1,-1
54,WW,-1,-1,-1,26,-1,1,2,-1,-1
55,WW,-1,-1,-1,27,-1,1,2,-1,-1
17,WW,-1,-1,-1,28,-1,1,2,-1,-1
18,WW,-1,-1,-1,29,-1,1,2,-1,-1
40,WW,-1,-1,-1,30,-1,1,2,-1,-1
2222,WW,-1,-1,-1,31,-1,1,2,-1,-1
228,WW,-1,-1,-1,32,-1,1,2,-1,-1
2217,WW,-1,-1,-1,33,-1,1,2,-1,-1
2219,WW,-1,-1,-1,34,-1,1,2,-1,-1
15,WW,-1,-1,-1,35,-1,1,2,-1,-1
61,WW,-1,-1,-1,36,-1,1,2,-1,-1
62,WW,-1,-1,-1,37,-1,1,2,-1,-1
361,WW,-1,-1,-1,38,-1,1,2,-1,-1
362,WW,-1,-1,-1,39,-1,1,2,-1,-1
415,WW,-1,-1,-1,40,-1,1,2,-1,-1
203,WW,-1,-1,-1,41,-1,1,2,-1,-1
204,WW,-1,-1,-1,42,-1,1,2,-1,-1
0,WW,20,20,-1,43,1,0,4,-1,19
0,WW,19,19,-1,44,1,0,4,-1,20
0,WW,17,17,-1,45,1,0,4,-1,16
0,WW,16,16,-1,46,1,0,4,-1,17
1507,WW,20,20,-1,47,1,0,4,-1,20
1507,WW,19,19,-1,48,1,0,4,-1,19
2171,WW,19,19,-1,49,1,0,4,-1,19
861,WW,840,-1,-1,50,1,0,4,-1,-1
867,WW,842,-1,-1,51,1,0,4,-1,-1
844,WW,863,-1,-1,52,1,0,4,-1,-1
866,WW,841,-1,-1,53,1,0,4,-1,-1
867,WW,842,-1,-1,54,1,0,4,-1,-1
848,WW,821,-1,-1,55,1,0,4,-1,-1
849,WW,821,-1,-1,56,1,0,4,-1,-1
850,WW,821,-1,-1,57,1,0,4,-1,-1
851,WW,821,-1,-1,58,1,0,4,-1,-1
869,WW,821,-1,-1,59,1,0,4,-1,-1
870,WW,821,-1,-1,60,1,0,4,-1,-1
871,WW,821,-1,-1,61,1,0,4,-1,-1
872,WW,821,-1,-1,62,1,0,4,-1,-1
863,WW,846,-1,-1,63,1,0,4,-1,-1
862,WW,845,-1,-1,64,1,0,4,-1,-1
865,WW,844,-1,-1,65,1,0,4,-1,-1
823,WW,820,-1,-1,66,1,0,4,-1,-1
852,WW,820,-1,-1,67,1,0,4,-1,-1
868,WW,820,-1,-1,68,1,0,4,-1,-1
3001,GB,3010,-1,3,69,1,0,5,-1,-1
3002,GB,3011,-1,3,70,1,0,5,-1,-1
3001,US,3020,-1,3,71,1,0,5,-1,-1
3002,US,3021,-1,3,72,1,0,5,-1,-1
3001,WW,3030,-1,3,73,1,0,5,-1,-1
3002,WW,3031,-1,3,74,1,0,5,-1,-1
3001,SE,3010,-1,3,75,1,0,5,-1,-1
3002,SE,3011,-1,3,76,1,0,5,-1,-1
3001,DK,3010,-1,3,77,1,0,5,-1,-1
3002,DK,3011,-1,3,78,1,0,5,-1,-1
3001,NO,3010,-1,3,79,1,0,5,-1,-1
3002,NO,3011,-1,3,80,1,0,5,-1,-1
3001,FI,3010,-1,3,81,1,0,5,-1,-1
3002,FI,3011,-1,3,82,1,0,5,-1,-1
3001,IS,3010,-1,3,83,1,0,5,-1,-1
3002,IS,3011,-1,3,84,1,0,5,-1,-1
3001,NL,3010,-1,3,85,1,0,5,-1,-1
3002,NL,3011,-1,3,86,1,0,5,-1,-1
3001,IE,3010,-1,3,87,1,0,5,-1,-1
3002,IE,3011,-1,3,88,1,0,5,-1,-1
