competitionid,goals,redcards,appearances,assists,cleansheets,artificialkey,playerid,yellowcards
1,2,0,15,4,0,0,70860,3
1,9,0,31,5,1,1,71110,6
1,3,1,28,5,1,2,71170,4
1,0,1,6,0,0,3,71342,1
1,0,0,27,1,3,4,73125,6
1,8,0,26,3,0,5,73298,3
1,1,1,28,3,1,6,73301,4
1,2,0,31,2,0,7,73364,6
1,7,1,27,1,0,8,73366,4
1,4,2,25,1,4,9,73645,4
1,0,0,28,0,7,10,132740,0
1,20,0,32,0,3,11,191083,2
1,4,0,24,3,4,12,193283,8
1,0,0,32,0,6,13,200209,0
1,3,0,19,4,2,14,201943,4
1,8,0,27,7,4,15,203362,1
1,0,0,30,6,1,16,207886,3
1,3,0,29,4,5,17,208564,9
1,2,0,23,1,3,18,210625,7
1,1,0,31,2,6,19,210646,6
1,2,0,22,0,5,20,212121,5
1,1,0,28,2,2,21,213530,6
1,3,0,26,0,3,22,215686,10
1,0,1,1,0,0,23,215693,0
1,6,0,32,0,6,24,223566,3
1,1,0,15,4,3,25,224067,4
1,8,0,19,2,1,26,224389,4
1,12,0,24,1,3,27,224438,5
1,6,0,29,5,0,28,224483,1
1,0,1,16,0,5,29,225948,3
1,0,1,30,0,8,30,228505,0
1,1,0,24,2,8,31,229150,7
1,0,1,29,3,4,32,231233,2
1,2,0,30,0,7,33,231828,0
1,1,0,31,2,7,34,234472,1
1,1,0,31,2,6,35,234501,4
1,0,0,28,1,8,36,234827,4
1,6,0,30,6,5,37,236883,5
1,3,0,20,5,0,38,242612,1
1,2,1,15,3,2,39,243283,4
1,10,0,32,5,4,40,243371,0
1,15,0,30,2,3,41,243646,1
1,1,1,22,3,4,42,244181,5
1,0,1,17,3,5,43,246014,2
1,1,0,32,2,6,44,246434,7
1,0,1,12,0,7,45,248478,2
1,2,0,26,4,4,46,250853,7
1,1,0,24,1,1,47,251201,6
1,1,0,20,1,0,48,251629,6
1,1,0,28,4,8,49,254638,1
1,12,0,32,4,1,50,255185,3
1,3,0,23,0,4,51,255211,5
1,14,0,32,12,0,52,255464,2
1,1,0,28,1,7,53,256082,5
1,1,0,28,3,7,54,256222,5
1,8,1,30,2,4,55,256746,4
1,3,0,23,6,0,56,256933,0
1,17,0,29,5,1,57,257167,4
1,1,0,19,7,2,58,257259,1
1,9,0,28,3,6,59,257972,1
1,11,0,26,5,1,60,259130,3
1,13,0,25,1,3,61,260896,1
1,0,1,17,0,0,62,261670,0
1,10,0,25,7,1,63,262538,4
1,0,0,14,3,1,64,262541,5
1,3,0,16,4,1,65,262794,4
1,2,0,23,5,1,66,263672,5
1,1,0,19,2,7,67,263711,5
1,9,0,27,2,1,68,264263,1
1,2,0,31,2,3,69,264502,6
1,1,0,30,6,0,70,264822,1
1,1,0,26,0,6,71,266890,3
1,2,1,22,2,1,72,270536,0
1,15,0,33,4,1,73,271320,2
1,3,1,27,3,1,74,272932,4
1,3,0,26,1,6,75,274187,5
1,2,1,19,3,0,76,275704,3
1,11,0,28,3,1,77,277211,3
1,3,1,24,2,0,78,278012,5
1,2,1,29,3,1,79,278359,3
1,3,0,30,2,6,80,279015,4
4,2,0,23,5,1,81,70427,2
4,1,1,7,0,0,82,71191,1
4,0,1,8,0,0,83,72912,2
4,4,1,33,6,7,84,72954,1
4,19,0,34,4,2,85,73070,9
4,16,0,34,5,4,86,74896,3
4,2,0,27,1,5,87,74963,8
4,0,1,17,2,7,88,183491,4
4,0,0,40,0,20,89,184167,2
4,1,2,28,2,5,90,185349,9
4,0,0,38,0,17,91,200059,1
4,10,0,39,13,10,92,200155,4
4,13,1,32,3,0,93,200429,3
4,1,0,33,1,2,94,201438,9
4,14,0,40,6,4,95,204060,2
4,0,0,26,0,11,96,204549,1
4,1,0,30,2,15,97,210044,11
4,0,0,35,3,7,98,210831,12
4,3,0,40,1,13,99,212204,2
4,2,0,39,2,13,100,222875,4
4,9,0,29,5,3,101,223933,2
4,1,1,23,0,6,102,225487,5
4,0,1,17,1,3,103,226431,4
4,11,0,34,7,4,104,226537,9
4,18,0,31,1,0,105,228687,1
4,1,1,34,0,15,106,232873,2
4,1,1,14,0,3,107,233225,1
4,2,1,35,0,12,108,233230,10
4,2,0,23,5,4,109,233965,3
4,9,0,26,3,1,110,234683,0
4,14,0,39,3,11,111,235242,10
4,3,1,38,7,5,112,235661,10
4,3,0,18,5,3,113,236918,0
4,0,1,30,1,10,114,236947,9
4,10,0,17,1,1,115,237254,3
4,3,1,35,6,3,116,237337,4
4,0,0,39,2,13,117,238409,2
4,0,0,38,0,11,118,243294,5
4,1,1,37,0,12,119,243530,7
4,1,1,33,7,15,120,244889,4
4,1,1,23,1,4,121,246284,6
4,2,0,34,2,13,122,246826,4
4,9,1,31,2,0,123,247539,4
4,0,0,20,0,5,124,247771,9
4,21,0,33,4,0,125,251156,9
4,2,0,27,2,4,126,251466,8
4,3,0,37,5,12,127,251479,4
4,7,0,35,6,0,128,251575,6
4,5,0,28,7,1,129,252108,1
4,4,1,25,5,0,130,255241,3
4,7,0,22,5,1,131,255460,2
4,1,2,31,0,4,132,255558,6
4,16,1,38,9,4,133,256948,4
4,0,1,24,0,7,134,258763,1
4,21,0,40,5,2,135,258911,2
4,0,2,31,2,3,136,259043,6
4,8,0,37,8,3,137,260570,1
4,1,1,26,1,4,138,260977,5
4,1,0,30,7,2,139,261312,9
4,1,0,27,6,0,140,261531,9
4,0,0,27,1,11,141,262265,0
4,1,0,40,6,11,142,262925,6
4,0,1,24,0,1,143,263549,6
4,5,1,29,8,0,144,264201,6
4,10,0,36,3,1,145,265800,2
4,1,0,38,3,11,146,266681,3
4,1,0,39,3,17,147,269230,6
4,0,0,34,0,11,148,270700,6
4,0,1,21,0,5,149,270821,0
4,9,0,33,1,3,150,270905,4
4,0,1,21,1,2,151,270923,2
4,0,2,38,0,11,152,271032,4
4,0,2,8,0,0,153,271205,1
4,8,0,32,1,2,154,271979,9
4,3,1,23,0,4,155,272407,4
4,16,0,29,2,4,156,273915,3
4,0,0,38,3,5,157,274057,9
4,9,0,28,3,0,158,275051,5
4,13,0,39,2,2,159,275401,9
4,3,0,33,0,11,160,277022,9
4,1,1,23,0,1,161,277180,5
4,7,0,36,7,0,162,277975,6
10,1,0,30,1,6,163,72972,6
10,9,0,24,2,0,164,73949,0
10,0,1,8,0,0,165,74336,0
10,0,1,26,0,5,166,74344,3
10,0,1,15,0,6,167,74411,1
10,0,0,24,1,11,168,162328,0
10,9,0,27,8,0,169,181458,4
10,1,0,28,4,6,170,183711,6
10,0,1,17,0,0,171,188621,1
10,14,0,31,8,2,172,189805,3
10,2,1,32,0,9,173,192559,3
10,3,1,33,1,9,174,193440,2
10,0,0,31,3,9,175,197860,3
10,0,0,31,0,11,176,199833,0
10,0,1,26,2,3,177,200122,7
10,3,0,31,2,6,178,207725,6
10,0,0,28,0,10,179,210832,1
10,1,1,18,0,0,180,213839,0
10,0,0,34,0,9,181,215223,0
10,0,0,29,1,10,182,223686,2
10,10,0,24,2,0,183,223689,2
10,9,1,26,0,1,184,224324,2
10,1,0,30,6,8,185,225863,2
10,4,1,18,2,0,186,226539,1
10,1,0,34,1,9,187,227794,10
10,10,0,33,2,0,188,230737,2
10,0,1,29,6,4,189,233178,3
10,10,0,32,11,2,190,235663,2
10,13,0,30,0,4,191,237807,3
10,10,1,26,6,3,192,237895,5
10,0,1,10,0,0,193,238840,0
10,11,0,29,10,1,194,239380,1
10,0,0,25,6,2,195,241509,1
10,1,0,18,1,3,196,241693,6
10,27,0,35,7,4,197,244728,3
10,14,0,30,2,1,198,245902,0
10,3,0,32,1,10,199,247103,5
10,5,0,34,7,1,200,247120,1
10,4,0,34,7,1,201,247209,2
10,6,0,32,15,4,202,247447,1
10,2,1,21,0,4,203,247931,1
10,2,2,29,0,5,204,250813,9
10,11,0,18,2,3,205,251223,1
10,4,0,30,3,3,206,251810,6
10,1,0,29,3,3,207,251812,9
10,0,1,11,0,0,208,252169,1
10,6,0,33,0,4,209,252382,7
10,1,1,22,2,1,210,252383,1
10,1,0,27,8,2,211,253109,3
10,12,0,25,3,0,212,253399,2
10,6,0,30,7,4,213,254789,5
10,1,0,33,0,6,214,255449,9
10,2,0,29,0,10,215,256325,3
10,10,0,26,5,1,216,256800,4
10,12,0,26,2,2,217,256853,2
10,1,0,26,1,5,218,259163,6
10,11,0,29,11,1,219,259480,2
10,1,0,36,7,10,220,260076,4
10,8,0,33,4,7,221,260523,8
10,1,1,18,0,1,222,261249,3
10,2,1,32,7,1,223,262221,4
10,1,1,21,1,1,224,262222,1
10,1,0,36,6,9,225,262311,1
10,3,0,31,1,5,226,262412,6
10,2,0,34,8,8,227,262473,3
10,4,0,34,1,9,228,262790,2
10,0,0,33,0,10,229,263798,0
10,1,0,23,0,13,230,264220,2
10,0,1,13,0,1,231,264248,3
10,1,1,33,0,10,232,264288,3
10,9,0,30,1,2,233,265450,1
10,13,0,29,0,0,234,267974,2
10,0,1,13,0,1,235,268106,1
10,1,1,23,1,1,236,268450,7
10,3,1,25,4,7,237,269153,5
10,1,1,32,0,4,238,269246,7
10,2,1,26,6,7,239,271266,2
10,16,0,34,10,9,240,271400,0
10,0,0,30,0,9,241,272958,0
10,2,0,31,6,11,242,272978,6
10,1,1,28,4,7,243,273752,9
10,5,0,29,2,5,244,275867,8
10,1,0,33,0,4,245,276632,7
10,0,0,34,2,3,246,277672,11
10,1,1,15,0,0,247,278338,1
10,1,1,24,0,4,248,278628,5
13,20,0,36,3,1,249,192123,1
13,4,0,28,7,4,250,192985,2
13,0,0,37,3,11,251,193474,9
