assetid,internalassetid,internalstringid,stringid,country,id,overlayid,brandtype
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,0,-1,0
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,1,-1,1
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,2,-1,2
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,3,-1,3
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,4,-1,4
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,5,-1,5
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,6,-1,6
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,7,-1,7
powered_by_aws,powered_by_aws,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,8,-1,9
powered_by_aws,powered_by_aws,BRANDPARTNER_HYPER,BRANDPARTNER_BUND_SMALL,DE,9,-1,9
powered_by_aws,powered_by_aws,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,10,-1,10
wow_middle,wow_middle,BRANDPARTNER_HYPER,BRANDPARTNER_BUND_SMALL,DE,11,-1,10
powered_by_aws,powered_by_aws,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,12,-1,11
wow_right,wow_right,BRANDPARTNER_HYPER,BRANDPARTNER_BUND_SMALL,DE,13,-1,11
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,14,21,1
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,15,29,0
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,16,35,0
opta,opta,BRANDPARTNER_OPTA,BRANDPARTNER_OPTA,WW,17,69,0
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,18,73,0
opta,opta,BRANDPARTNER_OPTA,BRANDPARTNER_OPTA,WW,19,74,0
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,20,102,6
opta,opta,BRANDPARTNER_OPTA,BRANDPARTNER_OPTA,WW,21,112,0
opta,opta,BRANDPARTNER_OPTA,BRANDPARTNER_OPTA,WW,22,113,0
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,23,134,0
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,24,42,2
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,25,15,2
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,26,135,8
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,27,135,0
