playerid35,playerid0,playerid9,customsub0in,playerid36,rightfreekicktakerid,playerid44,playerid27,playerid1,playerid38,playerid31,playerid7,playerid20,playerid39,playerid42,playerid48,playerid13,playerid6,customsub0out,playerid37,playerid5,playerid45,playerid8,playerid14,playerid46,longkicktakerid,playerid12,playerid2,rightcornerkicktakerid,playerid30,customsub1in,playerid15,playerid41,playerid47,playerid23,playerid16,customsub1out,leftcornerkicktakerid,playerid18,playerid4,playerid40,playerid49,customsub2out,teamid,playerid22,playerid24,playerid11,customsub2in,playerid3,captainid,playerid51,leftfreekicktakerid,playerid25,playerid33,playerid19,playerid17,playerid26,playerid50,playerid34,penaltytakerid,playerid32,freekicktakerid,playerid28,playerid21,playerid10,playerid43,playerid29
-1,220901,241651,-1,-1,234378,-1,-1,251805,-1,-1,234378,210697,-1,-1,-1,235794,222665,-1,-1,248148,-1,246669,231936,-1,234378,225193,243715,246669,-1,-1,278773,-1,-1,230666,264846,-1,234378,271807,257711,-1,-1,-1,1,235790,-1,254796,-1,232580,222665,-1,234378,-1,-1,251566,206585,-1,-1,-1,241651,-1,234378,-1,256197,207421,-1,-1
-1,202811,216393,-1,-1,200458,-1,-1,227174,-1,-1,210881,246174,-1,-1,-1,264209,257057,-1,-1,236987,-1,260247,80816,-1,216393,226162,227678,200458,-1,-1,241464,-1,-1,275468,248465,-1,227174,233049,200458,-1,-1,-1,2,199189,-1,231447,-1,212419,210881,-1,216393,-1,-1,258444,200110,-1,-1,-1,221697,-1,200458,-1,221660,221697,-1,-1
-1,74726,225748,-1,-1,225748,-1,75639,260142,-1,-1,244626,270787,-1,-1,-1,263678,73196,-1,-1,212099,-1,218343,70114,-1,225748,255855,231540,225748,-1,-1,235770,-1,-1,256358,263654,-1,225748,247913,237211,-1,-1,-1,3,193910,274959,245652,-1,241534,225748,-1,225748,270140,-1,73427,240595,71956,-1,-1,245766,-1,225748,71447,242751,245766,-1,-1
-1,257126,244871,-1,-1,212366,-1,78230,229073,-1,-1,271743,236528,-1,-1,-1,233442,271668,-1,-1,212366,-1,268927,235807,-1,268927,244565,239540,265700,74910,-1,244240,-1,-1,200778,252878,-1,212366,277986,265700,-1,-1,-1,4,79114,225867,241523,-1,240912,212366,-1,268927,221705,-1,238368,266842,254522,-1,-1,265777,-1,212366,78298,231878,265777,-1,75265
-1,228789,257534,-1,-1,257534,-1,261530,238074,-1,-1,238616,71651,-1,-1,-1,263620,247090,-1,-1,256079,-1,266032,248695,-1,257534,76687,230918,238616,-1,-1,259307,-1,-1,268438,272978,-1,247090,71998,239231,-1,-1,-1,5,262859,242578,273018,-1,222104,238074,-1,257534,269495,-1,259031,258485,278813,-1,-1,257534,-1,257534,202652,248158,252042,-1,229942
-1,204935,237386,-1,-1,237386,-1,-1,253510,-1,-1,261188,268631,-1,-1,-1,259714,193474,-1,-1,243657,-1,206517,266609,-1,237386,256402,202695,237386,-1,-1,247649,-1,-1,225650,180216,-1,243657,279497,244380,-1,-1,-1,7,70448,-1,243282,-1,207599,204935,-1,243657,-1,-1,276295,232284,-1,-1,-1,251892,-1,243657,-1,257896,251892,-1,-1
-1,230670,258906,-1,-1,257191,-1,-1,244591,-1,-1,236764,244238,-1,-1,-1,235735,232104,-1,-1,248384,-1,257191,231554,-1,257191,247361,229266,257191,-1,-1,242663,-1,-1,203215,208892,-1,257191,232080,236822,-1,-1,-1,8,221479,74145,237161,-1,239360,239360,-1,257191,242656,-1,230084,193331,-1,-1,-1,247249,-1,257191,-1,242530,247249,-1,-1
-1,212831,256630,-1,-1,256630,-1,247601,253149,-1,-1,209331,80376,-1,-1,-1,232487,239837,-1,-1,246104,-1,242516,216267,-1,256630,242434,237678,256630,-1,-1,225100,-1,-1,79922,264298,-1,256630,236772,260908,-1,-1,-1,9,279128,222514,235805,-1,203376,203376,-1,256630,271975,-1,233731,262621,252897,-1,-1,209331,-1,256630,-1,70824,257289,-1,-1
-1,230621,239085,-1,-1,256675,-1,-1,253124,-1,-1,240638,277031,-1,-1,-1,208920,218667,-1,-1,231866,-1,277295,203574,-1,240638,255069,239818,218667,-1,-1,271574,-1,-1,207410,277427,-1,240638,270409,242641,-1,-1,-1,10,204246,251570,237692,-1,251517,218667,-1,256675,224081,-1,246420,263063,-1,-1,-1,239085,-1,256675,-1,200159,256675,-1,-1
-1,243647,260592,-1,-1,212198,-1,-1,236401,-1,-1,212198,269233,-1,-1,-1,269136,200145,-1,-1,277432,-1,243014,203263,-1,212198,233064,269087,243014,-1,-1,234574,-1,-1,238041,75087,-1,212198,254088,205988,-1,-1,-1,11,74142,77354,253306,-1,235243,212198,-1,212198,239301,-1,250961,254803,-1,-1,-1,212198,-1,212198,-1,163264,240243,-1,-1
