starrating,firstname,commonname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,managerid,accessorycode4,hairtypecode,facepsdlayer0,lipcolor,skinsurfacepack,accessorycode3,accessorycolourcode1,headtypecode,height,seasonaloutfitid,birthdate,isrewardable,skinmakeup,trait1vweak,weight,hashighqualityhead,eyedetail,gender,headassetid,ethnicity,faceposerpreset,islicensed,teamid,trait1vequal,eyecolorcode,personalityid,accessorycolourcode3,accessorycode1,headclasscode,nationality,sideburnscode,accessorycolourcode4,headvariation,skintonecode,outfitid,facepsdlayer1,skincomplexion,accessorycode2,hairstylecode,bodytypecode,managerjointeamdate,trait1vstrong,accessorycolourcode2,facialhaircolorcode
4.5,Mikel,Mikel Arteta,Arteta Amatriain,2150302,0,0,251,254782,0,160,1,0,232201,0,0,2521,175,5557,145895,0,0,131586,75,0,2,0,45119,4,0,1,1,131586,5,1,0,0,0,45,0,0,0,4,5718,4,4,0,0,81,159678,263170,0,0
4.5,Unai,Unai Emery,Emery Etxegoien,2150000,0,22,254,237389,0,177,3,0,253101,0,0,2020,181,5509,142099,0,0,132224,75,1,2,0,237389,3,0,1,2,270464,4,1,0,0,0,45,0,0,0,4,5586,0,3,0,0,81,160725,4198528,0,22
3.0,,,,60101,0,3,45,45367,0,689,3,0,242201,0,0,3002,191,5558,145139,0,0,4195344,83,0,2,0,26547,4,0,0,3,532496,3,1,0,0,0,18,0,0,0,4,5718,3,6,0,0,85,161572,528400,0,6
2.0,,,,60101,0,9,246,265778,0,65,3,0,223101,0,0,42,183,5509,145139,0,0,132224,75,0,2,0,26543,2,0,0,4,132224,7,0,0,0,0,14,0,0,0,2,5713,2,2,0,0,82,161138,270464,0,0
4.5,Enzo,,Maresca,2150301,0,8,252,263428,0,0,3,0,242101,0,0,52,180,5511,145120,0,0,132233,75,1,3,0,263428,4,0,1,5,263305,5,0,0,0,0,27,0,0,0,4,5566,2,4,0,0,82,160952,4202633,0,8
4.0,David,,Moyes,70101,0,24,0,235732,0,147,3,0,252102,0,0,3516,185,5509,138985,0,0,4195400,79,1,6,0,235732,1,0,1,7,532552,8,0,0,0,0,42,0,0,0,3,5718,2,1,0,0,85,161527,528456,0,4
3.5,Daniel,,Farke,2150301,0,5,251,249179,0,35,3,0,252102,0,0,1546,182,5509,143922,0,0,66689,75,1,2,0,249179,3,0,1,8,66689,4,0,0,0,0,21,0,0,0,4,5713,4,3,0,0,82,160970,139393,0,22
5.0,Arne,,Slot,60103,0,0,0,250808,0,0,3,0,242101,0,0,48,184,5509,144609,0,0,131712,75,1,2,0,250808,3,0,1,9,131712,4,0,0,0,0,34,0,0,0,2,5718,4,6,0,0,82,161303,263296,0,3
5.0,Josep,Pep Guardiola,Guardiola i Sala,60201,0,23,289,169894,0,0,3,0,242201,0,0,1526,180,5509,141810,0,0,131712,73,1,0,0,243712,2,0,1,10,131712,4,1,0,0,0,45,0,0,1,4,5718,4,2,0,0,82,158411,263296,0,8
4.0,Rúben Filipe,Rúben Amorim,Marques Amorim,2150401,0,0,245,254801,0,679,1,0,240201,0,0,1533,180,5509,146933,0,0,132244,75,1,2,0,138463,4,0,1,11,270484,3,0,0,0,0,38,0,0,0,4,5707,2,4,0,0,82,161466,4198548,0,0
3.0,,,,60101,0,6,0,102001,0,176,3,0,223101,0,0,2010,185,5509,145139,0,0,263298,74,0,2,0,26541,2,0,0,12,4195458,6,0,0,0,0,50,0,0,0,2,5566,0,2,0,0,84,161691,532610,0,5
4.5,Eddie,,Howe,1140401,0,1,287,232297,0,118,3,0,242101,0,0,2021,178,5511,144317,0,0,135296,75,1,2,0,232297,2,0,1,13,133248,2,0,0,0,0,14,0,0,0,3,5510,4,1,0,0,81,160367,264320,0,1
4.0,Ange,,Postecoglou,2290401,7,23,251,220812,0,243,0,0,252102,0,0,2007,184,5511,139840,0,0,135488,75,1,2,0,220812,2,0,1,14,264512,5,0,0,0,0,195,0,0,0,1,5713,2,1,0,0,83,161768,4196672,0,23
3.0,,,,1360000,0,3,287,249814,0,642,3,0,232001,0,0,2030,183,5555,145139,0,0,4195584,75,0,2,0,26541,2,0,0,15,532736,6,0,0,0,0,18,0,0,0,2,5504,0,2,0,0,81,161692,528640,0,0
3.5,,,,60101,0,7,0,260609,0,148,3,0,223101,0,0,2002,190,5511,145139,0,0,66688,75,0,2,0,26539,1,0,0,17,66688,1,1,0,0,0,7,0,0,0,1,5728,4,1,0,0,85,161661,139392,0,7
4.0,Thomas,,Frank,240501,0,6,0,250581,0,69,3,0,250101,0,0,2004,182,5557,142805,0,0,66692,75,1,6,0,250581,2,0,1,18,66692,5,1,0,0,0,13,0,0,0,3,5713,0,4,0,0,81,161679,139396,0,22
3.5,Graham,,Potter,70102,0,5,58,156320,0,154,1,0,233101,0,0,1511,185,5511,143393,0,0,4195472,75,1,6,0,156320,2,0,1,19,532624,2,0,0,0,0,14,0,0,0,2,5510,4,2,0,0,84,161525,528528,0,19
4.0,Vincent,,Kompany,2150000,0,0,247,251204,0,3011,0,0,223101,0,0,1001,190,5509,147371,0,0,131716,75,1,2,0,139720,6,0,1,21,131716,9,0,0,0,0,7,0,0,1,6,5520,4,6,0,0,5,160585,263300,0,0
4.5,,,,40301,0,23,243,3800,0,57,3,0,233101,0,0,2002,178,5509,145139,0,0,135300,72,0,6,0,26541,2,0,0,22,133252,6,0,0,0,0,10,0,0,0,2,5717,0,2,0,0,82,160602,264324,0,9
3.5,,,,2190101,0,3,287,138420,0,35,3,0,252102,0,0,2512,186,5541,145139,0,0,132098,83,0,6,0,26541,3,0,0,23,270338,6,0,0,0,0,47,0,0,0,3,5707,0,1,0,0,85,160237,4198402,0,6
3.5,,,,60101,0,19,259,73498,0,114,3,0,223101,0,0,48,189,5557,145139,0,0,132098,75,0,2,0,26541,3,0,0,25,263170,6,0,0,0,0,21,0,0,0,3,5707,0,3,0,0,84,161333,4202498,0,0
1.5,Daniel,,Brinkmann,2150301,0,2,243,75593,0,655,0,0,234101,0,0,3,193,5510,147300,0,0,270592,75,0,2,0,75593,2,0,1,27,4198656,5,1,0,0,1,21,0,0,0,2,5707,0,1,0,0,85,161457,526592,0,2
3.0,,,,60101,0,6,35,71014,0,667,3,0,223101,0,0,4005,182,5511,145139,0,0,270337,75,0,2,0,26543,3,0,0,28,4198401,7,0,0,0,0,21,0,0,0,3,5520,2,3,0,0,82,161193,526337,0,6
2.5,,,,2310101,0,6,246,169229,0,0,3,0,232001,0,0,3513,174,5521,145139,0,0,132097,68,0,0,0,26538,3,0,0,29,132097,2,1,0,0,0,21,0,0,0,3,5552,4,1,0,0,88,161628,270337,0,6
3.0,,,,2330101,0,2,255,249957,0,186,3,0,232001,0,0,2515,178,5552,145139,0,0,4202624,75,0,0,0,26541,3,0,0,31,528512,6,1,0,0,0,21,0,0,0,3,5522,0,1,0,0,82,160237,526464,0,3
3.5,,,,2160501,0,5,0,249835,0,154,3,0,242101,0,0,2008,184,5557,145139,0,0,132096,75,0,2,0,26541,2,0,0,32,132096,6,0,0,0,0,13,0,0,0,2,5508,0,3,0,0,82,161767,270336,0,1
1.5,Patrick,,Glöckner,2090201,0,23,259,253443,0,57,0,0,232201,0,0,2031,185,5527,143941,0,0,263184,75,0,2,0,253443,4,0,1,33,4202512,2,0,0,0,1,21,0,0,0,4,5566,0,4,0,0,85,160731,528400,0,9
2.5,,,,60201,0,23,40,260437,0,155,3,0,242101,0,0,1546,184,5528,145139,0,0,139265,75,0,2,0,26543,4,0,0,34,135169,7,1,0,0,0,4,0,0,0,4,5718,2,4,0,0,82,161667,264193,0,23
