artificialkey,adsponserid,teamid,isapproved,dynamicimageid
1,1,111235,1,507
2,2,111235,1,124
3,3,111235,1,1145
4,4,111235,1,394
5,5,111235,1,1146
6,6,111235,1,1087
7,7,111235,1,126
8,8,111235,1,895
9,24,111235,1,1238
10,173,111235,1,0
11,5,31,1,558
12,5,31,1,156
13,5,31,1,559
14,5,31,1,228
15,5,31,1,861
16,5,31,1,558
17,5,31,1,156
18,5,31,1,559
19,24,31,1,1238
20,173,31,1,0
21,8,171,1,20
22,8,171,1,698
23,8,171,1,519
24,8,171,1,292
25,8,171,1,294
26,8,171,1,1183
27,8,171,1,1184
28,8,171,1,1185
29,24,171,1,1239
30,173,171,1,0
31,6,1831,1,863
32,6,1831,1,229
33,6,1831,1,1147
34,6,1831,1,74
35,6,1831,1,863
36,6,1831,1,229
37,6,1831,1,1147
38,6,1831,1,74
39,24,1831,1,1238
40,173,1831,1,0
41,1,169,1,349
42,2,169,1,516
43,3,169,1,1205
44,4,169,1,346
45,5,169,1,1166
46,6,169,1,516
47,7,169,1,1167
48,8,169,1,346
49,24,169,1,1238
50,173,169,1,0
51,50,1,1,0
52,255,1,1,0
53,305,1,1,0
54,8,1,1,56
55,24,1,1,1173
56,255,1,1,0
57,305,1,1,0
58,8,1,1,56
59,24,1,1,1173
60,255,1,1,0
61,50,2,1,0
62,297,2,1,0
63,301,2,1,0
64,296,2,1,0
65,299,2,1,0
66,338,2,1,0
67,303,2,1,0
68,298,2,1,0
69,300,2,1,0
70,343,2,1,0
71,5,32,1,65
72,8,32,1,1148
73,6,32,1,1149
74,10,32,1,1068
75,5,32,1,487
76,8,32,1,933
77,6,32,1,1067
78,10,32,1,668
79,24,32,1,1238
80,173,32,1,0
81,6,22,1,1251
82,6,22,1,1223
83,6,22,1,153
84,6,22,1,864
85,6,22,1,82
86,6,22,1,1157
87,6,22,1,1158
88,6,22,1,151
89,24,22,1,1238
90,173,22,1,0
91,8,23,1,583
92,8,23,1,583
93,8,23,1,1062
94,8,23,1,1062
95,8,23,1,1146
96,8,23,1,1063
97,8,23,1,1159
98,8,23,1,1160
99,24,23,1,1238
100,173,23,1,0
101,50,1808,1,0
102,5,1808,1,57
103,119,1808,1,0
104,5,1808,1,45
105,24,1808,1,110
106,5,1808,1,24
107,30,1808,1,0
108,4,1808,1,40
109,120,1808,1,0
110,5,1808,1,25
111,6,503,1,1215
112,4,503,1,1216
113,8,503,1,1217
114,1,503,1,1218
115,5,503,1,1219
116,8,503,1,1220
117,6,503,1,1215
118,4,503,1,1216
119,24,503,1,1239
120,173,503,1,0
121,50,5,1,0
122,24,5,1,110
123,218,5,1,0
124,349,5,1,0
125,346,5,1,0
126,348,5,1,0
127,349,5,1,0
128,6,5,1,1270
129,24,5,1,110
130,218,5,1,0
131,50,1799,1,0
132,1,1799,1,387
133,9,1799,1,743
134,1,1799,1,967
135,5,1799,1,1210
136,1,1799,1,388
137,331,1799,1,0
138,1,1799,1,1211
139,6,1799,1,831
140,1,1799,1,967
141,5,110500,1,900
142,6,110500,1,1181
143,8,110500,1,900
144,10,110500,1,730
145,5,110500,1,900
146,6,110500,1,1060
