competitionid,artificialkey,adsponserid,isapproved,dynamicimageid
-1,1,0,0,0
-1,2,0,0,0
-1,3,0,0,0
-1,4,0,0,0
-1,5,0,0,0
-1,6,0,0,0
1,7,81,1,7
10,8,6,1,30
10,9,38,1,0
10,10,37,1,0
10,11,6,1,207
10,12,6,1,1021
10,13,6,1,780
10,14,6,1,91
10,15,49,1,0
10,16,39,1,0
10,17,295,1,0
-1,18,0,1,0
13,19,50,1,0
13,20,38,1,0
13,21,37,1,0
13,22,49,1,0
13,23,39,1,0
13,24,295,1,0
13,25,10,1,1135
13,26,40,1,0
13,27,50,1,0
13,28,36,1,0
-1,29,0,1,0
14,30,4,1,88
14,31,4,1,80
14,32,340,1,0
14,33,4,1,83
14,34,190,1,0
14,35,4,1,621
14,36,4,1,86
14,37,4,1,90
14,38,38,1,0
14,39,37,1,0
-1,40,0,1,0
16,41,24,1,433
16,42,38,1,0
16,43,37,1,0
16,44,49,1,0
16,45,4,1,172
16,46,6,1,770
16,47,6,1,1266
16,48,6,1,436
16,49,5,1,173
16,50,39,1,0
16,51,81,1,63
-1,52,0,1,0
-1,53,0,1,0
17,54,24,1,441
17,55,38,1,0
17,56,37,1,0
17,57,49,1,0
17,58,4,1,440
17,59,5,1,784
17,60,6,1,1266
17,61,6,1,436
17,62,5,1,173
17,63,39,1,0
17,64,81,1,64
-1,65,0,1,0
19,66,24,1,1238
19,67,173,1,0
19,68,38,1,0
19,69,24,1,1238
19,70,173,1,0
19,71,38,1,0
19,72,24,1,1238
19,73,173,1,0
19,74,38,1,0
19,75,24,1,1238
19,76,173,1,0
20,77,24,1,1239
20,78,173,1,0
20,79,38,1,0
20,80,24,1,1239
20,81,173,1,0
20,82,38,1,0
20,83,24,1,1239
20,84,173,1,0
20,85,38,1,0
20,86,24,1,1239
20,87,173,1,0
21,88,6,1,160
21,89,173,1,0
21,90,38,1,0
21,91,6,1,160
21,92,173,1,0
21,93,38,1,0
21,94,6,1,160
21,95,173,1,0
21,96,38,1,0
21,97,6,1,160
21,98,173,1,0
21,99,81,1,211
31,100,5,1,1121
31,101,38,1,0
31,102,37,1,0
31,103,5,1,1223
31,104,5,1,740
31,105,8,1,741
31,106,5,1,1122
31,107,38,1,0
31,108,37,1,0
31,109,49,1,0
32,110,38,1,0
32,111,37,1,0
32,112,49,1,0
32,113,39,1,0
32,114,295,1,0
32,115,10,1,1135
32,116,40,1,0
32,117,36,1,0
32,118,68,1,0
32,119,81,1,130
39,120,9,1,1137
39,121,38,1,0
39,122,37,1,0
39,123,49,1,0
39,124,297,1,0
39,125,6,1,1138
39,126,39,1,0
39,127,295,1,0
39,128,10,1,1135
39,129,40,1,0
53,130,24,1,67
53,131,38,1,0
53,132,37,1,0
53,133,49,1,0
53,134,8,1,1223
53,135,24,1,635
53,136,6,1,1029
53,137,5,1,438
53,138,8,1,529
53,139,39,1,0
53,140,81,1,1025
-1,141,0,1,0
54,142,24,1,72
54,143,38,1,0
54,144,37,1,0
54,145,49,1,0
54,146,8,1,1223
54,147,24,1,635
54,148,6,1,1029
54,149,5,1,438
54,150,8,1,529
54,151,39,1,0
54,152,81,1,1026
-1,153,0,1,0
56,154,38,1,0
56,155,37,1,0
56,156,49,1,0
56,157,39,1,0
56,158,295,1,0
56,159,10,1,1135
56,160,40,1,0
56,161,36,1,0
56,162,68,1,0
56,163,81,1,823
60,164,4,1,88
60,165,4,1,80
60,166,340,1,0
60,167,4,1,83
60,168,190,1,0
60,169,4,1,621
60,170,4,1,86
60,171,4,1,90
60,172,38,1,0
60,173,37,1,0
61,174,4,1,88
61,175,4,1,80
61,176,340,1,0
61,177,4,1,83
61,178,190,1,0
61,179,4,1,621
61,180,4,1,86
61,181,4,1,90
61,182,38,1,0
61,183,37,1,0
66,184,81,1,13
189,185,81,1,1
201,186,8,1,336
201,187,38,1,0
201,188,37,1,0
201,189,5,1,337
201,190,38,1,0
201,191,49,1,0
201,192,8,1,336
201,193,39,1,0
201,194,5,1,337
201,195,10,1,1135
206,196,6,1,1129
206,197,2,1,820
206,198,38,1,0
206,199,37,1,0
206,200,209,1,0
206,201,8,1,529
206,202,6,1,822
206,203,6,1,1240
206,204,39,1,0
206,205,295,1,0
206,206,14,1,0
206,207,81,1,71
207,208,6,1,42
207,209,173,1,0
207,210,38,1,0
207,211,6,1,42
207,212,173,1,0
207,213,38,1,0
207,214,6,1,42
207,215,173,1,0
207,216,38,1,0
207,217,81,1,41
217,218,81,1,34
223,219,97,1,0
223,220,274,1,0
223,221,181,1,0
223,222,111,1,0
223,223,92,1,0
223,224,76,1,0
223,225,282,1,0
223,226,225,1,0
223,227,131,1,0
223,228,81,1,15
224,229,97,1,0
224,230,274,1,0
224,231,10,1,1131
224,232,209,1,0
224,233,73,1,0
224,234,181,1,0
224,235,355,1,0
224,236,356,1,0
224,237,81,1,16
-1,238,0,1,0
-1,239,0,1,0
226,240,97,1,0
226,241,274,1,0
226,242,10,1,1132
226,243,209,1,0
226,244,73,1,0
226,245,181,1,0
226,246,355,1,0
226,247,356,1,0
226,248,81,1,569
-1,249,0,1,0
-1,250,0,1,0
232,251,97,1,0
232,252,274,1,0
232,253,181,1,0
232,254,111,1,0
232,255,92,1,0
232,256,76,1,0
232,257,282,1,0
232,258,225,1,0
232,259,131,1,0
232,260,81,1,17
-1,261,0,1,0
233,262,24,1,453
233,263,38,1,0
233,264,37,1,0
233,265,49,1,0
233,266,4,1,172
233,267,5,1,440
233,268,6,1,770
233,269,6,1,1266
233,270,6,1,436
233,271,39,1,0
233,272,81,1,47
308,273,24,1,55
308,274,38,1,0
308,275,37,1,0
308,276,49,1,0
308,277,39,1,0
308,278,295,1,0
