leaguegoals,isamongtopscorers,yellows,isamongtopscorersinteam,jerseynumber,position,artificialkey,teamid,leaguegoalsprevmatch,injury,leagueappearances,istopscorer,leaguegoalsprevthreematches,playerid,form,reds
2,0,0,0,24,28,0,73,0,0,0,0,1,70004,3,0
1,0,0,0,49,28,1,73,0,0,0,0,0,74449,3,0
2,0,0,0,5,4,2,73,1,0,0,0,1,207865,3,0
0,0,0,0,21,28,3,73,0,0,0,0,0,220814,3,0
4,0,0,0,8,15,4,73,0,0,0,0,0,226271,3,0
0,0,0,0,1,0,5,73,0,0,0,0,0,230621,3,0
21,1,0,1,10,25,6,73,0,0,0,1,0,231443,3,0
4,0,0,0,2,3,7,73,0,0,0,0,0,235212,3,0
0,0,0,0,39,28,8,73,0,0,0,0,0,240225,3,0
6,0,0,1,19,28,9,73,0,0,0,0,0,243780,3,0
4,0,0,0,7,27,10,73,2,0,0,0,2,247635,3,0
1,0,0,0,25,7,11,73,0,0,0,0,0,252145,3,0
5,0,0,0,17,14,12,73,0,0,0,0,0,255253,3,0
0,0,0,0,51,6,13,73,0,0,0,0,0,256196,3,0
10,0,0,1,9,28,14,73,0,0,0,0,3,256903,3,0
0,0,0,0,80,28,15,73,0,0,0,0,0,259065,3,0
14,0,0,1,29,28,16,73,0,0,0,0,1,264652,3,0
1,0,0,0,33,28,17,73,0,0,0,0,0,270673,3,0
6,0,0,1,14,23,18,73,0,0,0,0,0,271421,3,0
3,0,0,0,87,13,19,73,0,0,0,0,0,272834,3,0
1,0,0,0,4,28,20,73,0,0,0,0,0,279709,3,0
0,0,0,0,1,0,21,131682,0,0,0,0,0,177683,3,0
3,0,0,0,36,28,22,131682,0,0,0,0,0,184392,3,0
1,0,0,0,22,15,23,131682,0,0,0,0,0,192883,3,0
3,0,0,0,6,28,24,131682,1,0,0,0,1,198176,3,0
0,0,0,0,15,5,25,131682,0,0,0,0,0,199845,3,0
5,0,0,1,20,10,26,131682,0,0,0,0,0,208128,3,0
2,0,0,0,7,28,27,131682,0,0,0,0,0,210406,3,0
0,0,0,0,12,28,28,131682,0,0,0,0,0,219715,3,0
3,0,0,0,23,13,29,131682,0,0,0,0,0,224232,3,0
4,0,0,0,32,7,30,131682,0,0,0,0,0,226268,3,0
0,0,0,0,28,4,31,131682,0,0,0,0,0,226851,3,0
14,1,0,1,9,24,32,131682,0,0,0,0,0,228093,3,0
12,0,0,1,10,26,33,131682,0,0,0,0,0,231478,3,0
7,0,0,1,2,3,34,131682,0,0,0,0,1,233096,3,0
1,0,0,0,95,6,35,131682,0,0,0,0,0,237383,3,0
5,0,0,1,16,28,36,131682,0,0,0,0,0,239807,3,0
3,0,0,0,31,28,37,131682,0,0,0,0,1,241736,3,0
1,0,0,0,99,28,38,131682,0,0,0,0,0,241788,3,0
0,0,0,0,13,28,39,131682,0,0,0,0,0,243311,3,0
3,0,0,0,30,28,40,131682,0,0,0,0,0,258648,3,0
1,0,0,0,59,28,41,131682,0,0,0,0,1,262113,3,0
2,0,0,0,21,28,42,131682,0,0,0,0,1,264699,3,0
