competitionid,awayteamleaguepos,hometeamleaguepos,hometeamid,homeleagueid,awayteamform,hometeammatchesplayed,awayteammatchesplayed,stadiumid,fixturedate,fixtureid,fixturetime,awayteamid,hometeamform,awayleagueid
1,10,8,1788,1,20101,17,17,178,161857,176420,50400,270,20,1
1,7,11,15006,1,2112,17,17,34,161855,176421,68400,272,2,1
1,5,4,819,1,12221,17,17,194,161857,176422,64800,1447,12020,1
1,1,9,1786,1,21022,17,17,228,161857,176423,57600,271,10011,1
1,3,12,822,1,22200,17,17,249,161858,176424,68400,269,200,1
1,2,6,1443,1,21202,17,17,228,161857,176425,50400,1516,12221,1
13,10,1,1,13,20202,13,13,156,161853,176580,70200,1925,22121,13
13,14,11,1943,13,1220,13,13,348,161852,176581,70200,7,20010,13
13,4,5,1808,13,20222,13,13,340,161853,176582,70200,2,2122,13
13,9,19,1796,13,2120,13,13,336,161853,176583,70200,1799,20000,13
13,2,15,144,13,2202,13,13,328,161852,176584,70200,10,2022,13
13,3,18,8,13,2221,13,13,432,161853,176585,72900,5,20000,13
13,6,8,9,13,21102,13,13,13,161853,176586,72900,106,2002,13
13,17,7,11,13,2210,13,13,1,161854,176587,72000,19,21102,13
13,12,13,13,13,20100,13,13,100,161852,176588,72900,18,20022,13
13,16,20,110,13,1220,13,13,415,161853,176589,70200,14,0,13
14,9,18,3,14,12120,17,17,496,161852,176891,71100,94,20201,14
14,24,18,3,14,10000,17,18,496,161856,177046,54000,1807,20201,14
14,3,6,1919,14,1022,18,18,491,161856,177047,54000,97,1202,14
14,22,17,89,14,10200,18,18,26,161856,177048,45000,1790,20000,14
14,16,11,91,14,12200,18,18,249,161856,177049,45000,95,22020,14
14,2,8,1952,14,12102,18,18,332,161855,177050,72000,12,2002,14
14,1,9,94,14,22222,17,18,350,161856,177051,54000,1800,12120,14
14,10,5,1801,14,12121,18,18,180,161856,177052,54000,1947,21012,14
14,12,13,15,14,2012,18,18,337,161856,177053,54000,109,1220,14
14,4,19,1794,14,20020,18,18,433,161856,177054,54000,1806,1222,14
14,7,14,17,14,20212,18,18,113,161856,177055,54000,88,22220,14
14,20,21,1960,14,112,18,18,333,161856,177056,54000,1951,0,14
14,23,15,1795,14,10012,18,18,347,161856,177057,45000,1792,11210,14
16,17,18,57,16,22200,14,14,26,161857,177508,62100,68,11,16
16,6,15,217,16,11012,14,14,249,161857,177509,74700,66,10112,16
16,1,16,71,16,2222,14,14,512,161856,177510,61200,64,110,16
16,13,14,1738,16,12001,14,14,176,161857,177511,62100,111817,21100,16
16,3,4,65,16,12221,14,14,477,161855,177512,75600,219,2022,16
16,12,10,72,16,10220,14,14,176,161857,177513,54000,1530,20000,16
16,5,2,73,16,12222,14,14,14,161856,177514,75900,74,12220,16
16,7,11,378,16,20002,14,14,32,161855,177515,68400,69,1022,16
16,8,9,1809,16,20200,14,14,147,161856,177516,68400,76,11101,16
17,16,11,1815,17,112,15,15,35,161855,177823,72000,132680,21021,17
17,10,7,62,17,20102,15,15,228,161855,177824,72000,131447,1212,17
17,13,1,294,17,2001,15,15,178,161856,177825,50400,111659,12102,17
17,17,12,1805,17,2000,15,15,178,161855,177826,72000,1823,1220,17
17,15,5,1739,17,20000,15,15,249,161855,177827,72000,1816,21212,17
17,8,6,70,17,110,15,15,26,161856,177828,50400,110321,21220,17
17,3,18,58,17,20211,15,15,34,161855,177829,72000,111273,2000,17
17,14,4,379,17,10202,15,15,179,161858,177830,74700,1814,12022,17
17,2,9,111276,17,2022,15,15,182,161856,177831,72000,1819,22211,17
19,17,10,31,19,0,12,12,423,161856,178102,55800,110329,2001,19
19,12,18,169,19,2221,12,12,414,161855,178103,73800,23,1010,19
19,4,14,100409,19,20220,12,12,412,161856,178104,55800,32,20,19
19,5,3,22,19,22212,12,12,9,161857,178105,63000,10029,22112,19
19,9,13,28,19,21201,12,12,41,161857,178106,55800,38,102,19
19,1,6,36,19,22122,12,12,418,161856,178107,55800,21,20210,19
19,11,15,175,19,1120,12,12,406,161856,178108,55800,1831,20001,19
19,8,16,111235,19,1202,12,12,249,161856,178109,55800,25,1002,19
19,7,2,112172,19,21221,12,12,420,161856,178110,66600,1824,22021,19
20,15,7,29,20,22,14,14,147,161856,178426,46800,503,11020,20
20,17,10,171,20,200,14,14,422,161857,178427,48600,165,12220,20
20,18,6,166,20,20002,14,14,135,161857,178428,48600,110588,22222,20
20,4,9,531,20,21022,14,14,182,161855,178429,66600,485,2012,20
20,3,2,10030,20,1021,14,14,436,161856,178430,46800,580,22200,20
20,11,12,160,20,21200,14,14,473,161856,178431,46800,159,12202,20
20,13,16,110500,20,10200,14,14,33,161857,178432,48600,576,2,20
20,8,5,110502,20,22000,14,14,489,161856,178433,73800,1832,1221,20
20,1,14,110636,20,20212,14,14,419,161855,178434,66600,34,1020,20
31,4,15,1842,31,20220,13,13,193,161857,178736,54000,52,110,31
31,12,20,206,31,10002,13,13,261,161856,178737,74700,115845,100,31
31,7,2,48,31,22112,13,13,520,161857,178738,74700,45,21022,31
31,1,13,54,31,12122,13,13,261,161858,178739,74700,131681,11100,31
31,16,9,55,31,2112,13,13,482,161858,178740,64800,110556,2002,31
31,17,18,110738,31,120,13,13,182,161858,178741,54000,50,11210,31
31,14,11,111434,31,2102,13,13,193,161857,178742,45000,347,20002,31
31,19,10,111974,31,110,13,13,26,161856,178743,54000,110374,20210,31
31,6,8,115841,31,12220,13,13,195,161857,178744,64800,189,12020,31
31,5,3,131682,31,21122,13,13,176,161856,178745,64800,1745,22202,31
50,9,2,78,50,2,13,14,480,161853,179070,71100,180,2222,50
50,4,8,181,50,22221,13,13,228,161853,179071,71100,86,20101,50
50,3,6,79,50,21221,14,14,228,161853,179072,71100,83,2121,50
50,10,1,80,50,1,14,14,180,161853,179073,71100,82,12101,50
50,11,7,77,50,1000,13,13,180,161853,179075,71100,100805,2122,50
50,6,5,81,50,2121,15,14,180,161856,179078,54000,79,12200,50
50,12,3,83,50,1100,14,14,180,161856,179080,54000,621,21221,50
53,10,14,463,53,22120,14,14,399,161856,179325,58500,457,2000,53
53,9,6,452,53,20111,14,14,393,161857,179326,66600,480,20022,53
53,18,11,468,53,10211,14,14,465,161857,179327,50400,110062,110,53
53,19,17,479,53,10000,14,14,437,161858,179328,75600,1853,1001,53
53,1,5,449,53,2222,14,14,392,161856,179329,66600,241,2112,53
53,12,2,243,53,22020,14,14,2,161857,179330,75600,450,22111,53
53,13,15,461,53,200,14,14,10,161857,179331,58500,481,121,53
53,7,3,483,53,22002,14,14,386,161856,179332,50400,1860,22222,53
53,16,20,110827,53,10201,14,14,147,161855,179333,75600,453,11010,53
53,2,8,448,53,22111,14,14,388,161853,179364,68400,243,202,53
53,4,1,241,53,22222,14,14,192,161852,179365,75600,240,2222,53
54,15,5,10846,54,20200,16,16,228,161858,179740,58500,1854,21200,54
54,2,7,1968,54,20122,16,16,455,161857,179741,50400,456,11002,54
54,21,4,472,54,2002,16,16,391,161858,179742,63000,110069,12220,54
54,12,20,467,54,20220,16,16,395,161857,179743,66600,15012,2100,54
54,6,1,242,54,21222,16,16,176,161857,179744,66600,100852,22222,54
54,10,18,100888,54,21010,16,16,398,161857,179745,58500,1867,200,54
54,22,13,573,54,222,16,16,192,161858,179746,73800,244,1021,54
54,11,17,110711,54,10101,16,16,397,161856,179747,66600,459,22020,54
54,8,14,110832,54,22,16,16,439,161857,179748,75600,1894,2112,54
54,9,16,110839,54,21001,16,16,428,161856,179749,58500,462,1021,54
54,3,19,114554,54,22201,16,16,34,161856,179750,50400,1861,11001,54
60,8,1,1961,60,2201,16,17,334,161856,180208,45000,1939,20022,60
60,3,23,1929,60,11012,17,17,249,161856,180213,45000,1804,20,60
60,5,18,142,60,22001,18,17,249,161859,180242,71100,1931,10012,60
