overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,80,81,80,82,81,81,2,82,80
-1,80,80,81,80,82,79,5,80,82
-1,76,75,76,75,76,74,8,76,76
1,83,85,84,89,85,84,21,91,85
2,74,77,75,77,74,77,23,79,75
1,76,76,75,73,75,76,25,75,75
-1,78,78,79,82,79,76,32,80,77
2,76,79,77,81,77,77,36,83,78
1,80,81,80,81,80,82,45,82,81
1,79,82,81,79,82,79,48,80,83
1,78,81,80,77,80,79,52,76,81
-1,75,75,76,78,74,74,54,77,74
1,74,76,75,75,76,76,64,76,77
-1,76,76,77,79,77,76,65,77,77
-1,77,77,78,77,78,76,69,76,78
1,75,76,75,74,74,77,78,75,75
-1,78,76,77,76,77,76,106,76,75
-1,75,75,76,80,76,74,175,80,75
-1,72,72,73,71,73,72,206,68,73
-1,74,75,76,76,77,73,246,75,77
1,76,78,77,76,80,77,247,76,82
-1,79,79,80,78,81,78,448,78,80
1,77,77,76,77,75,78,450,77,75
1,77,76,75,75,75,78,452,74,75
-1,75,75,76,76,76,74,461,76,75
-1,73,73,74,74,74,72,463,74,73
-1,76,76,77,81,77,76,479,80,76
2,70,78,76,83,78,73,607,84,80
1,78,79,78,79,78,79,1808,79,77
-1,73,72,73,71,72,72,1842,70,71
1,76,78,77,79,77,77,1925,82,78
1,77,78,77,78,77,77,1943,78,78
-1,74,73,74,73,74,72,100409,72,72
1,76,77,76,75,77,77,110062,76,77
1,75,78,77,79,74,77,110374,78,74
-1,71,72,73,74,72,70,111434,72,71
-1,73,73,74,74,74,72,111817,74,72
-1,72,73,74,73,74,71,111974,72,75
-1,75,75,76,78,76,74,112139,77,75
1,78,80,79,76,79,79,115845,78,81
1,83,85,84,82,83,84,116010,82,84
1,75,77,76,73,77,76,116011,73,77
-1,74,74,75,75,75,73,116014,75,74
-1,74,75,76,77,76,73,116016,77,76
1,79,82,81,84,80,80,116017,85,82
1,86,86,85,85,84,86,116325,86,85
-2,78,76,78,78,76,76,116327,80,75
-1,74,74,75,74,78,73,116336,73,78
-1,77,80,81,82,82,76,131681,82,81
1,82,84,83,86,83,82,131682,86,84
