fl_lipUpper_NR_SCX_R_A,fl_eyelids_NR_ICX_R_A,fl_lipUpper_NL_SCX_D_U,fl_buccomandibularGroove_NR_XXX_L,mu_platysma_NR_ILX_N_W,fl_lipUpper_NL_SXX_B_F,mu_masseter_NR_XXX_L_M,fl_lipLower_NR_ICX_B_F,mu_platysma_NR_ILX_D,fl_lipLower_NL_IXX_R_A,fl_eyelids_NR_SLX_R_A,fl_lipUpper_NR_SLX_B_F,fl_lipLower_NL_IXX_B_F,fl_epicanthic_NL_XCX_D_U,fl_lipUpper_NL_SXX_R_A,fl_lipLower_NR_ILX_R_A,fl_lipUpper_NN_SMX_N_W,fl_lipLower_NR_ILX_D_U,fl_lipUpper_NL_SXX_D_U,mu_temporalis_NR_XXX_L_M,fl_lipLower_NR_ICX_D_U,fl_lip_NN_XMX_B_F,mu_trapezius_NN_SXX_L_M,fl_eyelids_NL_SLX_N_W,fl_eyelids_NR_ICX_D_U,fl_nasojugalGroove_NR_XXX_L_M,fl_lip_NR_XCX_D_U,mu_sternomastoid_NL_XXX_R_A,fl_eyelids_NL_XLX_D_U,fl_lipUpper_NR_SCX_D_U,mu_masseter_NL_XXX_L_M,fl_eyelids_NR_SMX_R_A,fl_lipLower_NR_SLX_B_F,fl_lip_NL_XLX_D_U,fl_lip_NN_XMX_R_A,fl_lipUpper_NR_ILX_R_A,fl_eyelids_NR_SCX_N_W,mu_platysma_NN_SMX_D_U,fl_lipUpper_NN_IMX_D_U,fl_eyelids_NR_ILX_D_U,fl_lipLower_NR_IXX_N_W,fl_nasojugalGroove_NL_XXX_L_M,fl_lipLower_NN_IMX_SL_SR,fl_lipLower_NL_SLX_R_A,fl_epicanthic_NR_XMX_D_U,fl_lipUpper_NL_ILX_B_F,mu_platysma_NL_SLX_D,fl_lipUpper_NR_SXX_N_W,mu_procerus_NN_XXX_D_U,fl_lipUpper_NL_ILX_R_A,fl_lipLower_NR_SLX_N_W,fl_lip_NR_XLX_D_U,fl_eyelids_NL_SLX_R_A,fl_lip_NL_XCX_N_W,fl_lipLower_NL_SLX_B_F,fl_eyelids_NL_SMX_R_A,fl_lipUpper_NR_ILX_N_W,fl_epicanthic_NR_XCX_B_F,fl_lipLower_NN_IMX_D_U,fl_eyelids_NL_SCX_D_U,fl_eyelids_NR_SLX_N_W,fl_lipLower_NL_IXX_N_W,fl_eyelids_NR_XLX_D_U,fl_eyelids_NR_SMX_N_W,fl_eyelids_NL_ILX_D_U,fl_oromentalGroove_NR_XXX_L,fl_epicanthic_NR_XLX_D_U,fl_nasolabialGroove_NL_SXX_L_M,fl_eyelids_NR_XMX_D_U,fl_lipUpper_NN_SMX_B_F,mu_platysma_NR_SLX_D,fl_buccalRecess_NL_XXX_D_U,fl_epicanthic_NL_XLX_D_U,fl_epicanthic_NR_XLX_R_A,fl_nasojugalGroove_NL_XXX_D_U,fl_lipLower_NR_IXX_R_A,fl_lipLower_NN_SMX_SL_SR,mu_procerus_NN_XXX_L_M,mu_platysma_NL_SLX_N_W,fl_lipLower_NN_IMX_R_A,fl_eyelids_NL_SCX_R_A,fl_lipUpper_NR_SXX_B_F,fl_lipLower_NN_IMX_B_F,fl_eyelids_NL_IMX_D_U,fl_epicanthic_NR_XCX_D_U,fl_lipLower_NL_SLX_N_W,fl_lipUpper_NL_SLX_D_U,fl_lipUpper_NN_SMX_R_A,fl_epicanthic_NL_XMX_N_W,fl_lip_NR_XLX_B_F,fl_lipLower_NL_ICX_D_U,fl_eyelids_NL_IMX_N_W,fl_buccalRecess_NR_XXX_L_M,fl_lipLower_NL_SLX_D_U,fl_lipUpper_NL_SLX_N_W,fl_epicanthic_NR_XMX_R_A,fl_lip_NN_XMX_N_W,fl_eyelids_NR_SCX_R_A,mu_platysma_NR_SLX_N_W,fl_epicanthic_NL_XLX_N_W,mu_trapezius_NN_SXX_D_U,fl_orbitalGroove_NL_IXX_L_M,fl_philtrum_NN_XXX_D_U,fl_eyelids_NR_ILX_R_A,fl_nasojugalGroove_NR_XXX_D_U,mu_corrugator_NR_XXX_D_U,fl_lipUpper_NR_ILX_D_U,mu_platysma_NN_IMX_D,fl_lip_NL_XLX_R_A,fl_eyelids_NL_SCX_N_W,fl_oromentalGroove_NL_XXX_L,fl_lip_NN_XMX_D_U,fl_lipLower_NN_IMX_N_W,fl_philtrum_NN_XXX_N_W,fl_eyelids_NR_SMX_D_U,fl_epicanthic_NL_XMX_B_F,fl_epicanthic_NR_XLX_N_W,fl_eyelids_NR_XMX_N_W,fl_eyelids_NL_SCX_F,fl_lipLower_NR_SLX_D_U,fl_lip_NL_XCX_D_U,fl_lipLower_NL_ICX_N_W,fl_mandibularGroove_NR_XXX_L,fl_lip_NR_XCX_R_A,fl_epicanthic_NL_XMX_R_A,fl_eyelids_NL_XLX_R_A,fl_lip_NL_XLX_B_F,fl_epicanthic_NR_XCX_N_W,fl_lipLower_NR_ICX_R_A,fl_chinCleft_NN_XXX_SL_SR,fl_lipUpper_NR_ILX_B_F,mu_sternomastoid_NL_XXX_L_M,fl_epicanthic_NL_XMX_D_U,fl_lipUpper_NR_SCX_B_F,fl_lip_NL_XCX_R_A,fl_nasolabialGroove_NL_IXX_L,fl_lipLower_NR_SLX_R_A,mu_corrugator_NL_XXX_L_M,fl_epicanthic_NL_XCX_R_A,fl_lip_NL_XCX_B_F,fl_lipUpper_NN_IMX_N_W,fl_chinCleft_NN_XXX_D_U,mu_corrugator_NL_XXX_D_U,fl_eyelids_NR_SLX_D_U,fl_nasolabialGroove_NR_SXX_L_M,fl_philtrum_NN_XXX_R_A,fl_epicanthic_NL_XLX_B_F,fl_eyelids_NR_XLX_N_W,fl_lipLower_NL_IXX_D_U,fl_lipLower_NL_ICX_B_F,fl_lipUpper_NL_SCX_R_A,fl_eyelids_NL_ILX_N_W,fl_eyelids_NR_SCX_D_U,fl_mandibularGroove_NL_XXX_L,fl_epicanthic_NL_XCX_B_F,fl_lipUpper_NN_IMX_SL_SR,fl_eyelids_NR_IMX_R_A,fl_lip_NR_XLX_N_W,fl_lipLower_NR_ILX_B_F,mu_corrugator_NR_XXX_L_M,fl_lipUpper_NL_SCX_B_F,fl_eyelids_NR_ICX_N_W,fl_lipLower_NL_ICX_R_A,fl_philtrum_NN_XXX_B_F,fl_eyelids_NL_XMX_R_A,fl_lipUpper_NR_SLX_R_A,fl_lip_NR_XCX_N_W,fl_lipUpper_NL_SLX_R_A,fl_epicanthic_NR_XMX_N_W,fl_lipUpper_NN_SMX_D_U,fl_lipLower_NR_ILX_N_W,fl_epicanthic_NR_XCX_R_A,fl_lipLower_NL_ILX_B_F,fl_eyelids_NL_IMX_R_A,fl_lipUpper_NR_SXX_D_U,fl_eyelids_NR_SCX_F,mu_platysma_NN_SMX_N_W,fl_lipLower_NL_ILX_R_A,fl_eyelids_NR_ILX_N_W,fl_buccalRecess_NR_XXX_D_U,fl_epicanthic_NL_XLX_R_A,fl_lipUpper_NL_SLX_B_F,fl_lipLower_NR_IXX_D_U,mu_sternomastoid_NR_XXX_L_M,mu_platysma_NL_ILX_D,fl_lipUpper_NN_IMX_B_F,fl_eyelids_NR_XMX_R_A,fl_eyelids_NL_ILX_R_A,fl_orbitalGroove_NR_IXX_L_M,fl_buccomandibularGroove_NL_XXX_L,mu_platysma_NL_ILX_N_W,fl_eyelids_NL_ICX_R_A,fl_eyelids_NR_XLX_R_A,fl_lip_NL_XLX_N_W,fl_lipLower_NN_SMX_R_A,mu_sternomastoid_NR_XXX_R_A,fl_eyelids_NL_SMX_D_U,fl_buccalRecess_NL_XXX_L_M,fl_eyelids_NL_ICX_D_U,fl_eyelids_NL_XMX_N_W,fl_lipLower_NN_SMX_D_U,fl_epicanthic_NR_XMX_B_F,fl_lipUpper_NR_SLX_N_W,fl_nasolabialGroove_NR_IXX_L,fl_lipUpper_NR_SCX_N_W,fl_lipUpper_NL_ILX_D_U,fl_epicanthic_NR_XLX_B_F,fl_eyelids_NL_XLX_N_W,fl_lip_NR_XLX_R_A,fl_eyelids_NL_SLX_D_U,fl_eyelids_NR_IMX_N_W,mu_temporalis_NL_XXX_L_M,fl_lipUpper_NL_SXX_N_W,fl_lipLower_NR_ICX_N_W,fl_lip_NR_XCX_B_F,fl_lipUpper_NN_SMX_SL_SR,fl_lipLower_NL_ILX_D_U,fl_lipLower_NN_SMX_B_F,fl_lipUpper_NR_SXX_R_A,fl_epicanthic_NL_XCX_N_W,fl_lipUpper_NN_IMX_R_A,fl_philtrum_NN_XXX_SL_SR,fl_lipLower_NL_ILX_N_W,fl_lipLower_NR_IXX_B_F,fl_eyelids_NL_ICX_N_W,fl_eyelids_NL_SMX_N_W,fl_eyelids_NL_XMX_D_U,fl_lipUpper_NL_SCX_N_W,fl_lipUpper_NR_SLX_D_U,fl_lipLower_NN_SMX_N_W,fl_lipUpper_NL_ILX_N_W,fl_eyelids_NR_IMX_D_U,assetid
-8,-5,41,0,0,10,11,0,0,97,100,38,55,82,-34,100,-100,0,-14,1,61,100,0,96,32,-49,-39,0,31,-14,-52,-73,34,-15,-1,-19,-100,0,6,13,-57,-28,35,-67,-5,26,0,2,15,100,23,-61,51,-9,5,-100,-13,100,28,51,68,-79,53,-68,-23,0,-4,-12,-48,73,0,-1,-24,-71,-100,100,25,-81,0,53,-100,17,100,100,81,21,1,-74,17,44,76,-100,-100,0,53,26,-9,-37,0,-4,0,40,-50,-100,-100,73,20,0,49,-31,0,-22,79,-62,-67,31,-35,53,100,1,-50,-51,0,-21,44,20,52,-100,70,1,0,0,0,100,2,0,70,-91,100,24,-56,-53,92,-66,-28,100,100,-22,23,-1,-63,0,20,0,97,51,-100,-42,-29,-100,99,-63,99,100,-54,13,-18,0,15,-44,9,100,16,94,0,100,0,100,75,0,-100,49,34,0,0,21,-39,-100,71,0,0,-38,20,-50,-2,0,-69,-100,50,72,-23,-11,39,0,-82,72,100,-23,0,-68,-75,6,20,-39,19,12,-4,100,17,-48,-1,19,100,50,-100,-24,-7,-100,29,0,-26,100,70193
-44,-56,38,0,-6,3,31,28,-34,22,-68,80,34,51,14,-21,-44,-26,14,-30,11,0,20,42,-17,-33,-37,8,31,24,41,-43,-31,-12,51,18,68,-28,-28,39,-21,-33,2,-1,-43,11,-34,-11,-39,12,21,-27,-65,4,-24,-38,0,34,25,36,40,-34,60,79,47,-7,-4,22,21,0,-34,-26,-30,58,-34,17,0,-28,10,-7,-90,5,31,95,58,17,-29,-45,6,-8,4,5,78,-61,4,-22,8,-93,3,-58,20,21,-2,-43,-35,83,-43,-32,-20,60,-9,2,13,58,-46,-10,-55,8,83,-63,-27,-50,-22,54,-24,-21,-4,-49,17,-19,9,-5,-26,15,50,0,6,34,93,5,19,28,85,-19,13,-21,45,-30,-14,32,-52,-24,33,-21,28,13,-38,16,57,38,13,9,18,52,87,-56,25,-54,7,5,1,94,63,-37,5,85,36,-31,-38,-21,64,81,-12,-7,-34,-56,81,-39,-6,0,-12,-43,-28,17,-1,4,-33,77,-4,23,34,-8,9,0,25,-32,36,-39,-8,-31,2,-37,-14,-14,5,-4,-27,10,13,-74,0,-2,6,31,18,78,44,-8,-44,-11,-3,84,70198
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70437
-3,-11,39,-35,0,-49,-3,47,-43,-13,-44,37,3,51,23,-22,3,26,5,-5,-25,-52,31,33,60,-8,35,1,-13,49,-2,-2,-25,31,-4,-3,-1,-13,5,79,-52,-1,3,-2,-40,-26,-38,0,-5,-1,-3,49,-43,-25,-25,-3,-28,-20,29,86,29,-50,-12,21,82,-48,-21,-67,6,-18,-37,9,-14,38,49,-12,-7,31,3,-16,-72,-51,-4,74,52,0,-12,-21,-34,-56,-28,8,36,-30,0,-50,4,-70,3,-18,30,67,-2,-11,60,-17,50,-37,19,10,-48,22,30,57,-40,-38,-14,5,67,-20,24,6,-25,-19,-44,17,-52,-60,-5,-22,-28,6,-33,-51,-10,-37,-3,34,-3,-46,41,19,-30,-47,-63,-17,-4,12,-29,48,-9,7,78,-23,-24,6,-28,57,34,26,-47,-7,0,-2,68,-47,-20,-39,-39,7,-37,-12,36,-33,18,68,26,-25,1,12,47,40,-28,1,-44,-88,72,-14,65,-34,-2,-16,14,52,-10,1,-37,43,56,11,19,-38,4,-37,38,36,1,2,13,-55,0,-8,2,14,-45,-14,17,-21,19,-54,10,-1,-39,5,5,23,4,33,2,18,-30,72,70971
15,-15,81,-14,-15,-21,10,38,-49,0,-83,67,52,6,32,-30,28,-1,37,2,-6,-70,33,39,-69,17,2,22,90,80,24,-2,-33,-4,15,-7,22,-1,13,-5,-3,14,33,-5,-17,19,-46,-3,-7,1,9,-7,-82,32,-25,-6,-8,-4,-2,74,42,3,81,50,2,-20,0,-19,9,-76,-46,-12,10,37,11,0,21,-33,32,-10,-97,-35,24,20,8,4,-14,58,33,-45,-12,25,55,-40,77,-64,-27,-96,27,-56,17,30,-31,-38,3,45,17,-47,-19,23,-20,8,45,66,33,-34,-54,28,84,-36,-2,-18,-28,22,-62,-23,-50,-34,15,-25,8,21,-21,-81,21,-21,-1,-35,-21,-38,44,22,40,15,-33,-37,66,0,-36,35,11,-7,75,-24,-2,45,-38,46,71,-37,-90,-23,19,-45,41,-66,22,-69,26,11,21,-17,94,-36,38,84,32,-31,-7,-18,38,70,-30,22,-49,-61,44,-37,28,-13,-17,-10,-25,45,-13,20,27,63,-68,21,13,-26,57,-21,3,15,65,-5,-2,19,26,3,-2,-2,-43,27,-10,-11,29,-36,2,28,60,33,-23,49,-3,-10,0,4,1,30,71306
-8,8,81,-3,-6,-27,0,50,-35,-44,-55,82,9,3,18,-3,20,-29,37,20,-54,-28,-7,51,3,-2,-15,7,31,77,6,-38,-22,4,46,3,63,-17,-42,79,-31,-5,43,2,-50,27,-31,-4,-19,0,-23,1,-61,-29,-14,-36,-22,6,-23,51,55,-43,60,40,75,-19,4,-6,0,-20,-30,15,-6,51,58,-45,11,-7,30,-31,-94,-18,18,74,-15,-26,-30,1,17,-58,-58,24,73,-62,18,-46,3,-94,24,-6,9,88,13,-6,89,44,-39,-31,-37,48,-20,-24,45,58,-31,-14,-1,49,71,-61,-16,18,-16,39,-45,5,-58,-29,-14,-13,29,12,-32,-58,43,-7,5,3,22,1,43,22,39,-21,-2,-21,20,24,-67,55,-19,-17,46,-14,-3,44,-28,47,57,-10,-51,39,-11,-1,66,-47,-1,-37,28,44,-31,3,55,-30,48,73,27,-6,-11,12,60,82,-64,8,-36,-43,68,-19,58,-3,-9,-4,7,51,-42,5,-30,75,3,35,-18,2,35,-5,22,-39,17,12,-34,-19,25,11,-6,48,-2,35,-37,-18,17,-42,-9,33,-37,12,14,36,-1,-14,-36,6,-35,72,71781
-9,0,83,0,-11,-45,51,47,-32,6,-44,66,13,-30,27,0,14,-14,26,12,-24,-38,8,46,-17,-38,12,23,83,81,57,-27,-37,0,41,17,47,-37,-39,69,-47,-47,31,10,-47,13,-32,1,-39,19,-6,4,-43,-35,-32,-24,-20,2,5,8,48,-62,85,39,67,-10,-1,-43,2,-50,-31,5,8,39,43,1,17,-21,12,-5,-83,-46,6,66,-34,-12,-5,12,13,-51,-29,5,80,-51,30,-73,15,-82,12,-38,1,56,-18,2,61,-44,-12,-31,-18,44,-11,-9,29,64,-41,-33,-27,-27,62,-46,5,-3,-21,35,-68,-2,-56,-47,8,-18,10,37,-44,-62,42,-9,17,6,8,-17,47,25,-45,-32,-53,-20,36,16,-42,48,-19,2,-3,-20,-6,34,-15,41,58,0,-59,23,9,-34,72,-47,-13,-37,6,45,-14,0,58,-14,33,64,41,-2,-2,5,47,76,-36,37,-32,-73,71,0,49,0,-14,3,-7,45,-16,24,-42,84,-27,-23,23,-25,39,-8,7,-17,35,7,-11,-22,3,10,2,22,-20,20,-26,-20,26,-60,-2,23,-15,12,22,38,-8,-23,-8,7,-29,73,72054
-28,23,18,0,-13,-11,17,15,-31,34,-30,65,35,31,10,-21,-15,-17,-12,-11,13,-2,31,57,-46,57,13,4,41,24,24,-3,-28,7,45,-24,61,-18,-26,15,-15,65,2,8,-14,7,-31,0,-13,-21,10,3,-30,8,-27,-5,4,-47,12,35,58,-15,56,30,19,0,-24,57,27,0,-31,6,-21,18,13,33,-6,-40,7,-1,-55,-11,0,49,23,9,-54,-37,35,1,11,14,95,-63,-7,-57,23,-55,5,-49,30,52,12,10,16,56,-30,-35,-10,65,0,29,25,78,52,-36,-44,60,57,-60,7,-10,-18,33,-54,-7,0,-28,-16,-6,7,-3,-9,-8,34,0,9,52,59,-3,26,38,58,-56,55,-12,50,1,6,16,-31,15,33,-18,-53,8,-52,18,51,46,-6,24,-13,17,-1,-54,10,-52,29,-45,8,47,52,-57,-3,59,18,-22,16,4,23,64,5,-3,-32,-48,0,8,49,0,-13,15,-8,21,34,2,48,91,-53,62,67,-28,-10,0,21,-32,51,-4,-7,-58,9,-15,0,-2,-3,-6,-19,4,9,-36,-8,-2,14,36,27,33,25,12,-55,-5,3,52,72108
-42,-31,-7,0,-5,-15,33,25,-39,6,-58,58,11,43,1,-28,-17,23,-12,-21,12,-30,19,52,-27,11,0,-2,54,-11,26,-19,-25,24,13,-27,43,-21,6,38,-30,14,3,-7,-1,-5,-29,-10,-14,-27,16,24,-60,3,-24,-21,-2,-10,17,72,49,-32,62,46,39,-11,0,2,2,-11,-29,-3,3,30,6,5,-1,-20,19,-9,-84,-8,20,58,41,15,-43,-57,7,-8,7,17,51,-41,-28,-54,17,-84,12,-56,23,34,34,-1,4,37,-37,-35,12,45,-12,5,10,74,9,-51,-60,47,62,-42,2,-23,-6,7,-49,1,-12,-41,0,-14,-2,-24,3,7,4,0,-7,38,1,-23,39,52,34,-27,3,-13,28,-26,-7,25,-44,13,71,-6,-20,11,-68,25,41,38,0,31,-1,8,44,-55,8,-56,11,-9,-19,-9,42,-69,-13,64,15,-30,12,-5,24,54,-5,-25,-40,-53,43,0,27,0,-8,-28,0,28,1,-2,11,50,-28,37,35,-40,-24,0,28,-35,31,-28,16,-39,19,-18,-11,-14,-23,0,23,-9,1,-40,-17,0,-20,12,33,45,4,15,-48,-8,-8,59,72599
-58,4,56,-15,-39,38,-51,99,-52,19,-75,100,100,44,22,-35,-82,49,-4,2,5,16,17,20,2,-26,29,62,-35,48,-62,15,-26,-89,29,-9,-78,0,-38,18,-91,-33,26,-38,0,13,-49,1,-35,-14,-58,-86,-75,-33,-22,10,-68,79,64,72,14,-100,-20,39,12,-58,-77,-88,84,8,-49,4,-75,-17,58,20,7,1,18,-72,-77,47,46,85,44,-56,27,-36,-99,-13,6,-40,3,36,4,-23,-56,-75,13,-21,27,74,27,-55,70,-80,8,-58,21,-70,-60,6,9,84,-17,-48,-17,-52,90,38,25,-83,-23,13,-13,-16,3,-85,11,-48,18,-19,0,6,18,-13,-38,18,-61,29,10,6,-82,-43,-82,-22,80,1,-42,100,-65,-23,68,-22,73,33,3,0,66,17,14,-73,13,36,76,-64,-8,-52,-100,3,-12,-77,62,4,-5,92,41,-39,-32,3,-13,100,-44,-21,-52,-62,75,-57,65,-16,-37,7,-17,-9,-13,64,-18,-25,3,-52,-30,-44,16,-12,-24,5,87,4,15,-52,-41,8,2,-37,29,4,47,7,21,-73,-30,6,-20,100,-75,44,83,-68,26,-15,-76,85,73139
