isloantobuy,teamidloanedfrom,playerid,loandateend
0,101085,69957,162246
0,76,69992,162062
0,1809,70014,162062
0,1931,70029,162062
0,32,70037,162062
0,1842,70049,162062
0,229,70069,162062
0,165,70092,162062
0,110580,70136,162246
0,23,70149,162062
0,48,70163,162062
0,101088,70203,162246
0,14,70228,162062
0,110176,70237,162062
0,55,70252,162062
0,308,70268,162062
0,1919,70275,162062
0,1877,70291,162062
0,449,70333,162062
0,110395,70431,162062
0,19,70446,162062
0,114510,70450,162062
0,69,70458,162062
0,131682,70471,162062
0,54,70479,162062
0,54,70481,162062
0,189,70482,162062
0,191,70511,162062
0,110556,70524,162062
0,1473,70631,162412
0,1745,70650,162062
0,111019,70670,162246
0,1896,70671,162062
0,116306,70684,162246
0,1877,70690,162246
0,22,70728,162062
0,819,70730,162062
0,76,70768,162062
0,110955,70810,162062
0,1808,70841,162062
0,101059,70852,162062
0,171,70906,162062
0,131798,70952,162062
0,100761,70960,162062
0,9,70994,162062
0,112096,71081,162062
0,32,71101,162062
0,18,71106,162062
0,1794,71129,162062
0,306,71145,162215
0,17,71147,162062
0,112828,71191,162062
0,1923,71215,162062
0,114640,71218,162246
0,110093,71230,162062
0,10020,71291,162062
0,485,71297,162062
0,64,71343,162062
0,113037,71344,162062
0,116009,71364,162062
0,116015,71366,162062
0,1853,71388,162062
0,111974,71401,162062
0,266,71451,162062
0,1794,71553,162062
0,28,71611,162062
0,74,71778,162062
0,175,71897,162062
0,452,71972,162062
0,11,71973,162062
0,116034,71978,162062
0,116034,71979,162062
0,1958,71990,162062
0,5,71998,162062
0,254,72018,162062
0,54,72030,162062
0,110,72031,162062
0,110374,72034,162062
0,97,72061,162062
0,65,72080,162062
0,116034,72081,162062
0,54,72097,162062
0,18,72159,162032
0,131681,72177,162062
0,112172,72250,162062
0,18,72284,162062
0,55,72324,162062
0,234,72337,162062
0,244,72360,162062
0,1925,72456,162062
0,132370,72464,162062
0,982,72560,162382
0,112391,72561,162062
0,100761,72621,162062
0,100888,72634,162062
0,310,72694,162062
0,116328,72705,162062
0,116332,72810,162062
0,116282,72818,162062
0,111433,72861,162062
0,1874,72918,162032
0,918,73037,162246
0,22,73057,162062
0,113299,73060,162062
0,110636,73071,162062
0,200,73138,162062
0,1923,73159,162062
0,165,73160,162062
0,110532,73172,162062
0,116328,73231,162062
0,110588,73294,162062
0,48,73296,162062
0,171,73306,162062
0,68,73330,162062
0,48,73333,162062
0,1910,73356,162062
0,503,73367,162062
0,1860,73374,162062
0,115841,73423,162062
0,1919,73429,162062
0,76,73430,162062
0,819,73447,162246
0,1809,73487,162062
0,36,73585,162062
0,1799,73615,162062
0,246,73617,162062
0,116328,73648,162062
0,1474,73685,162382
0,206,73853,162062
0,101083,73887,162062
0,110556,73928,162062
0,68,73932,162062
0,111433,73933,162062
0,1947,73943,162062
0,31,73956,162062
0,110751,73959,162062
0,1788,73986,162246
0,3,73987,162062
0,31,74003,162062
0,115841,74071,162062
0,457,74087,162062
0,280,74122,162062
0,1809,74134,162062
0,245,74140,162062
0,480,74178,162062
0,2,74207,162062
0,13,74209,162062
0,1917,74303,162062
0,45,74329,162062
0,1806,74359,162062
0,472,74370,162062
0,1860,74403,162062
0,116009,74404,162062
0,171,74417,162062
0,144,74430,162062
0,72,74478,162062
0,72,74480,162062
0,347,74502,162062
0,111974,74504,162062
0,110556,74520,162062
0,463,74548,162062
0,468,74557,162062
0,468,74559,162062
0,453,74583,162062
0,110093,74603,162246
0,34,74611,162062
0,7,74634,162062
0,112391,74701,162062
0,1745,74705,162062
0,241,74746,162062
0,32,74749,162062
0,1925,74759,162062
0,65,74774,162062
0,461,74785,162062
0,101088,74855,162062
0,18,74862,162062
0,1796,74864,162062
0,10029,74871,162062
0,246,74875,162062
0,894,74876,162062
0,66,74883,162062
0,106,74904,162062
0,112139,74913,162062
0,115845,74924,162062
0,110556,74930,162062
0,54,74931,162062
0,10,74956,162062
0,418,74966,162062
0,116327,75041,162062
0,57,75051,162062
0,73,75057,162062
0,1,75086,162062
0,106,75095,162062
0,114326,75097,162062
0,10,75148,162062
0,819,75164,162062
0,111434,75170,162062
0,116011,75186,162062
0,449,75211,162062
0,1745,75225,162062
0,116034,75229,162062
0,379,75251,162062
0,217,75252,162062
0,448,75263,162062
0,18,75272,162062
0,1516,75278,162062
0,116017,75291,162062
0,76,75421,162062
0,116306,75435,162062
0,110062,75437,162062
0,324,75462,162062
0,169,75498,162062
0,266,75499,162062
0,900,75526,162062
0,110374,75558,162062
0,10,75577,162062
0,110,75628,162062
0,115841,75645,162062
0,900,75656,162062
0,607,75707,162062
0,116009,75719,162062
0,110697,75782,162062
0,1943,75839,162062
0,245,75894,162062
0,23,76033,162062
0,95,76053,162062
0,115845,76153,162062
0,110374,76171,162062
0,110556,76172,162062
0,115841,76178,162062
0,116332,76195,162062
0,2,76255,162062
0,109,76376,162062
0,32,76396,162062
0,68,76411,162062
0,52,76431,162062
0,1799,76444,162062
0,111020,76488,162246
0,461,76501,162062
0,7,76507,162062
0,131682,76540,162062
0,229,76570,162062
0,11,76575,162062
0,10,76624,162062
0,112391,76721,162062
0,378,76730,162062
0,101088,76732,162246
0,65,76759,162062
0,86,76784,162062
0,31,76801,162062
0,245,76843,162062
0,111706,76917,162246
0,10029,76922,162062
0,175,76968,162062
0,28,76979,162062
0,1876,76991,162246
0,110093,77016,162246
0,95,77053,162062
0,237,77087,162062
0,112391,77102,162062
0,695,77130,162246
0,1906,77169,162062
0,2056,77205,162411
0,7,77295,162062
0,111716,77375,162246
0,11,77403,162062
0,1960,77439,162215
0,420,77592,162062
0,1806,77599,162062
0,111139,77620,162062
0,1932,77643,162062
0,452,77703,162062
0,237,77733,162062
0,3,77742,162062
0,10030,77764,162062
0,1960,77872,162215
0,116306,77986,162062
0,15,78095,162062
0,2,78113,162062
0,1924,78115,162062
0,66,78145,162062
0,1795,78150,162062
0,95,78183,162062
0,73,78216,162062
0,4,78230,162062
0,8,78258,162062
0,54,78263,162062
0,452,78282,162062
0,1792,78289,162062
0,132231,78347,162062
0,1961,78391,162062
0,1516,78612,162062
0,100759,78696,162062
0,448,78720,162062
0,64,78934,162062
0,131798,78943,162062
0,45,79088,162062
0,111138,79128,162246
0,71,79175,162062
0,110711,79190,162062
0,2014,79192,162062
0,14,79201,162062
0,301,79252,162062
0,237,79270,162062
0,718,79305,162062
0,1903,79319,162062
0,116044,79344,162062
0,110685,79371,162062
0,10029,79372,162062
0,278,79381,162062
0,1876,79389,162246
0,165,79394,162062
0,116009,79441,162062
0,472,79560,162062
0,95,79585,162062
0,97,79593,162062
0,234,79607,162062
0,1853,79769,162062
0,110404,79782,162246
0,45,79919,162062
0,52,80075,162062
0,52,80076,162062
0,160,80136,162062
0,32,80163,162062
0,448,80342,162062
0,1917,80349,162062
0,14,80412,162062
0,113142,80459,162062
0,94,80501,162062
0,17,80565,162062
0,131681,80597,162062
0,101026,80601,162062
0,483,80625,162062
0,48,80630,162062
0,1968,80661,162062
0,72,80689,162062
0,100409,80755,162062
0,131682,80836,162062
0,1837,81262,162062
0,159,81317,162062
0,280,81324,162062
0,10,81337,162062
0,896,81412,162062
0,10,81538,162062
0,10,81539,162062
0,45,81732,162062
0,131358,81787,162062
0,1745,81970,162062
0,5,82383,162062
0,21,82814,162062
0,240,82907,162062
0,10,83042,162062
0,1,83046,162062
0,448,83090,162062
0,112391,83167,162062
0,131681,83168,162062
0,144,83185,162062
0,10,83205,162062
0,112885,83363,162246
0,14,83543,162062
0,11,83631,162062
0,14,83653,162062
0,205,83661,162062
0,11,83663,162062
0,34,83707,162062
0,1803,83725,162246
0,423,84072,162215
0,101059,84350,162246
0,1924,189808,162062
0,241,192448,162062
0,1804,192450,162062
0,280,193476,162062
0,1843,193786,162062
0,463,193794,162062
0,91,194017,162062
0,1951,198437,162062
0,325,198717,162062
0,269,199439,162062
0,436,200746,162062
0,15048,200806,162062
0,131681,201153,162062
0,1801,201911,162062
0,1947,202048,162062
0,1792,202199,162062
0,111235,202873,162062
0,310,202886,162062
0,80,204269,162062
0,17,204760,162062
0,1804,204870,162062
0,19,205431,162062
0,19,205569,162062
0,1923,205887,162062
0,280,206031,162062
0,10,206517,162062
0,1795,209532,162062
0,1947,210108,162062
0,605,210514,162062
0,50,210671,162062
0,91,210985,162062
0,1874,211068,162062
0,1937,211299,162062
0,45,211320,162062
0,219,211784,162062
0,13,211990,162062
0,10029,212002,162062
0,325,212138,162062
0,106,212491,162062
0,86,213017,162062
0,245,213418,162062
0,240,213565,162062
0,1843,213814,162062
0,111657,213938,162062
0,1947,214896,162062
0,110832,214944,162062
0,1848,215433,162062
0,19,215798,162062
0,1919,216155,162062
0,74,216320,162062
0,674,216334,162062
0,106,216464,162062
0,48,216816,162062
0,1908,217585,162062
0,13,218659,162062
0,900,219244,162062
0,1876,219522,162246
0,326,219693,162062
0,74,220093,162062
0,94,220139,162062
0,1746,220491,162062
0,1837,220528,162062
0,111434,220720,162062
0,1837,220933,162062
0,109,220944,162062
0,457,221014,162062
0,38,221168,162062
0,101085,221219,162062
0,110078,221323,162062
0,1745,221331,162062
0,1928,221531,161962
0,1884,221969,162062
0,112670,222378,162246
0,219,223143,162062
0,23,223550,162062
0,1745,223671,162062
0,479,223790,162062
0,55,223866,162062
0,21,223885,162062
0,278,223979,162062
0,461,224013,162062
0,10,224081,162062
0,326,224158,162062
0,1842,224302,162062
0,1947,224361,162062
0,72,224422,162062
0,54,224836,162062
0,88,224915,162062
0,607,225087,162062
0,113057,225195,162062
0,66,225263,162062
0,326,225403,162062
0,1952,225441,162062
0,1831,225533,162062
0,1800,225543,162062
0,94,225667,162062
0,115845,225793,162062
0,113974,225844,162062
0,1947,226084,162062
0,113974,226260,162062
0,1896,226370,162062
0,1923,226507,162062
0,111019,226616,162246
0,110776,226677,162062
0,11,226753,162062
0,453,226777,162062
0,64,226789,162062
1,131682,226851,162062
0,116280,227073,162124
0,379,227558,162062
0,12,227806,162062
0,236,227819,162062
0,1951,227945,162062
0,97,228225,162062
0,247,228279,162062
0,1745,228413,162062
0,112115,228487,162160
0,1933,228642,162062
0,91,228684,162062
0,112391,228784,162062
0,245,229158,162062
0,10,229237,162062
1,21,229391,162062
0,71,229705,162062
0,131798,229800,162062
0,605,229851,162062
0,5,229942,162062
0,29,230047,162062
0,91,230864,162062
0,101088,230964,162246
0,94,231005,162062
0,17,231044,162062
0,1842,231073,162062
0,1934,231284,162062
0,2,231447,162062
0,1,231448,162062
0,111019,231479,162246
0,111710,231507,162246
0,300,231582,162062
0,481,231628,162062
0,11,231677,162062
0,1952,231777,162062
0,189,231836,162062
0,8,231838,162062
0,80,231863,162032
0,8,232080,162062
0,219,232097,162062
0,9,232223,162062
0,1958,232520,162062
0,698,232642,162062
0,111019,232832,162246
0,1795,233048,162062
0,11,233049,162062
0,327,233053,162062
0,94,233164,162062
0,52,233189,162062
0,66,233267,162062
0,112115,233568,162382
0,17,233795,162062
0,17,233934,162062
0,15,233957,162062
0,111434,233968,162062
0,1877,234108,162246
0,326,234341,162062
0,112689,234466,162246
0,234,234569,162062
0,1831,234728,162062
0,379,234799,162062
0,1874,234867,162062
0,674,234905,162062
0,1861,235008,162062
0,1917,235014,162062
0,1809,235022,162062
0,14,235026,162062
0,393,235029,162062
0,95,235036,162062
0,69,235413,162062
0,110,235432,162062
0,379,235458,162062
0,10029,235526,162062
0,325,235658,162062
0,101014,235717,162062
0,1951,235769,162062
0,19,235844,162062
0,326,235889,162062
0,111434,235935,162062
0,280,235949,162062
0,1861,235983,162062
0,1877,235989,162246
0,1939,236247,162062
0,1928,236310,162062
0,1807,236316,162062
0,456,236466,162062
0,45,236499,162062
0,169,236518,162062
0,246,236593,162062
0,1944,236611,162062
0,1923,236650,162062
0,113974,236767,162062
0,110374,236791,162062
0,110093,236803,162246
0,64,236804,162062
0,189,236836,162062
0,347,236838,162062
0,189,236898,162062
0,1843,237040,162062
0,379,237198,162062
0,111434,237391,162062
0,1804,237503,162062
0,1745,237586,162062
0,1860,237626,162062
0,48,237669,162062
0,73,237679,162062
0,1745,237715,162062
0,112558,237778,162411
0,1910,237895,162062
0,17,237916,162062
0,621,237969,162062
0,819,238060,162062
0,325,238067,162062
0,169,238068,162062
0,1877,238331,162246
0,1797,238450,162062
0,110738,238464,162062
0,326,238621,162062
0,54,238873,162062
0,175,239136,162062
0,64,239342,162062
0,48,239380,162062
0,1803,239504,162062
0,1925,239529,162062
0,236,239631,162062
0,112199,239672,162062
0,25,239696,162062
0,112513,239816,162062
0,86,239881,162062
0,110,239901,162062
0,52,239964,162062
0,175,240017,162062
0,1943,240060,162062
0,64,240209,162062
0,101112,240233,162062
0,1884,240271,162062
0,15,240317,162062
0,112260,240334,162062
0,1933,240346,162062
0,110374,240452,162062
0,219,240507,162062
0,100888,240589,162062
0,131798,240600,162062
0,1928,240604,162062
0,1843,240628,162062
0,45,240690,162062
0,280,240702,162062
0,1794,240773,162062
0,1943,240787,162062
0,112124,240798,162062
0,1860,240859,162062
0,106,240867,162062
0,450,240900,162062
0,55,240970,162062
0,1877,240976,162062
0,111019,241005,162246
0,55,241007,162062
0,111019,241025,162246
0,463,241070,162062
0,144,241076,162062
0,112172,241187,162062
0,83,241245,162062
0,112172,241390,162062
0,166,241474,162062
0,45,241496,162062
0,12,241523,162062
0,1876,241569,162246
0,111974,241628,162062
0,70,241708,162062
0,65,241821,162062
0,112393,241862,162062
0,110396,241927,162246
0,112670,241931,162246
0,10029,241941,162062
0,266,242006,162062
0,229,242045,162062
0,112670,242073,162246
0,711,242160,162062
0,12,242181,162062
0,980,242182,162219
0,112828,242214,162062
0,127,242258,162062
0,1796,242265,162062
0,110975,242306,162062
0,1929,242423,162062
0,1932,242436,162062
0,898,242527,162062
0,1943,242577,162062
0,112139,242661,162062
0,1861,242841,162062
0,17,242916,162062
0,327,242919,162062
0,2056,242924,162160
0,219,243009,162062
0,481,243034,162062
0,1943,243048,162062
0,112258,243064,162160
0,8,243134,162062
0,50,243154,162062
0,111974,243200,162062
0,234,243245,162062
0,111713,243476,162246
0,54,243497,162062
0,111974,243527,162062
0,111235,243537,162062
0,468,243571,162062
1,112172,243580,162062
0,17,243585,162062
0,12,243619,162062
0,1932,243639,162062
0,1798,243765,162062
0,28,243904,162062
0,2,243917,162062
0,169,244108,162062
0,436,244114,162062
0,110502,244181,162062
0,211,244393,162062
0,48,244472,162062
0,4,244559,162062
0,324,244592,162062
0,110374,244634,162062
0,526,244707,162062
0,106,244731,162062
0,4,244871,162062
0,278,244949,162062
0,1928,245070,162062
0,101047,245131,162062
0,110832,245157,162062
0,1903,245270,162062
0,1951,245340,162062
0,100409,245347,162062
0,52,245426,162062
0,110738,245491,162062
0,89,245501,162062
0,57,245563,162062
0,94,245729,162062
0,48,245741,162062
0,310,245749,162062
0,436,245770,162062
0,116017,245826,162062
0,1962,245893,162062
0,1910,245894,162062
0,110724,246007,162062
0,8,246053,162062
0,236,246070,162062
0,15015,246080,162062
0,91,246099,162062
0,1876,246106,162062
0,481,246113,162062
0,110502,246127,162062
0,241,246139,162062
1,131681,246172,162062
0,9,246174,162062
0,1931,246249,162062
0,110374,246258,162062
0,1961,246296,162062
0,28,246301,162062
0,106,246417,162062
0,110374,246431,162062
0,452,246455,162062
0,48,246457,162062
0,110636,246550,162062
0,112689,246610,162062
0,189,246656,162062
0,52,246688,162062
0,280,246708,162062
0,110,246763,162062
0,18,246791,162062
0,2,246871,162062
0,23,246919,162062
0,66,246947,162062
0,1914,247209,162062
0,448,247328,162062
0,36,247360,162062
0,112670,247400,162246
0,1815,247412,162062
0,245,247467,162246
0,1861,247500,162062
0,1478,247667,162160
0,100761,247674,162062
0,1943,247678,162062
0,32,247679,162062
0,116012,247797,162062
0,131682,247888,162062
0,1908,247931,162062
0,1932,248121,162062
0,180,248126,162062
0,111928,248231,162246
0,21,248266,162062
0,111822,248356,162062
0,1819,248473,162062
0,1746,248474,162062
0,22,248478,162062
0,1477,248487,162160
0,1824,248573,162062
0,503,248575,162062
0,1,248732,162062
0,89,248740,162062
0,1917,248774,162062
0,463,250725,162062
0,900,250766,162062
0,325,250807,162062
0,31,250854,162062
0,320,250855,162062
0,485,250946,162062
0,452,250997,162062
0,700,251090,162062
0,240,251136,162062
0,1530,251191,162062
0,1798,251284,162062
0,111235,251289,162062
0,1938,251311,162062
0,95,251335,162062
0,169,251392,162062
0,112172,251451,162062
0,106,251521,162062
0,89,251592,162062
0,112124,251603,162062
0,14,251616,162062
0,101047,251629,162062
0,1861,251647,162062
0,229,251651,162062
0,110915,251769,162062
0,1848,251920,162062
0,237,252025,162062
0,175,252027,162062
0,110738,252033,162062
0,110062,252064,162062
0,101088,252192,162246
0,111710,252239,162246
0,1939,252268,162062
0,327,252308,162062
0,113974,252315,162062
0,450,252327,162062
0,246,252383,162062
0,101014,252470,162062
0,873,252494,162062
0,175,252495,162062
0,237,252567,162062
0,1917,252587,162062
0,1473,252643,162412
0,982,252658,162160
0,873,252783,162246
0,980,252810,162216
0,10029,252846,162062
0,449,252865,162062
0,110,252975,162062
0,241,253004,162062
0,1843,253019,162062
0,100409,253036,162062
0,10,253052,162062
0,111434,253071,162062
0,1745,253120,162062
0,205,253162,162062
0,10029,253170,162062
0,131681,253177,162062
0,463,253216,162062
0,111716,253271,162246
0,1800,253403,162062
0,9,253428,162062
0,14,253444,162062
0,111710,253953,162246
0,106,253969,162062
0,110,254120,162062
0,13,254135,162062
0,15005,254276,162062
0,101037,254297,162062
0,1929,254327,162062
0,301,254501,162062
0,670,254503,162062
0,110396,254714,162246
0,15048,254838,162062
0,175,254928,162062
0,72,255000,162062
0,1908,255010,162062
0,86,255137,162062
0,1824,255150,162062
0,57,255216,162062
0,110093,255256,162246
0,110329,255312,162062
0,1951,255314,162062
0,980,255329,162216
0,1478,255519,162160
0,115845,255529,162062
0,78,255573,162062
0,115845,255611,162062
0,1896,255760,162062
0,78,255838,162062
0,111974,255839,162062
0,457,255854,162062
0,110396,255879,162062
0,232,255891,162062
0,420,255917,162246
0,327,255934,162062
0,240,256058,162062
0,116280,256094,162062
0,457,256097,162062
0,36,256118,162062
1,32,256197,162062
0,1906,256427,162062
0,1961,256459,162062
0,1939,256474,162062
0,1933,256481,162062
0,1925,256488,162062
0,453,256604,162062
0,1824,256658,162062
0,219,256669,162062
0,112391,256688,162062
0,29,256705,162062
0,8,256776,162062
0,110738,256778,162062
0,131681,256899,162062
0,74,256949,162062
0,485,256954,162062
0,1,256958,162062
0,267,256970,162062
0,674,257019,162062
0,1862,257025,162062
0,1745,257080,162062
0,112670,257152,162246
0,111974,257164,162062
0,29,257190,162062
0,106,257270,162062
0,191,257271,162062
0,45,257290,162062
0,1944,257291,162062
0,111974,257324,162062
0,209,257340,162062
0,131681,257353,162062
0,110827,257396,162062
0,1915,257484,162062
0,95,257504,162062
0,76,257612,162062
0,80,257717,162062
0,100805,257775,162062
0,115845,257785,162062
0,1928,257793,162062
0,25,257877,162062
0,159,257916,162062
0,463,258041,162062
0,110374,258104,162246
0,71,258196,162062
0,25,258316,162062
0,1794,258390,162062
0,461,258396,162062
0,2,258444,162062
0,670,258465,162062
0,106,258483,162062
0,100087,258489,162062
0,1745,258505,162062
0,234,258507,162062
0,1745,258564,162062
0,240,258689,162062
0,50,258708,162062
0,1925,258724,162062
0,1874,258771,162062
0,1744,258788,162062
0,13,258805,162062
0,111974,258846,162062
0,1960,258910,162062
0,2,258932,162062
0,1903,258984,162062
0,1842,259011,162062
0,65,259054,162062
0,110738,259057,162062
0,31,259101,162062
0,76,259119,162062
0,417,259134,162062
0,21,259162,162062
0,1968,259173,162062
0,5,259197,162062
0,217,259215,162062
0,11,259399,162062
0,100646,259403,162062
0,1745,259423,162062
0,100646,259443,162062
0,89,259507,162062
0,483,259521,162062
0,100409,259559,162062
0,110395,259570,162062
0,1871,259581,162062
0,1808,259608,162062
0,113458,259644,162062
0,25,259714,162062
0,111594,259747,162062
0,417,259763,162062
0,110093,259786,162246
0,1477,259843,162445
0,236,259849,162062
0,101083,259883,162062
1,101059,259913,162062
0,110329,259993,162062
0,112387,260010,162062
0,111716,260030,162246
0,1796,260099,162062
0,1903,260264,162062
0,231,260404,162062
0,576,260405,162062
0,1824,260407,162062
0,112258,260497,162411
0,900,260501,162062
0,379,260558,162062
0,111706,260593,162246
0,326,260638,162062
0,106,260779,162062
0,393,260910,162062
0,5,260942,162062
0,78,260951,162062
0,18,261025,162062
0,503,261047,162062
0,980,261055,162216
0,1477,261105,162160
0,112558,261116,162411
