maleteamname,femaleteamname,maleteamid,femaleteamid
Arsenal,Arsenal,1,116009
Aston Villa,Aston Villa,2,116015
Chelsea,Chelsea,5,116010
Everton,Everton,7,116016
Liverpool,Liverpool,9,116343
Manchester City,Manchester City,10,116017
Manchester United,Manchester United,11,116012
Tottenham Hotspur,Tottenham Hotspur,18,116011
West Ham United,West Ham United,19,116014
Bayern München,Bayern München,21,115995
SC Freiburg,SC Freiburg,25,116002
Hamburger SV,Hamburger SV,28,132533
1. FC Köln,1. FC Köln,31,116003
Bayer 04 Leverkusen,Bayer 04 Leverkusen,32,115996
Werder Bremen,Werder Bremen,38,116004
Juventus,Juventus,45,116280
Roma,Roma,52,116282
RC Lens,RC Lens,64,132588
Olympique Lyonnais,OL Lyonnes,66,116033
Montpellier HSC,Montpellier HSC,70,116037
FC Nantes,FC Nantes,71,116417
Paris Saint-Germain,Paris Saint-Germain,73,116034
RC Strasbourg,RC Strasbourg,76,131724
Leicester City,Leicester City,95,116020
1. FC Nürnberg,1. FC Nürnberg,171,131386
VfL Wolfsburg,VfL Wolfsburg,175,115998
Olympique de Marseille,Olympique de Marseille,219,132370
Benfica,Benfica,234,131358
Atlético de Madrid,Atlético de Madrid,240,116327
FC Barcelona,FC Barcelona,241,116325
RC Deportivo,RC Deportivo,242,131720
Real Madrid,Real Madrid,243,116326
Ajax,Ajax,245,131359
Slavia Praha,Slavia Praha,266,131360
Athletic Club de Bilbao,Athletic Club de Bilbao,448,116328
RCD Espanyol,RCD Espanyol,452,131733
Real Sociedad,Real Sociedad,457,116336
SD Eibar,SD Eibar,467,116331
Sevilla FC,Sevilla FC,481,116337
Houston Dynamo,Houston Dash,698,116306
FC Zürich,FC Zürich,894,131361
Le Havre AC,Le Havre AC,1738,116416
Brighton & Hove Albion,Brighton & Hove Albion,1808,116013
AS Saint-Étienne,AS Saint-Étienne,1819,116044
Eintracht Frankfurt,Eintracht Frankfurt,1824,115997
1. FC Union Berlin,1. FC Union Berlin,1831,132589
Levante UD,Levante UD,1853,116333
TSG 1899 Hoffenheim,TSG 1899 Hoffenheim,10029,115999
Granada CF,Granada CF,110832,131391
Real Salt Lake,Utah Royals,111065,131478
Portland Timbers,Portland Thorns FC,111140,116302
Seattle Sounders,Seattle Reign FC,111144,116300
Paris FC,Paris FC,111817,116035
RB Leipzig,RB Leipzig,112172,116021
Orlando City SC,Orlando Pride,112606,116307
