overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-1,84,85,5,239231
2,88,86,5,257534
1,90,89,9,209331
-2,85,87,10,239818
-2,83,85,10,240638
2,90,88,11,212198
2,87,85,11,243014
-1,85,86,13,247851
1,91,90,21,202126
2,91,89,21,212622
2,89,87,21,241084
-1,86,87,21,256790
2,88,86,22,235073
2,88,86,22,247819
2,87,85,32,210035
-3,82,85,32,234236
-2,82,84,45,222077
2,89,87,48,192985
3,88,85,52,211110
3,87,84,52,230872
-2,86,88,73,247635
-2,88,90,73,255253
-3,82,85,240,226161
-1,82,83,241,186153
2,88,86,241,188545
-1,83,84,241,244260
-2,88,90,243,192119
2,91,89,243,252371
-1,83,84,326,215914
-1,83,84,449,197781
2,87,85,605,224293
-2,82,84,10029,193698
2,87,85,112139,20801
-1,83,84,112172,185122
3,89,86,112893,158023
-1,82,83,112893,212616
3,87,84,115997,261773
3,88,85,115998,226302
-1,84,85,116009,227110
2,91,89,116009,237288
-1,85,86,116009,245802
2,91,89,116009,258980
2,88,86,116010,227125
2,91,89,116017,246219
2,88,86,116326,245879
-2,83,85,131681,210008
-1,84,85,131681,227796
-2,86,88,131682,224232
-1,87,88,131682,231478
-1,83,84,132176,237197
