competitionid,isqualified,group,teamid,groupslot
223,1,1,48,1
223,1,1,234,2
223,1,1,2014,3
223,1,1,247,4
223,1,2,73,1
223,0,2,100135,2
223,1,2,10,3
223,1,2,9,4
223,1,3,241,1
223,1,3,1824,2
223,1,3,231,3
223,1,3,22,4
223,1,4,32,1
223,1,4,240,2
223,1,4,448,3
223,1,4,69,4
223,1,5,1,1
223,1,5,245,2
223,1,5,5,3
223,1,5,243,4
223,1,6,115845,1
223,1,6,21,2
223,1,6,13,3
223,1,6,266,4
223,1,7,325,1
223,1,7,113888,2
223,1,7,819,3
223,1,7,18,4
223,1,8,219,1
223,1,8,131682,2
223,1,8,483,3
223,1,8,918,4
223,1,9,237,1
223,1,9,45,2
223,0,9,100325,3
223,1,9,280,4
224,1,1,36,1
224,1,1,209,2
224,1,1,449,3
224,0,1,298,4
224,1,2,1884,1
224,1,2,66,2
224,1,2,14,3
224,0,2,114385,4
224,1,3,65,1
224,1,3,673,2
224,1,3,100632,3
224,1,3,100761,4
224,0,4,229,1
224,1,4,1516,2
224,1,4,896,3
224,1,4,236,4
224,1,5,78,1
224,1,5,2,2
224,1,5,900,3
224,1,5,919,4
224,1,6,246,1
224,1,6,72,2
224,1,6,52,3
224,1,6,393,4
224,1,7,1874,1
224,1,7,189,2
224,1,7,25,3
224,1,7,320,4
224,1,8,1896,1
224,1,8,326,2
224,1,8,450,3
224,1,8,211,4
224,1,9,110468,1
224,1,9,86,2
224,1,9,1903,3
224,1,9,191,4
226,0,1,670,1
226,0,1,10032,2
226,1,1,306,3
226,1,1,480,4
226,1,2,76,1
226,0,2,269,2
226,0,2,181,3
226,1,2,1871,4
226,0,3,256,1
226,1,3,1862,2
226,1,3,101047,3
226,1,3,101059,4
226,1,4,1799,1
226,1,4,1906,2
226,0,4,324,3
226,1,4,278,4
226,1,5,267,1
226,1,5,169,2
226,1,5,711,3
226,1,5,873,4
226,0,6,81,1
226,0,6,270,2
226,0,6,2041,3
226,1,6,114326,4
226,1,7,834,1
226,0,7,263,2
226,1,7,254,3
226,1,7,110374,4
226,0,8,1438,1
226,0,8,327,2
226,0,8,300,3
226,1,8,110745,4
226,0,9,708,1
226,1,9,308,2
226,1,9,77,3
226,1,9,748,4
227,1,1,116280,1
227,1,1,116009,2
227,1,1,116325,3
227,1,1,116035,4
227,1,2,116326,1
227,0,2,131359,2
227,1,2,116012,3
227,0,2,131361,4
227,1,3,115998,1
227,1,3,116033,2
227,0,3,131362,3
227,1,3,116010,4
227,0,4,131363,1
227,1,4,116282,2
227,1,4,116327,3
227,1,4,116034,4
227,1,5,131358,1
227,1,5,115995,2
1003,1,1,1043,1
1003,1,1,101083,2
1003,1,1,112659,3
1003,1,1,101103,4
1003,1,2,111325,1
1003,1,2,111014,2
1003,1,2,112705,3
1003,1,2,111722,4
1003,1,3,567,1
1003,1,3,110968,2
1003,1,3,112853,3
1003,1,3,111020,4
1003,1,4,1877,1
1003,1,4,568,2
1003,1,4,110975,3
1003,1,4,110981,4
1003,1,5,101110,1
1003,1,5,1041,2
1003,1,5,101104,3
1003,1,5,112689,4
1003,1,6,383,1
1003,1,6,112716,2
1003,1,6,101101,3
1003,1,6,111013,4
1003,1,7,110986,1
1003,1,7,110395,2
1003,1,7,114577,3
1003,1,7,111975,4
1003,1,8,112908,1
1003,1,8,111008,2
1003,1,8,110580,3
1003,1,8,115693,4
1014,1,1,101099,1
1014,1,1,111715,2
1014,1,1,114578,3
1014,1,1,111012,4
1014,1,2,1035,1
1014,1,2,111011,2
1014,1,2,114611,3
1014,1,2,112112,4
1014,1,3,598,1
1014,1,3,101105,2
1014,1,3,112868,3
1014,1,3,112116,4
1014,1,4,1053,1
1014,1,4,1013,2
1014,1,4,110982,3
1014,1,4,131826,4
1014,1,5,101085,1
1014,1,5,110989,2
1014,1,5,115517,3
1014,1,5,517,4
1014,1,6,1629,1
1014,1,6,111328,2
1014,1,6,113143,3
1014,1,6,115472,4
1014,1,7,101108,1
1014,1,7,569,2
1014,1,7,101097,3
1014,1,7,113044,4
1014,1,8,1876,1
1014,1,8,112472,2
1014,1,8,110967,3
1014,1,8,110991,4
1991,1,1,1386,1
1991,1,1,111099,2
1991,1,1,974,3
1991,1,1,1330,4
1991,1,2,111455,1
1991,1,2,105013,2
1991,1,2,111527,3
1991,1,2,1364,4
1991,1,3,1370,1
1991,1,3,111111,2
1991,1,3,112048,3
1991,1,3,1359,4
1991,1,4,1387,1
1991,1,4,1375,2
1991,1,4,1415,3
1991,1,4,1365,4
1991,1,5,1337,1
1991,1,5,112054,2
1991,1,5,111112,3
1991,1,5,111465,4
1991,1,6,105035,1
1991,1,6,1411,2
1991,1,6,1363,3
1991,1,6,1391,4
1991,1,7,1325,1
1991,1,7,111130,2
1991,1,7,111115,3
1991,1,7,111473,4
1991,1,8,1362,1
1991,1,8,111456,2
1991,1,8,111114,3
1991,1,8,1377,4
1991,1,9,1335,1
1991,1,9,1667,2
1991,1,9,111512,3
1991,1,9,1352,4
1991,1,10,1369,1
1991,1,10,111448,2
1991,1,10,1322,3
1991,1,10,111513,4
1991,1,11,1354,1
1991,1,11,111545,2
1991,1,11,111485,3
1991,1,11,111109,4
1991,1,12,1318,1
1991,1,12,1328,2
1991,1,12,111462,3
1991,1,12,111475,4
