bs_zygomaxilla_NL_XXX_D_U,bs_zygomaxilla_NR_XXX_R_A,bs_mandible_NR_IXA_B_F,bs_maxilla_NL_SXX_N_W,bs_chin_NN_SXX_SL_SR,bs_brow_NL_XLX_R_A,bs_canine_NL_XXX_N,bs_brow_NL_XLX_B_F,bs_brow_NR_SMX_B_F,bs_temple_NR_XXX_B_F,bs_orbits_NR_XXX_N_W,bs_orbits_NR_SXX_D_U,bs_teeth_NN_XXX_D_U,ca_ears_NR_XXX_N_W,bs_cuspid_NR_XXX_SL_SR,fl_eyes_NR_XXX_R_A,bs_skull_NN_SXX_N_W,bs_mandible_NR_XXP_B_F,ca_laryngeal_NN_XXX_N_W,bs_orbits_NL_XXX_R_A,bs_maxilla_NR_IXX_B_F,fl_eyes_NR_XXX_D_U,bs_incisorLower_NL_XLX_U,bs_mandible_NL_SXA_N_W,bs_cuspid_NL_XXX_N,bs_brow_NN_XMX_D_U,ca_ears_NL_XXX_B_F,bs_temple_NL_XXX_R_A,bs_zygomaxilla_NR_XXX_D_U,bs_coronal_NN_SXX_R,bs_incisor_NR_XLX_D_U,bs_incisor_NR_IMX_D_U,bs_brow_NN_XMX_SL_SR,bs_canine_NR_IXX_R,bs_maxilla_NR_SXX_D_U,bs_maxilla_NL_IXX_R_A,bs_incisorLower_NL_XLX_SL_SR,ca_ears_NL_XXX_SL_SR,bs_incisor_NL_IMX_R,bs_incisorLower_NL_XLX_N,bs_noseRoot_NN_XXX_D_U,bs_cuspid_NL_SXX_D_U,bs_incisor_NR_ILX_D_U,ca_ears_NL_XXX_R_A,bs_cuspid_NL_XXX_U,bs_cuspid_NR_SXX_D_U,bs_cuspid_NR_XXX_N,bs_mandible_NR_IXA_N_W,ca_ears_NR_XXX_R_A,bs_skull_NN_SXX_R_A,bs_noseBridge_NN_XXX_N_W,bs_incisorLower_NR_SMX_D_U,bs_chin_NN_XXX_B_F,bs_canine_NL_XXX_SL_SR,bs_incisor_NR_XLX_SL_SR,bs_brow_NR_XLX_N_W,bs_maxilla_NL_IXX_B_F,bs_incisorLower_NR_XLX_U,bs_mandible_NR_SXA_D_U,bs_skull_NN_XXP_N_W,bs_chin_NN_XXX_R_A,bs_orbits_NL_SXX_D_U,bs_temple_NL_XXX_B_F,ca_adamsapple_NN_XXX_D_U,bs_orbits_NL_XXX_N_W,bs_mandible_NL_XXP_N_W,bs_canine_NR_XXX_N,bs_nose_NN_XXX_N_W,bs_incisor_NL_XLX_N_W,bs_mandible_NR_XXP_N_W,ca_laryngeal_NN_XXX_B_F,bs_mandible_NL_IXA_B_F,bs_chin_NN_XXX_SL_SR,bs_molarsLower_NR_XXX_U,bs_brow_NL_XLX_N_W,bs_mandible_NL_IXA_R_A,bs_incisorLower_NL_SMX_D_U,bs_brow_NR_XLX_R_A,bs_incisor_NR_XMX_D_U,bs_cuspid_NR_XXX_U,bs_maxilla_NR_IXX_N_W,bs_mandible_NR_IXA_R_A,bs_incisorLower_NR_XLX_N,bs_noseBridge_NN_XXX_R_A,bs_incisor_NR_IMX_R,bs_canine_NL_IXX_R,bs_mandible_NL_IXA_D_U,bs_orbits_NR_XXX_R_A,bs_incisorLower_NL_SLX_D_U,bs_nose_NN_XXX_B_F,bs_mandible_NL_XXP_R_A,bs_temple_NR_XXX_N_W,bs_chin_NN_XXX_N_W,bs_chin_NN_SXX_D_U,bs_orbits_NR_XXX_B_F,bs_teethLower_NN_XXA_N_W,bs_brow_NL_SMX_D_U,bs_incisorLower_NL_XMX_N,bs_skull_NN_XXP_R_A,bs_chin_NN_SXX_N_W,bs_chin_NN_XXX_D_U,bs_canine_NL_XXX_D_U,bs_brow_NL_SMX_N_W,bs_temple_NL_XXX_N_W,bs_orbits_NL_XXX_B_F,bs_mandible_NR_SXA_B_F,bs_noseRoot_NN_XXX_SL_SR,ca_ears_NL_XXX_N_W,bs_coronal_NN_SXX_D_U,bs_maxilla_NL_IXX_N_W,bs_incisor_NL_XMX_D_U,bs_teeth_NN_XXX_SL_SR,bs_cuspid_NL_XXX_SL_SR,ca_ears_NL_XXX_D_U,bs_forehead_NN_XXX_U,bs_incisor_NL_XMX_N_W,bs_maxilla_NL_IXX_D_U,bs_maxilla_NR_IXX_R_A,bs_molarsLower_NL_XXX_U,bs_coronal_NN_SXX_N_W,bs_canine_NR_IXX_D_U,bs_incisor_NL_XLX_D_U,ca_adamsapple_NN_XXX_B_F,bs_incisor_NR_XMX_SL_SR,bs_temple_NR_XXX_R_A,bs_temple_NL_XXX_D_U,bs_noseRoot_NN_XXX_B_F,bs_orbits_NL_SXX_B_F,bs_forehead_NN_XXX_R_A,bs_orbits_NR_SXX_B_F,bs_incisorLower_NR_XMX_N,bs_temple_NR_XXX_D_U,bs_incisor_NL_XLX_SL_SR,bs_brow_NN_XMX_R_A,bs_zygomaxilla_NR_XXX_B_F,bs_teethLower_NN_XXA_D_U,bs_teeth_NN_XXX_B_F,bs_orbits_NL_SXX_N_W,bs_orbits_NL_XXX_D_U,bs_noseBridge_NN_XXX_SL_SR,bs_maxilla_NR_SXX_B_F,bs_teeth_NN_XXX_R_A,bs_incisor_NR_XMX_N_W,bs_maxilla_NR_IXX_D_U,bs_orbits_NR_SXX_R_A,bs_forehead_NN_XXX_B_F,bs_mandible_NL_IXA_N_W,bs_coronal_NN_SXX_B_F,bs_skull_NN_XXP_SL_SR,bs_coronal_NN_SXX_SL_SR,bs_brow_NL_XLX_D_U,bs_forehead_NN_XXX_SL_SR,bs_maxilla_NL_SXX_B_F,bs_noseRoot_NN_XXX_N_W,bs_incisorLower_NR_XMX_SL_SR,bs_zygomaxilla_NL_XXX_R_A,bs_zygomaxilla_NL_XXX_B_F,bs_maxilla_NL_SXX_R_A,bs_nose_NN_XXX_D_U,bs_mandible_NR_XXP_D_U,bs_incisor_NL_XMX_SL_SR,fl_eyes_NR_XXX_B_F,bs_incisor_NL_ILX_R,bs_molars_NL_XXX_D_U,bs_incisor_NR_XLX_N_W,ca_ears_NR_XXX_SL_SR,bs_brow_NR_SMX_R_A,bs_brow_NN_XMX_B_F,bs_canine_NR_XXX_SL_SR,bs_skull_NN_SXX_F,bs_mandible_NR_SXA_N_W,bs_brow_NL_SMX_R_A,fl_eyes_NR_XXX_N_W,ca_laryngeal_NN_XXX_D_U,bs_molars_NR_XXX_D_U,bs_skull_NN_XXP_D_U,bs_chin_NN_SXX_R_A,bs_mandible_NL_XXP_D_U,bs_forehead_NN_XXX_N_W,bs_nose_NN_XXX_SL_SR,fl_eyes_NL_XXX_B_F,bs_orbits_NR_SXX_N_W,bs_chin_NN_SXX_B_F,bs_noseBridge_NN_XXX_D_U,bs_orbits_NR_XXX_D_U,fl_eyes_NL_XXX_R_A,bs_mandible_NR_IXA_D_U,bs_mandible_NL_SXA_R_A,bs_teeth_NN_XXX_N_W,bs_brow_NL_SMX_B_F,bs_brow_NR_XLX_D_U,bs_maxilla_NR_SXX_N_W,bs_incisor_NL_ILX_D_U,bs_mandible_NL_SXA_B_F,bs_canine_NL_IXX_D_U,ca_laryngeal_NN_XXX_SL_SR,bs_brow_NR_SMX_N_W,bs_incisorLower_NL_XMX_U,bs_zygomaxilla_NR_XXX_N_W,ca_ears_NR_XXX_B_F,bs_incisorLower_NR_XLX_SL_SR,bs_canine_NR_XXX_D_U,bs_orbits_NL_SXX_R_A,bs_skull_NN_XXP_B_F,bs_incisor_NR_ILX_R,bs_incisorLower_NL_XMX_SL_SR,bs_teeth_NN_XXA_N_W,bs_mandible_NL_SXA_D_U,bs_mandible_NR_SXA_R_A,bs_mandible_NL_XXP_B_F,bs_brow_NN_XMX_N_W,fl_eyes_NL_XXX_D_U,bs_skull_NN_SXX_SL_SR,bs_teeth_NN_XXA_D_U,bs_noseBridge_NN_XXX_B_F,bs_brow_NR_XLX_B_F,ca_ears_NR_XXX_D_U,bs_skull_NN_SXX_D_U,fl_eyes_NL_XXX_N_W,bs_noseRoot_NN_XXX_R_A,bs_incisorLower_NR_XMX_U,bs_zygomaxilla_NL_XXX_N_W,bs_brow_NR_SMX_D_U,bs_incisor_NL_IMX_D_U,ca_adamsapple_NN_XXX_SL_SR,bs_nose_NN_XXX_R_A,bs_incisorLower_NR_SLX_D_U,bs_maxilla_NL_SXX_D_U,bs_mandible_NR_XXP_R_A,bs_maxilla_NR_SXX_R_A,assetid,fc_neck_restore,fc_mouthbag_restore
-29,18,-20,-82,1,-16,0,-30,-4,28,-56,-22,33,7,-1,21,-18,57,51,-43,61,44,0,-52,0,-74,19,57,-31,0,1,1,-4,0,10,-20,0,23,0,0,-19,1,0,-10,0,1,0,-51,-11,-2,-14,2,36,-1,2,-7,60,0,-39,37,-9,-26,28,-13,-68,-31,0,-61,4,-30,78,-14,-22,0,-17,52,0,-9,-3,0,-38,57,0,33,0,0,27,-48,2,-24,-39,-56,-58,-46,-50,1,-45,0,16,-61,36,2,-65,-70,-49,70,-1,11,-23,-44,0,-15,-1,-35,0,5,7,-19,0,10,1,-2,-65,0,49,-27,-7,-4,16,6,0,-21,2,-12,38,-3,-38,6,-10,-12,21,20,4,6,-23,-4,-44,-7,1,8,-72,-5,17,-6,1,18,39,62,66,32,0,-44,0,0,3,26,36,-12,-1,0,-50,40,-49,-12,0,-29,30,34,-8,-9,-32,24,-66,-8,-5,16,28,-19,-62,0,-63,-76,-2,66,0,-5,-61,0,-75,17,3,1,-24,11,0,0,1,-39,-22,58,-42,46,3,0,-35,-26,-33,-23,-52,1,0,-80,-42,2,5,23,3,13,-36,60,6007,0,100
-12,36,19,-75,16,13,-37,-29,-21,17,-49,-36,9,-27,0,-19,47,19,52,66,12,93,38,-80,-34,-23,-19,-42,13,-42,2,6,-33,-36,38,0,-1,-65,-39,-35,18,3,0,-52,36,5,-34,-58,-55,48,22,4,-20,2,5,51,19,38,44,38,58,20,18,-22,-25,46,-36,-21,0,58,-3,11,-7,37,68,-62,4,5,0,37,-38,-54,-36,46,-39,-37,-27,67,0,-27,38,0,6,-24,-21,-4,-75,-37,-40,-57,28,6,-83,0,-36,67,-14,-20,-39,-45,2,-8,0,-2,22,0,-34,0,37,-23,5,1,-32,6,-43,13,14,-87,57,-66,-37,25,6,84,-41,1,-100,8,-10,7,31,-96,0,-27,32,39,-68,-23,10,-12,-78,-30,35,25,4,25,-20,-17,3,-3,6,43,-40,2,0,-58,26,-70,0,52,-78,25,-23,-27,2,26,58,-3,33,12,8,1,-38,25,-14,-21,-16,-2,-50,-16,-91,-66,0,68,5,-17,-90,36,25,-16,0,5,43,-9,-40,4,8,46,-1,16,-52,90,19,0,-27,-20,-11,31,1,100,37,13,-77,8,8,-12,-1,27,34,-10,6869,0,100
-13,18,17,-50,19,-41,-26,28,-35,39,-32,-41,65,-9,0,4,50,-17,16,25,7,-2,28,-37,-26,-100,-10,-14,0,-29,3,7,5,-23,88,-13,0,-28,-24,-25,-27,3,1,6,28,3,-25,-35,2,17,-21,4,16,0,0,42,19,28,-27,41,21,-38,40,27,-54,-34,-25,-47,0,-41,45,31,6,29,37,-8,4,-43,3,28,4,-14,-25,51,-24,-23,15,45,2,-26,-24,-30,-52,11,-60,-1,-39,-27,-28,-49,48,3,-12,-37,-52,32,-4,-17,37,11,5,13,0,-70,54,0,-9,-11,30,0,3,1,-22,1,-21,72,-26,0,-9,-1,-27,74,1,-32,-94,2,-45,44,-33,-22,51,-38,0,-13,-36,9,-33,-32,5,25,-10,16,41,12,-1,13,-90,-14,79,19,3,-7,-25,1,0,-55,18,-21,-4,0,-22,16,-28,13,4,-2,58,22,-1,-7,-5,55,-14,42,-36,9,11,-17,-63,-4,-14,-61,2,40,1,-7,8,28,19,-10,-3,2,-37,18,-24,0,5,-23,-15,-17,34,-2,11,0,-22,27,-66,-9,-41,58,28,6,-55,8,7,-2,3,84,-16,-8,70068,0,100
-14,-56,-32,-33,25,10,-57,12,28,75,25,80,-31,-32,-2,21,18,3,4,46,36,-15,58,-48,-56,48,5,-41,0,-58,2,4,-2,-48,74,37,-6,-53,-49,-55,-22,2,-1,-91,57,3,-54,-38,-97,46,34,4,-5,-5,1,-39,24,57,-68,34,36,79,76,-2,19,-3,-55,24,0,14,-9,-38,5,55,-23,-22,5,20,0,55,-62,-30,-54,-68,-48,-48,-44,34,2,-46,41,-28,-39,-59,8,-3,-66,-56,-32,-59,-5,3,-84,-28,31,61,4,-47,-56,-63,0,0,-7,-25,31,0,28,56,58,9,2,1,-56,3,-38,34,-41,49,33,63,-54,28,-2,-55,27,2,19,-28,18,-24,50,-63,0,27,-58,53,-37,-8,0,0,41,-1,52,-13,1,-53,54,31,78,-7,-4,-49,-48,4,0,-77,17,-4,0,67,0,24,17,19,3,35,68,-7,-4,-7,-35,-28,-38,47,20,13,-43,-22,-40,33,34,-33,0,69,3,-7,-87,57,71,1,0,3,-51,-2,-49,-4,4,-63,-39,4,-7,-21,6,0,-69,16,-21,7,-3,-11,57,73,-69,4,2,0,1,81,44,19,70716,0,100
46,6,-15,-31,6,34,-33,-34,28,38,-4,-21,34,11,-1,-15,-37,-21,23,44,14,33,35,-42,-33,28,3,-74,42,-37,1,7,-10,-30,19,39,0,-41,-35,-32,49,4,0,-25,34,5,-31,-60,-27,36,35,5,-9,0,3,43,21,34,-60,43,41,-27,33,17,-29,4,-32,-47,0,5,-5,0,-4,35,54,-29,6,32,2,35,5,-34,-32,-20,-34,-32,7,38,0,-22,36,16,-21,-24,-69,-1,-17,-34,-38,-68,38,4,-84,5,-62,52,-7,11,58,-2,5,-2,-1,-22,10,0,-58,44,34,16,3,0,-35,2,-80,46,-7,2,-7,4,-34,51,1,-16,-63,0,-36,34,-19,1,-42,-42,0,-56,-57,-20,-60,-39,7,0,23,-6,-36,-54,0,0,-58,-26,67,-5,2,20,-34,3,0,-36,13,17,-2,29,-18,18,-27,31,4,17,65,0,36,21,10,43,-38,8,-24,-12,2,-46,-8,33,24,-32,0,50,0,-2,-81,35,-17,-2,-1,0,-55,-6,-34,0,1,-52,-43,-21,-94,37,6,0,31,-31,-18,-9,-41,43,35,-24,-9,7,4,0,0,24,41,-20,70896,0,100
-16,25,5,-38,-2,-9,-23,-9,27,41,-18,9,56,39,0,14,15,1,-39,66,21,-25,26,-39,-24,22,44,-67,-9,-25,1,6,-14,-20,6,-37,-1,-93,-21,-24,-41,4,0,-30,25,4,-25,-52,-22,46,-70,3,-16,0,3,9,20,28,1,10,39,8,33,31,3,-35,-25,-26,0,-7,35,4,-16,27,23,-42,2,-7,1,27,-3,-27,-27,28,-22,-20,-29,63,0,-71,-2,-32,-63,-61,-29,-2,-37,-24,-35,-76,43,4,-1,-32,-8,26,-24,49,-53,6,4,-8,0,94,39,0,-16,-27,26,31,5,0,0,6,-58,80,-9,-36,0,-54,-26,79,4,51,-43,-3,-60,60,0,-24,-29,-77,0,-29,16,3,-59,12,11,-19,20,-37,-40,-10,0,26,-52,20,47,13,5,30,-22,1,0,-99,-8,-59,-1,59,-18,-5,-100,32,2,40,36,1,16,-8,34,50,-5,32,7,25,-12,-57,-61,21,0,-35,0,15,4,5,-8,26,84,40,-1,2,11,45,-21,0,3,9,-73,-4,78,-19,-10,0,-86,-19,85,7,-100,38,28,75,-23,6,0,-20,0,14,-6,13,70913,0,100
26,37,-6,-74,3,-4,-35,-4,-29,18,-3,0,1,51,-6,-74,-38,36,-28,46,26,15,36,-92,-35,-16,43,-44,51,-37,1,-4,-15,-30,24,-12,8,-14,-32,-34,-18,1,-5,7,36,3,-35,-78,0,17,-11,0,0,7,0,36,27,36,27,34,46,0,26,12,-20,-44,-34,-42,0,-26,0,-10,-30,36,40,-65,1,-4,0,37,-29,-61,-35,21,-31,-30,-55,50,-1,-20,24,5,-67,-69,-64,0,-54,-36,-1,-35,-7,1,-24,-7,-57,4,1,55,-14,-17,0,19,5,62,14,0,-64,-9,36,82,0,-1,-26,0,-28,8,-32,-1,15,1,-36,13,9,29,-65,-13,-18,40,-6,-9,-3,-48,0,-55,-46,4,-76,-9,7,8,-28,-16,-10,-9,-3,37,-77,2,13,7,13,2,-32,0,0,-47,24,-23,-6,0,-79,43,-54,30,2,13,69,5,60,-8,0,51,-51,64,-6,-69,-41,7,-47,-34,-41,-84,-5,-1,-1,-4,-27,36,27,33,-5,0,-42,42,-33,8,8,26,5,30,0,19,12,0,-54,-1,66,-7,-57,16,37,-18,-52,-4,5,-1,0,14,17,2,70971,0,100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71139,0,100
-36,24,-1,-42,2,4,0,-15,-9,52,14,22,-25,-25,-1,-28,-35,21,-2,-15,26,-29,0,-44,0,-1,56,-48,-8,0,2,-4,3,0,56,4,0,50,0,0,-69,3,0,75,0,3,0,-40,73,1,-22,1,-13,0,0,35,37,0,20,24,34,19,52,15,-4,-34,0,-6,1,-34,14,24,-8,0,47,-58,1,6,-1,0,-21,-58,0,52,0,0,-40,-10,0,-30,8,20,-7,-16,-20,0,-34,0,20,-42,12,3,-31,12,-10,31,-1,-27,-34,-18,1,16,0,-83,0,7,-12,0,0,100,2,0,-22,4,-47,9,15,-31,-34,-28,0,14,3,26,-46,-6,40,14,0,41,-2,-56,4,-18,-30,-25,-52,15,10,5,4,-17,-3,35,0,28,-52,-12,84,-3,7,22,0,0,1,39,24,-28,-3,100,-40,31,-46,19,1,-1,85,-7,52,48,24,21,-40,37,-8,-25,-30,-33,-94,-18,0,-42,0,41,0,-2,-16,0,32,47,-2,1,-38,21,0,3,8,21,-32,21,64,-23,7,-13,-60,-17,-75,-5,-63,25,0,28,-36,-4,5,2,0,47,13,-15,71232,0,100
-25,0,20,-54,8,19,0,20,52,-7,-49,-13,16,26,0,-22,-7,28,-1,-39,-9,0,0,-56,0,-8,-45,-6,-28,0,0,-1,0,0,-6,-3,0,-35,0,0,-52,1,-1,0,0,0,0,-33,0,10,-4,-2,-9,1,-2,54,-7,0,-34,21,12,-10,-6,-8,-18,-31,0,-1,0,-38,32,26,5,0,61,22,-2,14,0,0,-10,22,0,16,0,0,20,-44,-3,-58,-8,-12,-60,-56,-9,0,4,0,-15,-83,-4,1,-25,-18,-6,39,2,45,-21,-32,5,5,0,14,0,7,-37,-12,0,36,2,0,-30,4,-11,17,-13,-6,8,-2,0,26,0,23,-44,1,-24,26,2,3,-9,16,2,-31,-24,-19,-31,6,3,6,-8,-4,-11,-4,-1,0,-51,43,0,-45,2,24,0,1,-2,-16,4,-17,-1,0,-38,9,-65,1,4,-4,-1,-46,45,14,32,14,-32,5,-8,-19,21,-21,10,54,-7,-48,0,41,3,1,-29,0,-24,-48,0,0,-21,14,0,0,1,-35,-19,29,34,6,4,-1,-33,23,21,-5,-51,1,0,-20,1,0,0,0,0,-8,-7,39,71740,0,100
